Date,Open,High,Low,Close,Volume
"Mar 31, 2017","2,144.00","2,146.50","2,100.50","2,100.50","3,789,200"
"Mar 30, 2017","2,130.00","2,146.00","2,124.50","2,129.50","3,142,400"
"Mar 29, 2017","2,112.00","2,144.50","2,109.00","2,130.00","2,583,300"
"Mar 28, 2017","2,125.50","2,125.50","2,100.50","2,114.50","3,399,200"
"Mar 27, 2017","2,072.50","2,092.50","2,066.00","2,075.50","1,849,400"
"Mar 24, 2017","2,071.50","2,104.50","2,071.50","2,100.50","2,420,700"
"Mar 23, 2017","2,069.50","2,094.50","2,058.50","2,091.50","1,874,900"
"Mar 22, 2017","2,046.00","2,080.00","2,041.50","2,066.00","3,566,600"
"Mar 21, 2017","2,069.00","2,097.50","2,066.50","2,095.50","2,573,400"
"Mar 17, 2017","2,058.00","2,078.00","2,058.00","2,074.00","2,399,200"
"Mar 16, 2017","2,049.50","2,080.50","2,049.50","2,075.00","3,340,000"
"Mar 15, 2017","2,084.00","2,099.50","2,083.50","2,092.50","1,792,600"
"Mar 14, 2017","2,067.00","2,089.00","2,065.50","2,084.00","1,981,800"
"Mar 13, 2017","2,071.50","2,090.50","2,064.00","2,085.00","2,086,000"
"Mar 10, 2017","2,074.00","2,094.50","2,069.50","2,090.00","3,840,400"
"Mar 9, 2017","2,060.00","2,068.00","2,048.00","2,054.00","2,206,000"
"Mar 8, 2017","2,064.00","2,069.00","2,037.00","2,050.50","2,783,400"
"Mar 7, 2017","2,010.00","2,056.00","2,009.50","2,045.50","3,443,800"
"Mar 6, 2017","2,000.00","2,013.50","1,994.50","2,008.50","2,537,300"
"Mar 3, 2017","1,995.00","1,999.00","1,977.00","1,987.00","2,265,600"
"Mar 2, 2017","1,980.00","1,996.50","1,978.50","1,981.50","2,222,400"
"Mar 1, 2017","1,947.50","1,963.50","1,941.00","1,959.50","2,276,700"
"Feb 28, 2017","1,950.50","1,957.00","1,932.00","1,934.00","2,303,800"
"Feb 27, 2017","1,947.50","1,959.50","1,936.50","1,947.50","2,202,000"
"Feb 24, 2017","1,943.50","1,967.00","1,943.00","1,955.00","2,590,500"
"Feb 23, 2017","1,934.00","1,950.00","1,925.00","1,949.00","1,845,300"
"Feb 22, 2017","1,946.00","1,946.50","1,925.00","1,932.00","2,260,500"
"Feb 21, 2017","1,905.50","1,946.00","1,902.50","1,940.00","2,732,400"
"Feb 20, 2017","1,889.00","1,910.50","1,872.50","1,908.50","2,740,300"
"Feb 17, 2017","1,849.00","1,895.00","1,840.50","1,893.50","4,133,000"
"Feb 16, 2017","1,854.50","1,861.50","1,829.50","1,847.00","3,879,300"
"Feb 15, 2017","1,849.50","1,873.50","1,830.50","1,853.00","5,124,300"
"Feb 14, 2017","1,821.00","1,825.50","1,792.00","1,819.50","7,468,800"
"Feb 13, 2017","1,882.00","1,886.00","1,867.00","1,880.50","1,545,800"
"Feb 10, 2017","1,864.50","1,874.00","1,850.00","1,873.00","2,066,900"
"Feb 9, 2017","1,832.00","1,841.00","1,825.50","1,835.50","1,209,500"
"Feb 8, 2017","1,841.00","1,852.00","1,827.00","1,838.00","1,264,900"
"Feb 7, 2017","1,827.50","1,842.50","1,824.00","1,839.00","1,597,500"
"Feb 6, 2017","1,868.00","1,871.50","1,841.50","1,848.50","1,227,800"
"Feb 3, 2017","1,860.00","1,873.00","1,852.50","1,860.50","1,491,400"
"Feb 2, 2017","1,865.00","1,868.00","1,845.00","1,851.00","1,901,700"
"Feb 1, 2017","1,845.00","1,868.00","1,840.50","1,865.50","1,818,200"
"Jan 31, 2017","1,835.00","1,852.50","1,832.50","1,848.00","2,848,300"
"Jan 30, 2017","1,865.50","1,873.50","1,838.50","1,851.00","2,672,900"
"Jan 27, 2017","1,868.00","1,886.50","1,856.50","1,860.00","1,723,400"
"Jan 26, 2017","1,860.50","1,871.50","1,852.00","1,865.50","2,449,400"
"Jan 25, 2017","1,870.00","1,887.00","1,845.00","1,851.50","2,464,800"
"Jan 24, 2017","1,889.00","1,894.00","1,859.50","1,867.50","2,034,200"
"Jan 23, 2017","1,855.50","1,864.50","1,847.00","1,850.00","2,685,100"
"Jan 20, 2017","1,882.00","1,927.50","1,878.50","1,895.00","3,421,200"
"Jan 19, 2017","1,861.00","1,885.00","1,855.50","1,871.00","1,805,600"
"Jan 18, 2017","1,856.50","1,869.50","1,843.50","1,853.00","2,027,400"
"Jan 17, 2017","1,886.50","1,886.50","1,853.50","1,855.00","1,939,200"
"Jan 16, 2017","1,906.00","1,919.50","1,883.50","1,886.00","1,801,600"
"Jan 13, 2017","1,899.00","1,918.00","1,894.00","1,918.00","1,951,800"
"Jan 12, 2017","1,932.50","1,934.50","1,896.00","1,900.00","2,250,000"
"Jan 11, 2017","1,945.00","1,945.00","1,918.50","1,937.00","1,797,500"
"Jan 10, 2017","1,930.00","1,955.00","1,917.00","1,922.00","2,727,900"
"Jan 6, 2017","1,940.00","1,968.50","1,930.00","1,965.50","2,871,900"
"Jan 5, 2017","1,920.50","1,939.00","1,920.00","1,931.50","1,680,800"
"Jan 4, 2017","1,913.50","1,938.50","1,913.00","1,934.00","2,563,000"
