Date,Open,High,Low,Close,Volume
"Mar 31, 2017","1,712.00","1,718.00","1,688.00","1,688.00","1,176,700"
"Mar 30, 2017","1,710.00","1,724.00","1,699.00","1,704.00","1,048,200"
"Mar 29, 2017","1,708.00","1,728.00","1,708.00","1,718.00","1,116,500"
"Mar 28, 2017","1,702.00","1,712.00","1,696.00","1,704.00","1,140,300"
"Mar 27, 2017","1,671.00","1,692.00","1,671.00","1,680.00","981,700"
"Mar 24, 2017","1,680.00","1,707.00","1,678.00","1,704.00","1,340,900"
"Mar 23, 2017","1,670.00","1,686.00","1,670.00","1,682.00","1,015,200"
"Mar 22, 2017","1,691.00","1,703.00","1,679.00","1,679.00","1,428,000"
"Mar 21, 2017","1,710.00","1,738.00","1,702.00","1,725.00","2,592,700"
"Mar 17, 2017","1,680.00","1,685.00","1,665.00","1,669.00","1,966,500"
"Mar 16, 2017","1,692.00","1,710.00","1,691.00","1,707.00","944,700"
"Mar 15, 2017","1,705.00","1,710.00","1,692.00","1,698.00","780,500"
"Mar 14, 2017","1,720.00","1,729.00","1,714.00","1,721.00","831,300"
"Mar 13, 2017","1,709.00","1,720.00","1,704.00","1,720.00","835,500"
"Mar 10, 2017","1,706.00","1,708.00","1,695.00","1,707.00","1,677,200"
"Mar 9, 2017","1,703.00","1,704.00","1,689.00","1,693.00","959,300"
"Mar 8, 2017","1,703.00","1,707.00","1,687.00","1,689.00","1,018,000"
"Mar 7, 2017","1,692.00","1,711.00","1,692.00","1,702.00","1,004,600"
"Mar 6, 2017","1,692.00","1,713.00","1,691.00","1,706.00","734,400"
"Mar 3, 2017","1,709.00","1,713.00","1,698.00","1,704.00","1,120,100"
"Mar 2, 2017","1,748.00","1,748.00","1,721.00","1,722.00","1,595,400"
"Mar 1, 2017","1,718.00","1,725.00","1,696.00","1,716.00","1,447,600"
"Feb 28, 2017","1,713.00","1,717.00","1,703.00","1,705.00","1,258,000"
"Feb 27, 2017","1,703.00","1,705.00","1,685.00","1,691.00","1,433,400"
"Feb 24, 2017","1,725.00","1,734.00","1,708.00","1,727.00","1,115,800"
"Feb 23, 2017","1,753.00","1,756.00","1,715.00","1,736.00","1,806,600"
"Feb 22, 2017","1,734.00","1,749.00","1,727.00","1,749.00","1,624,200"
"Feb 21, 2017","1,726.00","1,727.00","1,711.00","1,721.00","2,231,000"
"Feb 20, 2017","1,706.00","1,719.00","1,700.00","1,717.00","1,156,500"
"Feb 17, 2017","1,724.00","1,740.00","1,710.00","1,719.00","1,742,300"
"Feb 16, 2017","1,709.00","1,732.00","1,704.00","1,724.00","1,789,600"
"Feb 15, 2017","1,700.00","1,725.00","1,696.00","1,717.00","1,737,100"
"Feb 14, 2017","1,688.00","1,700.00","1,679.00","1,681.00","1,412,800"
"Feb 13, 2017","1,685.00","1,693.00","1,680.00","1,684.00","1,191,600"
"Feb 10, 2017","1,680.00","1,681.00","1,656.00","1,671.00","2,186,200"
"Feb 9, 2017","1,664.00","1,670.00","1,633.00","1,642.00","2,863,400"
"Feb 8, 2017","1,798.00","1,816.00","1,627.00","1,655.00","6,705,500"
"Feb 7, 2017","1,759.00","1,793.00","1,743.00","1,781.00","1,418,300"
"Feb 6, 2017","1,803.00","1,803.00","1,783.00","1,789.00","1,125,400"
"Feb 3, 2017","1,791.00","1,803.00","1,777.00","1,783.00","1,187,600"
"Feb 2, 2017","1,815.00","1,827.00","1,786.00","1,790.00","1,205,000"
"Feb 1, 2017","1,774.00","1,812.00","1,769.00","1,809.00","995,300"
"Jan 31, 2017","1,800.00","1,806.00","1,790.00","1,792.00","1,147,400"
"Jan 30, 2017","1,804.00","1,815.00","1,799.00","1,815.00","1,027,000"
"Jan 27, 2017","1,821.00","1,822.00","1,800.00","1,816.00","1,438,400"
"Jan 26, 2017","1,804.00","1,819.00","1,797.00","1,819.00","2,033,800"
"Jan 25, 2017","1,790.00","1,798.00","1,771.00","1,788.00","1,207,300"
"Jan 24, 2017","1,753.00","1,763.00","1,742.00","1,756.00","1,883,800"
"Jan 23, 2017","1,762.00","1,777.00","1,747.00","1,763.00","1,396,400"
"Jan 20, 2017","1,761.00","1,778.00","1,761.00","1,771.00","1,109,300"
"Jan 19, 2017","1,757.00","1,780.00","1,757.00","1,767.00","1,558,200"
"Jan 18, 2017","1,740.00","1,757.00","1,730.00","1,749.00","1,366,300"
"Jan 17, 2017","1,764.00","1,767.00","1,739.00","1,739.00","1,677,800"
"Jan 16, 2017","1,777.00","1,793.00","1,768.00","1,775.00","1,172,900"
"Jan 13, 2017","1,795.00","1,798.00","1,777.00","1,786.00","1,800,600"
"Jan 12, 2017","1,795.00","1,800.00","1,777.00","1,795.00","1,401,700"
"Jan 11, 2017","1,795.00","1,803.00","1,789.00","1,793.00","1,455,700"
"Jan 10, 2017","1,794.00","1,799.00","1,778.00","1,786.00","1,619,200"
"Jan 6, 2017","1,786.00","1,800.00","1,779.00","1,796.00","1,140,800"
"Jan 5, 2017","1,805.00","1,807.00","1,788.00","1,798.00","1,589,000"
"Jan 4, 2017","1,758.00","1,804.00","1,752.00","1,804.00","1,990,100"
"Dec 30, 2016","1,751.00","1,761.00","1,741.00","1,756.00","1,464,800"
"Dec 29, 2016","1,752.00","1,763.00","1,742.00","1,752.00","1,422,300"
"Dec 28, 2016","1,760.00","1,764.00","1,750.00","1,759.00","1,560,400"
"Dec 27, 2016","1,750.00","1,778.00","1,744.00","1,771.00","1,182,900"
"Dec 26, 2016","1,766.00","1,770.00","1,754.00","1,757.00","1,053,900"
"Dec 22, 2016","1,763.00","1,778.00","1,758.00","1,778.00","1,369,800"
"Dec 21, 2016","1,780.00","1,780.00","1,754.00","1,764.00","1,504,000"
"Dec 20, 2016","1,770.00","1,772.00","1,753.00","1,770.00","2,002,000"
"Dec 19, 2016","1,756.00","1,766.00","1,746.00","1,766.00","1,622,000"
"Dec 16, 2016","1,750.00","1,755.00","1,736.00","1,742.00","2,043,400"
"Dec 15, 2016","1,730.00","1,746.00","1,728.00","1,735.00","1,934,900"
"Dec 14, 2016","1,726.00","1,728.00","1,714.00","1,728.00","1,271,700"
"Dec 13, 2016","1,720.00","1,725.00","1,702.00","1,725.00","1,758,700"
"Dec 12, 2016","1,715.00","1,720.00","1,695.00","1,716.00","1,463,900"
"Dec 9, 2016","1,719.00","1,720.00","1,702.00","1,711.00","2,659,500"
"Dec 8, 2016","1,699.00","1,708.00","1,684.00","1,705.00","1,576,000"
"Dec 7, 2016","1,689.00","1,700.00","1,676.00","1,680.00","1,987,900"
"Dec 6, 2016","1,656.00","1,679.00","1,652.00","1,679.00","2,309,900"
"Dec 5, 2016","1,652.00","1,662.00","1,641.00","1,661.00","1,438,800"
"Dec 2, 2016","1,655.00","1,676.00","1,649.00","1,662.00","2,324,500"
"Dec 1, 2016","1,651.00","1,671.00","1,647.00","1,652.00","3,176,600"
"Nov 30, 2016","1,610.00","1,619.00","1,607.00","1,618.00","2,075,000"
"Nov 29, 2016","1,600.00","1,615.00","1,593.00","1,604.00","2,370,100"
"Nov 28, 2016","1,569.00","1,595.00","1,567.00","1,593.00","1,779,900"
"Nov 25, 2016","1,584.00","1,588.00","1,568.00","1,575.00","2,000,700"
"Nov 24, 2016","1,600.00","1,600.00","1,578.00","1,579.00","1,383,400"
"Nov 22, 2016","1,590.00","1,590.00","1,578.00","1,590.00","1,074,000"
"Nov 21, 2016","1,590.00","1,597.00","1,581.00","1,581.00","1,747,300"
"Nov 18, 2016","1,580.00","1,586.00","1,574.00","1,580.00","1,438,800"
"Nov 17, 2016","1,564.00","1,570.00","1,550.00","1,568.00","1,793,100"
"Nov 16, 2016","1,582.00","1,582.00","1,563.00","1,575.00","1,777,800"
"Nov 15, 2016","1,573.00","1,576.00","1,547.00","1,571.00","1,505,900"
"Nov 14, 2016","1,530.00","1,562.00","1,522.00","1,559.00","1,657,400"
"Nov 11, 2016","1,570.00","1,572.00","1,521.00","1,527.00","2,862,300"
"Nov 10, 2016","1,552.00","1,573.00","1,548.00","1,568.00","2,251,700"
"Nov 9, 2016","1,574.00","1,582.00","1,474.00","1,482.00","2,720,600"
"Nov 8, 2016","1,580.00","1,585.00","1,530.00","1,564.00","2,260,800"
"Nov 7, 2016","1,577.00","1,588.00","1,567.00","1,580.00","1,493,200"
"Nov 4, 2016","1,541.00","1,559.00","1,538.00","1,551.00","1,684,600"
"Nov 2, 2016","1,559.00","1,571.00","1,553.00","1,557.00","1,373,100"
"Nov 1, 2016","1,598.00","1,598.00","1,573.00","1,579.00","1,433,700"
"Oct 31, 2016","1,581.00","1,594.00","1,576.00","1,594.00","1,951,000"
"Oct 28, 2016","1,560.00","1,582.00","1,560.00","1,582.00","2,391,100"
"Oct 27, 2016","1,547.00","1,553.00","1,531.00","1,537.00","1,215,000"
"Oct 26, 2016","1,529.00","1,549.00","1,524.00","1,547.00","1,545,300"
"Oct 25, 2016","1,543.00","1,549.00","1,535.00","1,541.00","1,381,300"
"Oct 24, 2016","1,509.00","1,534.00","1,504.00","1,534.00","1,511,500"
"Oct 21, 2016","1,501.00","1,514.00","1,491.00","1,507.00","1,677,000"
"Oct 20, 2016","1,516.00","1,518.00","1,491.00","1,501.00","2,672,500"
"Oct 19, 2016","1,507.00","1,516.00","1,504.00","1,507.00","1,690,200"
"Oct 18, 2016","1,507.00","1,523.00","1,501.00","1,516.00","1,756,900"
"Oct 17, 2016","1,510.00","1,521.00","1,504.00","1,515.00","870,200"
"Oct 14, 2016","1,503.00","1,513.00","1,497.00","1,506.00","1,436,500"
"Oct 13, 2016","1,498.00","1,516.00","1,490.00","1,499.00","1,027,900"
"Oct 12, 2016","1,510.00","1,517.00","1,498.00","1,498.00","1,573,500"
"Oct 11, 2016","1,513.00","1,536.00","1,501.00","1,531.00","2,124,000"
"Oct 7, 2016","1,513.00","1,513.00","1,497.00","1,507.00","1,160,200"
"Oct 6, 2016","1,512.00","1,521.00","1,507.00","1,512.00","1,770,800"
"Oct 5, 2016","1,495.00","1,504.00","1,482.00","1,496.00","1,341,700"
"Oct 4, 2016","1,485.00","1,497.00","1,474.00","1,497.00","1,492,600"
"Oct 3, 2016","1,503.00","1,503.00","1,482.00","1,484.00","1,497,000"
"Sep 30, 2016","1,497.00","1,499.00","1,483.00","1,491.00","1,547,100"
"Sep 29, 2016","1,500.00","1,519.00","1,493.00","1,513.00","1,522,000"
"Sep 28, 2016","1,480.00","1,495.00","1,475.00","1,493.00","1,188,500"
"Sep 27, 2016","1,464.00","1,490.00","1,453.00","1,490.00","2,003,700"
"Sep 26, 2016","1,486.00","1,495.00","1,474.00","1,478.00","2,241,100"
"Sep 23, 2016","1,475.00","1,475.00","1,457.00","1,461.00","1,249,000"
"Sep 21, 2016","1,424.00","1,467.00","1,420.00","1,466.00","1,408,200"
"Sep 20, 2016","1,392.00","1,427.00","1,388.00","1,423.00","1,752,000"
"Sep 16, 2016","1,415.00","1,429.00","1,406.00","1,410.00","2,552,300"
"Sep 15, 2016","1,416.00","1,427.00","1,413.00","1,426.00","1,643,000"
"Sep 14, 2016","1,427.00","1,434.00","1,416.00","1,420.00","1,167,800"
"Sep 13, 2016","1,430.00","1,440.00","1,419.00","1,435.00","1,303,200"
"Sep 12, 2016","1,453.00","1,453.00","1,421.00","1,427.00","1,571,800"
"Sep 9, 2016","1,468.00","1,476.00","1,455.00","1,473.00","2,439,300"
