Date,Open,High,Low,Close,Volume
"Mar 31, 2017","3,435.00","3,450.00","3,370.00","3,370.00","234,000"
"Mar 30, 2017","3,495.00","3,520.00","3,430.00","3,435.00","200,900"
"Mar 29, 2017","3,460.00","3,525.00","3,445.00","3,510.00","297,400"
"Mar 28, 2017","3,470.00","3,495.00","3,435.00","3,490.00","496,800"
"Mar 27, 2017","3,480.00","3,500.00","3,455.00","3,475.00","254,400"
"Mar 24, 2017","3,485.00","3,520.00","3,475.00","3,505.00","238,100"
"Mar 23, 2017","3,450.00","3,505.00","3,450.00","3,500.00","200,000"
"Mar 22, 2017","3,555.00","3,565.00","3,500.00","3,500.00","251,500"
"Mar 21, 2017","3,490.00","3,580.00","3,480.00","3,580.00","274,500"
"Mar 17, 2017","3,465.00","3,495.00","3,445.00","3,480.00","236,700"
"Mar 16, 2017","3,465.00","3,485.00","3,455.00","3,480.00","151,200"
"Mar 15, 2017","3,500.00","3,505.00","3,460.00","3,465.00","257,100"
"Mar 14, 2017","3,495.00","3,530.00","3,475.00","3,530.00","143,800"
"Mar 13, 2017","3,495.00","3,515.00","3,480.00","3,495.00","130,100"
"Mar 10, 2017","3,440.00","3,495.00","3,440.00","3,490.00","290,100"
"Mar 9, 2017","3,495.00","3,500.00","3,430.00","3,465.00","182,100"
"Mar 8, 2017","3,510.00","3,540.00","3,465.00","3,485.00","344,400"
"Mar 7, 2017","3,500.00","3,520.00","3,485.00","3,495.00","241,600"
"Mar 6, 2017","3,475.00","3,500.00","3,465.00","3,495.00","234,000"
"Mar 3, 2017","3,425.00","3,480.00","3,410.00","3,455.00","279,400"
"Mar 2, 2017","3,415.00","3,435.00","3,390.00","3,400.00","241,900"
"Mar 1, 2017","3,390.00","3,405.00","3,365.00","3,400.00","197,100"
"Feb 28, 2017","3,350.00","3,380.00","3,330.00","3,365.00","240,500"
"Feb 27, 2017","3,335.00","3,360.00","3,300.00","3,345.00","212,000"
"Feb 24, 2017","3,355.00","3,385.00","3,330.00","3,340.00","218,200"
"Feb 23, 2017","3,295.00","3,365.00","3,290.00","3,360.00","261,000"
"Feb 22, 2017","3,310.00","3,325.00","3,270.00","3,290.00","216,400"
"Feb 21, 2017","3,275.00","3,285.00","3,250.00","3,280.00","131,900"
"Feb 20, 2017","3,280.00","3,285.00","3,260.00","3,285.00","125,800"
"Feb 17, 2017","3,255.00","3,295.00","3,235.00","3,290.00","242,200"
"Feb 16, 2017","3,280.00","3,290.00","3,250.00","3,255.00","213,100"
"Feb 15, 2017","3,305.00","3,335.00","3,275.00","3,285.00","248,800"
"Feb 14, 2017","3,365.00","3,365.00","3,270.00","3,275.00","372,600"
"Feb 13, 2017","3,395.00","3,400.00","3,350.00","3,350.00","267,500"
"Feb 10, 2017","3,400.00","3,400.00","3,355.00","3,385.00","419,100"
"Feb 9, 2017","3,300.00","3,390.00","3,255.00","3,390.00","513,900"
"Feb 8, 2017","3,400.00","3,400.00","3,310.00","3,335.00","289,700"
"Feb 7, 2017","3,260.00","3,415.00","3,235.00","3,380.00","1,046,400"
"Feb 6, 2017","3,180.00","3,195.00","3,145.00","3,195.00","261,700"
"Feb 3, 2017","3,135.00","3,175.00","3,125.00","3,135.00","292,800"
"Feb 2, 2017","3,125.00","3,150.00","3,110.00","3,110.00","183,400"
"Feb 1, 2017","3,115.00","3,145.00","3,110.00","3,125.00","226,300"
"Jan 31, 2017","3,130.00","3,150.00","3,115.00","3,120.00","240,900"
"Jan 30, 2017","3,155.00","3,175.00","3,145.00","3,155.00","199,300"
"Jan 27, 2017","3,165.00","3,180.00","3,150.00","3,160.00","207,000"
"Jan 26, 2017","3,145.00","3,170.00","3,120.00","3,165.00","287,000"
"Jan 25, 2017","3,150.00","3,170.00","3,115.00","3,135.00","233,700"
"Jan 24, 2017","3,135.00","3,160.00","3,125.00","3,130.00","206,600"
"Jan 23, 2017","3,170.00","3,185.00","3,125.00","3,165.00","257,500"
"Jan 20, 2017","3,300.00","3,315.00","3,185.00","3,190.00","453,100"
"Jan 19, 2017","3,235.00","3,260.00","3,225.00","3,245.00","178,300"
"Jan 18, 2017","3,220.00","3,240.00","3,195.00","3,235.00","238,900"
"Jan 17, 2017","3,230.00","3,235.00","3,170.00","3,170.00","152,200"
"Jan 16, 2017","3,230.00","3,270.00","3,225.00","3,240.00","221,500"
"Jan 13, 2017","3,180.00","3,240.00","3,180.00","3,230.00","233,000"
"Jan 12, 2017","3,185.00","3,200.00","3,160.00","3,180.00","177,000"
"Jan 11, 2017","3,210.00","3,245.00","3,165.00","3,185.00","275,000"
"Jan 10, 2017","3,230.00","3,260.00","3,220.00","3,235.00","225,000"
"Jan 6, 2017","3,265.00","3,290.00","3,250.00","3,270.00","155,700"
"Jan 5, 2017","3,225.00","3,265.00","3,195.00","3,250.00","332,900"
"Jan 4, 2017","3,150.00","3,210.00","3,140.00","3,210.00","270,800"
"Dec 30, 2016","3,135.00","3,175.00","3,115.00","3,155.00","220,900"
"Dec 29, 2016","3,155.00","3,170.00","3,125.00","3,140.00","160,600"
"Dec 28, 2016","3,120.00","3,175.00","3,110.00","3,170.00","165,900"
"Dec 27, 2016","3,150.00","3,180.00","3,110.00","3,125.00","234,100"
"Dec 26, 2016","3,070.00","3,130.00","3,055.00","3,115.00","233,600"
"Dec 22, 2016","3,045.00","3,075.00","3,040.00","3,055.00","141,100"
"Dec 21, 2016","3,090.00","3,090.00","3,045.00","3,045.00","205,000"
"Dec 20, 2016","3,050.00","3,110.00","3,040.00","3,095.00","249,000"
"Dec 19, 2016","3,045.00","3,060.00","3,015.00","3,055.00","231,800"
"Dec 16, 2016","3,040.00","3,085.00","3,010.00","3,070.00","698,200"
"Dec 15, 2016","3,040.00","3,040.00","2,994.00","3,015.00","292,000"
"Dec 14, 2016","3,070.00","3,080.00","3,030.00","3,055.00","327,300"
"Dec 13, 2016","2,948.00","3,060.00","2,941.00","3,055.00","643,700"
"Dec 12, 2016","2,879.00","2,930.00","2,847.00","2,930.00","354,800"
"Dec 9, 2016","2,890.00","2,891.00","2,825.00","2,858.00","436,900"
"Dec 8, 2016","2,831.00","2,892.00","2,825.00","2,890.00","296,600"
"Dec 7, 2016","2,817.00","2,819.00","2,788.00","2,811.00","222,800"
"Dec 6, 2016","2,830.00","2,832.00","2,798.00","2,820.00","324,600"
"Dec 5, 2016","2,840.00","2,863.00","2,817.00","2,817.00","211,900"
"Dec 2, 2016","2,877.00","2,880.00","2,836.00","2,844.00","388,400"
"Dec 1, 2016","2,915.00","2,935.00","2,887.00","2,892.00","272,000"
"Nov 30, 2016","2,865.00","2,917.00","2,835.00","2,910.00","447,400"
"Nov 29, 2016","2,830.00","2,868.00","2,808.00","2,864.00","334,500"
"Nov 28, 2016","2,808.00","2,836.00","2,800.00","2,831.00","276,200"
"Nov 25, 2016","2,825.00","2,825.00","2,776.00","2,803.00","243,000"
"Nov 24, 2016","2,826.00","2,826.00","2,801.00","2,807.00","198,800"
"Nov 22, 2016","2,817.00","2,833.00","2,797.00","2,805.00","251,000"
"Nov 21, 2016","2,815.00","2,831.00","2,804.00","2,808.00","279,900"
"Nov 18, 2016","2,848.00","2,848.00","2,811.00","2,815.00","237,400"
"Nov 17, 2016","2,812.00","2,846.00","2,810.00","2,836.00","253,100"
"Nov 16, 2016","2,835.00","2,844.00","2,799.00","2,802.00","247,300"
"Nov 15, 2016","2,828.00","2,837.00","2,790.00","2,823.00","214,800"
"Nov 14, 2016","2,792.00","2,837.00","2,789.00","2,819.00","209,700"
"Nov 11, 2016","2,888.00","2,888.00","2,788.00","2,812.00","455,100"
"Nov 10, 2016","2,864.00","2,898.00","2,820.00","2,884.00","378,200"
"Nov 9, 2016","2,920.00","2,964.00","2,793.00","2,814.00","503,200"
"Nov 8, 2016","2,923.00","2,999.00","2,894.00","2,895.00","650,200"
"Nov 7, 2016","2,897.00","2,898.00","2,812.00","2,873.00","538,700"
"Nov 4, 2016","2,924.00","2,982.00","2,910.00","2,958.00","426,900"
"Nov 2, 2016","2,950.00","2,950.00","2,911.00","2,941.00","318,400"
"Nov 1, 2016","2,902.00","2,954.00","2,880.00","2,944.00","316,300"
"Oct 31, 2016","2,904.00","2,932.00","2,889.00","2,913.00","218,400"
"Oct 28, 2016","2,920.00","2,922.00","2,873.00","2,902.00","394,300"
"Oct 27, 2016","2,900.00","2,934.00","2,896.00","2,909.00","171,100"
"Oct 26, 2016","2,864.00","2,905.00","2,864.00","2,902.00","203,700"
"Oct 25, 2016","2,863.00","2,871.00","2,849.00","2,862.00","194,100"
"Oct 24, 2016","2,850.00","2,871.00","2,840.00","2,862.00","256,800"
"Oct 21, 2016","2,899.00","2,908.00","2,848.00","2,849.00","303,600"
"Oct 20, 2016","2,850.00","2,919.00","2,845.00","2,899.00","610,800"
"Oct 19, 2016","2,839.00","2,885.00","2,828.00","2,841.00","968,800"
"Oct 18, 2016","2,657.00","2,709.00","2,657.00","2,704.00","144,200"
"Oct 17, 2016","2,690.00","2,705.00","2,659.00","2,676.00","121,300"
"Oct 14, 2016","2,695.00","2,733.00","2,678.00","2,690.00","211,500"
"Oct 13, 2016","2,722.00","2,728.00","2,695.00","2,705.00","163,300"
"Oct 12, 2016","2,707.00","2,734.00","2,692.00","2,712.00","209,200"
"Oct 11, 2016","2,710.00","2,720.00","2,691.00","2,706.00","181,400"
"Oct 7, 2016","2,717.00","2,748.00","2,708.00","2,713.00","262,700"
"Oct 6, 2016","2,738.00","2,749.00","2,719.00","2,727.00","281,700"
"Oct 5, 2016","2,805.00","2,810.00","2,729.00","2,737.00","282,100"
"Oct 4, 2016","2,785.00","2,805.00","2,760.00","2,805.00","205,200"
"Oct 3, 2016","2,760.00","2,797.00","2,733.00","2,785.00","205,100"
"Sep 30, 2016","2,760.00","2,785.00","2,726.00","2,737.00","159,500"
"Sep 29, 2016","2,773.00","2,774.00","2,725.00","2,765.00","322,800"
"Sep 28, 2016","2,700.00","2,829.00","2,691.00","2,800.00","616,300"
"Sep 27, 2016","2,585.00","2,687.00","2,581.00","2,686.00","394,200"
"Sep 26, 2016","2,569.00","2,594.00","2,556.00","2,581.00","156,100"
"Sep 23, 2016","2,548.00","2,571.00","2,526.00","2,568.00","192,800"
"Sep 21, 2016","2,480.00","2,522.00","2,476.00","2,522.00","194,200"
"Sep 20, 2016","2,443.00","2,494.00","2,432.00","2,478.00","175,000"
"Sep 16, 2016","2,480.00","2,487.00","2,451.00","2,461.00","175,500"
"Sep 15, 2016","2,495.00","2,506.00","2,475.00","2,480.00","204,900"
"Sep 14, 2016","2,515.00","2,544.00","2,503.00","2,515.00","216,300"
"Sep 13, 2016","2,503.00","2,526.00","2,490.00","2,517.00","173,700"
"Sep 12, 2016","2,506.00","2,518.00","2,464.00","2,472.00","243,500"
"Sep 9, 2016","2,580.00","2,585.00","2,523.00","2,532.00","266,500"
"Sep 8, 2016","2,553.00","2,570.00","2,542.00","2,552.00","172,800"
"Sep 7, 2016","2,572.00","2,588.00","2,545.00","2,551.00","203,500"
"Sep 6, 2016","2,525.00","2,575.00","2,522.00","2,572.00","297,000"
"Sep 5, 2016","2,488.00","2,515.00","2,471.00","2,509.00","345,800"
"Sep 2, 2016","2,417.00","2,448.00","2,408.00","2,438.00","340,300"
"Sep 1, 2016","2,396.00","2,429.00","2,378.00","2,417.00","172,100"
"Aug 31, 2016","2,425.00","2,430.00","2,369.00","2,402.00","197,800"
"Aug 30, 2016","2,463.00","2,472.00","2,414.00","2,419.00","142,200"
"Aug 29, 2016","2,500.00","2,507.00","2,436.00","2,463.00","365,900"
"Aug 26, 2016","2,469.00","2,469.00","2,430.00","2,445.00","216,800"
"Aug 25, 2016","2,499.00","2,508.00","2,475.00","2,480.00","209,700"
"Aug 24, 2016","2,484.00","2,509.00","2,460.00","2,494.00","158,600"
"Aug 23, 2016","2,428.00","2,517.00","2,425.00","2,486.00","307,100"
"Aug 22, 2016","2,435.00","2,463.00","2,413.00","2,432.00","180,600"
"Aug 19, 2016","2,493.00","2,496.00","2,431.00","2,454.00","190,900"
"Aug 18, 2016","2,534.00","2,557.00","2,493.00","2,493.00","219,600"
