Date,Open,High,Low,Close,Volume
"Mar 31, 2017","2,451.00","2,458.00","2,405.50","2,405.50","4,757,100"
"Mar 30, 2017","2,434.00","2,468.50","2,432.00","2,435.00","3,708,200"
"Mar 29, 2017","2,465.00","2,469.50","2,447.00","2,456.00","5,578,000"
"Mar 28, 2017","2,466.50","2,469.50","2,448.00","2,465.00","4,572,200"
"Mar 27, 2017","2,434.50","2,434.50","2,415.00","2,422.50","3,514,600"
"Mar 24, 2017","2,430.00","2,455.50","2,426.50","2,446.50","3,913,000"
"Mar 23, 2017","2,427.50","2,438.00","2,421.00","2,430.00","4,009,900"
"Mar 22, 2017","2,465.00","2,468.50","2,427.50","2,427.50","6,284,800"
"Mar 21, 2017","2,472.50","2,506.50","2,472.00","2,491.00","3,764,000"
"Mar 17, 2017","2,477.00","2,487.00","2,471.00","2,472.00","9,500,000"
"Mar 16, 2017","2,477.00","2,494.50","2,472.50","2,477.00","5,092,300"
"Mar 15, 2017","2,498.00","2,498.00","2,474.00","2,477.00","5,065,300"
"Mar 14, 2017","2,508.00","2,521.00","2,500.00","2,501.00","4,662,600"
"Mar 13, 2017","2,504.00","2,523.50","2,496.50","2,510.50","4,764,000"
"Mar 10, 2017","2,510.00","2,518.50","2,494.50","2,506.50","7,723,900"
"Mar 9, 2017","2,519.00","2,520.50","2,503.00","2,512.00","4,175,800"
"Mar 8, 2017","2,532.00","2,540.50","2,508.00","2,520.00","5,099,700"
"Mar 7, 2017","2,545.00","2,560.00","2,530.00","2,536.00","4,216,600"
"Mar 6, 2017","2,557.00","2,557.00","2,531.50","2,531.50","3,905,100"
"Mar 3, 2017","2,552.50","2,565.00","2,547.50","2,561.00","5,450,900"
"Mar 2, 2017","2,585.50","2,585.50","2,559.50","2,561.00","5,319,900"
"Mar 1, 2017","2,557.50","2,587.50","2,533.00","2,559.50","4,722,700"
"Feb 28, 2017","2,558.00","2,568.50","2,534.50","2,534.50","4,802,500"
"Feb 27, 2017","2,550.00","2,562.00","2,532.50","2,543.00","4,757,700"
