Date,Open,High,Low,Close,Volume
"Mar 31, 2017","1,625.00","1,635.50","1,597.00","1,597.00","6,442,500"
"Mar 30, 2017","1,618.00","1,637.50","1,610.50","1,611.00","4,183,300"
"Mar 29, 2017","1,628.50","1,642.00","1,624.00","1,632.00","8,018,400"
"Mar 28, 2017","1,620.00","1,627.00","1,616.50","1,622.50","7,546,200"
"Mar 27, 2017","1,620.00","1,621.00","1,607.50","1,613.00","9,730,800"
"Mar 24, 2017","1,631.00","1,643.50","1,619.50","1,622.00","12,767,200"
"Mar 23, 2017","1,641.00","1,648.00","1,631.00","1,638.00","4,750,400"
"Mar 22, 2017","1,643.50","1,666.50","1,643.50","1,646.00","4,785,100"
"Mar 21, 2017","1,680.50","1,690.00","1,673.00","1,688.50","3,385,100"
"Mar 17, 2017","1,692.50","1,694.00","1,681.50","1,687.00","4,739,400"
"Mar 16, 2017","1,690.00","1,710.00","1,683.50","1,709.00","4,197,900"
"Mar 15, 2017","1,688.00","1,696.50","1,684.50","1,694.50","2,546,300"
"Mar 14, 2017","1,695.50","1,700.00","1,690.50","1,699.50","2,927,600"
"Mar 13, 2017","1,689.00","1,698.00","1,680.00","1,692.50","2,901,600"
"Mar 10, 2017","1,685.00","1,696.50","1,682.50","1,696.00","6,105,000"
"Mar 9, 2017","1,669.00","1,674.00","1,660.50","1,671.50","3,331,300"
"Mar 8, 2017","1,653.00","1,659.00","1,643.00","1,652.00","2,815,700"
"Mar 7, 2017","1,655.00","1,657.50","1,641.50","1,653.50","4,736,600"
"Mar 6, 2017","1,673.00","1,676.00","1,655.00","1,662.00","3,653,000"
"Mar 3, 2017","1,683.50","1,689.00","1,663.00","1,673.00","3,932,400"
"Mar 2, 2017","1,706.50","1,707.00","1,685.50","1,690.00","5,087,800"
"Mar 1, 2017","1,664.50","1,683.50","1,652.50","1,680.50","5,227,700"
"Feb 28, 2017","1,665.00","1,669.00","1,645.50","1,647.50","6,272,600"
"Feb 27, 2017","1,651.00","1,661.00","1,638.50","1,651.50","6,403,400"
"Feb 24, 2017","1,698.50","1,711.00","1,686.00","1,691.00","4,137,000"
"Feb 23, 2017","1,715.00","1,715.00","1,696.00","1,707.00","3,697,100"
"Feb 22, 2017","1,714.00","1,714.50","1,696.50","1,701.00","3,827,900"
"Feb 21, 2017","1,696.00","1,710.00","1,683.00","1,705.50","4,752,900"
"Feb 20, 2017","1,674.50","1,685.00","1,651.50","1,681.00","4,278,100"
"Feb 17, 2017","1,691.00","1,691.00","1,673.00","1,679.00","4,524,100"
"Feb 16, 2017","1,708.50","1,716.00","1,691.00","1,705.50","3,993,100"
"Feb 15, 2017","1,692.00","1,713.00","1,685.00","1,707.00","4,799,100"
"Feb 14, 2017","1,705.00","1,708.00","1,674.00","1,676.50","5,388,000"
"Feb 13, 2017","1,711.00","1,718.00","1,683.50","1,692.00","6,833,200"
"Feb 10, 2017","1,656.00","1,680.50","1,648.00","1,678.00","8,549,200"
"Feb 9, 2017","1,600.50","1,624.00","1,596.00","1,617.50","6,673,300"
"Feb 8, 2017","1,615.00","1,618.50","1,600.50","1,616.50","5,314,000"
"Feb 7, 2017","1,609.00","1,621.00","1,594.00","1,608.50","5,759,000"
"Feb 6, 2017","1,637.50","1,644.50","1,581.50","1,609.00","11,201,700"
"Feb 3, 2017","1,660.00","1,662.00","1,601.00","1,637.00","12,322,000"
