Date,Open,High,Low,Close,Volume
"Mar 31, 2017","1,571.00","1,578.00","1,511.00","1,534.00","3,129,000"
"Mar 30, 2017","1,565.00","1,570.00","1,551.00","1,554.00","679,000"
"Mar 29, 2017","1,604.00","1,604.00","1,567.00","1,579.00","721,000"
"Mar 28, 2017","1,586.00","1,597.00","1,570.00","1,580.00","797,000"
"Mar 27, 2017","1,591.00","1,591.00","1,560.00","1,575.00","792,000"
"Mar 24, 2017","1,602.00","1,609.00","1,586.00","1,599.00","939,000"
"Mar 23, 2017","1,607.00","1,607.00","1,593.00","1,595.00","651,000"
"Mar 22, 2017","1,636.00","1,637.00","1,608.00","1,613.00","733,000"
"Mar 21, 2017","1,659.00","1,660.00","1,640.00","1,644.00","881,000"
"Mar 17, 2017","1,682.00","1,684.00","1,674.00","1,679.00","601,000"
"Mar 16, 2017","1,687.00","1,704.00","1,673.00","1,699.00","464,000"
"Mar 15, 2017","1,707.00","1,711.00","1,695.00","1,706.00","407,000"
"Mar 14, 2017","1,705.00","1,716.00","1,702.00","1,706.00","427,000"
"Mar 13, 2017","1,694.00","1,712.00","1,689.00","1,705.00","558,000"
"Mar 10, 2017","1,660.00","1,680.00","1,658.00","1,677.00","1,177,000"
"Mar 9, 2017","1,664.00","1,667.00","1,652.00","1,653.00","348,000"
"Mar 8, 2017","1,678.00","1,678.00","1,651.00","1,664.00","493,000"
"Mar 7, 2017","1,648.00","1,681.00","1,648.00","1,674.00","579,000"
"Mar 6, 2017","1,647.00","1,662.00","1,643.00","1,652.00","483,000"
"Mar 3, 2017","1,657.00","1,666.00","1,650.00","1,657.00","527,000"
"Mar 2, 2017","1,656.00","1,670.00","1,649.00","1,665.00","564,000"
"Mar 1, 2017","1,616.00","1,641.00","1,612.00","1,632.00","769,000"
"Feb 28, 2017","1,618.00","1,634.00","1,613.00","1,614.00","850,000"
"Feb 27, 2017","1,600.00","1,616.00","1,593.00","1,614.00","668,000"
"Feb 24, 2017","1,608.00","1,626.00","1,598.00","1,618.00","653,000"
"Feb 23, 2017","1,595.00","1,618.00","1,589.00","1,616.00","598,000"
"Feb 22, 2017","1,604.00","1,604.00","1,578.00","1,584.00","463,000"
"Feb 21, 2017","1,589.00","1,605.00","1,586.00","1,592.00","343,000"
"Feb 20, 2017","1,566.00","1,583.00","1,560.00","1,582.00","348,000"
"Feb 17, 2017","1,586.00","1,590.00","1,577.00","1,584.00","400,000"
"Feb 16, 2017","1,613.00","1,614.00","1,594.00","1,601.00","381,000"
"Feb 15, 2017","1,615.00","1,630.00","1,610.00","1,617.00","378,000"
"Feb 14, 2017","1,628.00","1,641.00","1,603.00","1,604.00","604,000"
"Feb 13, 2017","1,649.00","1,649.00","1,623.00","1,628.00","444,000"
"Feb 10, 2017","1,600.00","1,625.00","1,586.00","1,620.00","783,000"
"Feb 9, 2017","1,569.00","1,572.00","1,560.00","1,560.00","358,000"
"Feb 8, 2017","1,576.00","1,590.00","1,564.00","1,573.00","470,000"
"Feb 7, 2017","1,565.00","1,583.00","1,564.00","1,574.00","492,000"
"Feb 6, 2017","1,606.00","1,613.00","1,585.00","1,587.00","550,000"
