Date,Open,High,Low,Close,Volume
"Mar 31, 2017",359.00,360.00,349.00,350.00,"12,748,000"
"Mar 30, 2017",356.00,365.00,355.00,356.00,"11,883,000"
"Mar 29, 2017",363.00,367.00,355.00,358.00,"12,043,000"
"Mar 28, 2017",350.00,357.00,350.00,354.00,"9,092,000"
"Mar 27, 2017",352.00,354.00,347.00,350.00,"12,258,000"
"Mar 24, 2017",360.00,364.00,356.00,357.00,"10,611,000"
"Mar 23, 2017",360.00,367.00,360.00,360.00,"11,230,000"
"Mar 22, 2017",366.00,369.00,359.00,359.00,"16,196,000"
"Mar 21, 2017",372.00,376.00,365.00,374.00,"9,335,000"
"Mar 17, 2017",380.00,381.00,375.00,376.00,"10,914,000"
"Mar 16, 2017",375.00,384.00,374.00,383.00,"15,212,000"
"Mar 15, 2017",370.00,378.00,370.00,376.00,"9,646,000"
"Mar 14, 2017",378.00,379.00,372.00,373.00,"6,648,000"
"Mar 13, 2017",379.00,379.00,375.00,377.00,"10,792,000"
"Mar 10, 2017",381.00,382.00,375.00,377.00,"22,868,000"
"Mar 9, 2017",377.00,386.00,377.00,384.00,"13,127,000"
"Mar 8, 2017",388.00,389.00,372.00,379.00,"25,600,000"
"Mar 7, 2017",383.00,389.00,383.00,384.00,"18,266,000"
"Mar 6, 2017",379.00,382.00,377.00,380.00,"9,905,000"
"Mar 3, 2017",378.00,384.00,377.00,381.00,"21,368,000"
"Mar 2, 2017",379.00,382.00,374.00,374.00,"17,641,000"
"Mar 1, 2017",374.00,375.00,365.00,372.00,"14,667,000"
"Feb 28, 2017",370.00,375.00,368.00,371.00,"14,285,000"
"Feb 27, 2017",370.00,371.00,360.00,367.00,"17,838,000"
"Feb 24, 2017",377.00,380.00,371.00,373.00,"14,536,000"
"Feb 23, 2017",374.00,381.00,371.00,378.00,"19,091,000"
"Feb 22, 2017",367.00,376.00,364.00,375.00,"20,525,000"
"Feb 21, 2017",364.00,367.00,360.00,365.00,"8,731,000"
"Feb 20, 2017",360.00,364.00,354.00,364.00,"8,020,000"
"Feb 17, 2017",364.00,368.00,360.00,362.00,"10,812,000"
"Feb 16, 2017",365.00,368.00,362.00,367.00,"10,314,000"
"Feb 15, 2017",366.00,372.00,366.00,368.00,"9,009,000"
"Feb 14, 2017",367.00,368.00,361.00,362.00,"13,389,000"
"Feb 13, 2017",366.00,367.00,362.00,366.00,"10,606,000"
"Feb 10, 2017",353.00,362.00,352.00,361.00,"15,740,000"
"Feb 9, 2017",345.00,349.00,344.00,346.00,"8,097,000"
"Feb 8, 2017",346.00,350.00,345.00,348.00,"11,173,000"
"Feb 7, 2017",343.00,349.00,343.00,343.00,"12,809,000"
"Feb 6, 2017",344.00,346.00,341.00,345.00,"8,896,000"
"Feb 3, 2017",350.00,352.00,338.00,342.00,"17,097,000"
"Feb 2, 2017",354.00,355.00,343.00,345.00,"22,229,000"
"Feb 1, 2017",351.00,356.00,350.00,352.00,"17,049,000"
"Jan 31, 2017",363.00,366.00,351.00,360.00,"21,816,000"
"Jan 30, 2017",370.00,377.00,369.00,372.00,"20,620,000"
"Jan 27, 2017",378.00,379.00,368.00,370.00,"17,049,000"
"Jan 26, 2017",368.00,379.00,367.00,376.00,"22,791,000"
"Jan 25, 2017",368.00,370.00,360.00,362.00,"16,572,000"
"Jan 24, 2017",353.00,364.00,352.00,360.00,"14,790,000"
"Jan 23, 2017",359.00,362.00,354.00,356.00,"18,451,000"
"Jan 20, 2017",358.00,365.00,355.00,362.00,"26,101,000"
"Jan 19, 2017",349.00,361.00,349.00,359.00,"37,856,000"
"Jan 18, 2017",333.00,345.00,333.00,344.00,"17,999,000"
"Jan 17, 2017",338.00,344.00,334.00,337.00,"13,724,000"
"Jan 16, 2017",343.00,345.00,337.00,339.00,"12,544,000"
"Jan 13, 2017",339.00,348.00,337.00,348.00,"13,351,000"
"Jan 12, 2017",348.00,349.00,339.00,343.00,"15,410,000"
"Jan 11, 2017",344.00,350.00,343.00,348.00,"15,111,000"
"Jan 10, 2017",341.00,346.00,338.00,341.00,"12,388,000"
"Jan 6, 2017",339.00,345.00,338.00,342.00,"16,258,000"
"Jan 5, 2017",346.00,354.00,344.00,346.00,"20,744,000"
"Jan 4, 2017",330.00,343.00,330.00,342.00,"17,335,000"
"Dec 30, 2016",323.00,326.00,320.00,324.00,"8,654,000"
"Dec 29, 2016",326.00,328.00,321.00,326.00,"12,110,000"
"Dec 28, 2016",331.00,333.00,329.00,331.00,"7,014,000"
"Dec 27, 2016",325.00,332.00,323.00,328.00,"13,280,000"
"Dec 26, 2016",325.00,329.00,323.00,326.00,"16,404,000"
"Dec 22, 2016",326.00,329.00,322.00,329.00,"19,375,000"
"Dec 21, 2016",336.00,338.00,329.00,332.00,"15,432,000"
"Dec 20, 2016",330.00,336.00,329.00,336.00,"16,179,000"
"Dec 19, 2016",341.00,343.00,334.00,335.00,"18,359,000"
"Dec 16, 2016",341.00,349.00,341.00,348.00,"17,363,000"
"Dec 15, 2016",340.00,346.00,337.00,341.00,"20,761,000"
"Dec 14, 2016",336.00,340.00,333.00,337.00,"17,629,000"
"Dec 13, 2016",326.00,336.00,325.00,334.00,"29,187,000"
"Dec 12, 2016",354.00,356.00,333.00,337.00,"35,151,000"
"Dec 9, 2016",345.00,355.00,342.00,350.00,"34,544,000"
"Dec 8, 2016",342.00,343.00,333.00,341.00,"18,063,000"
"Dec 7, 2016",331.00,341.00,330.00,336.00,"26,744,000"
"Dec 6, 2016",319.00,328.00,317.00,328.00,"21,255,000"
"Dec 5, 2016",312.00,316.00,311.00,315.00,"16,582,000"
"Dec 2, 2016",308.00,317.00,307.00,315.00,"31,795,000"
"Dec 1, 2016",303.00,307.00,301.00,302.00,"21,160,000"
"Nov 30, 2016",295.00,297.00,292.00,294.00,"14,579,000"
"Nov 29, 2016",290.00,292.00,285.00,292.00,"14,746,000"
"Nov 28, 2016",292.00,295.00,289.00,294.00,"10,170,000"
"Nov 25, 2016",298.00,303.00,290.00,294.00,"22,479,000"
"Nov 24, 2016",290.00,295.00,287.00,295.00,"15,603,000"
"Nov 22, 2016",285.00,288.00,282.00,286.00,"12,823,000"
"Nov 21, 2016",285.00,289.00,283.00,287.00,"14,388,000"
"Nov 18, 2016",290.00,293.00,284.00,284.00,"20,607,000"
"Nov 17, 2016",280.00,283.00,275.00,283.00,"16,634,000"
"Nov 16, 2016",286.00,286.00,279.00,284.00,"15,616,000"
"Nov 15, 2016",280.00,286.00,275.00,277.00,"13,263,000"
"Nov 14, 2016",267.00,282.00,267.00,280.00,"18,971,000"
"Nov 11, 2016",261.00,267.00,260.00,266.00,"16,903,000"
"Nov 10, 2016",258.00,259.00,250.00,257.00,"19,932,000"
"Nov 9, 2016",259.00,264.00,232.00,238.00,"38,406,000"
"Nov 8, 2016",249.00,257.00,248.00,256.00,"21,784,000"
"Nov 7, 2016",245.00,249.00,242.00,247.00,"15,482,000"
"Nov 4, 2016",240.00,242.00,236.00,237.00,"14,024,000"
"Nov 2, 2016",251.00,254.00,242.00,243.00,"20,230,000"
"Nov 1, 2016",257.00,264.00,253.00,256.00,"28,105,000"
"Oct 31, 2016",245.00,287.00,243.00,263.00,"102,071,000"
"Oct 28, 2016",246.00,251.00,246.00,249.00,"18,223,000"
"Oct 27, 2016",248.00,249.00,242.00,243.00,"14,156,000"
"Oct 26, 2016",254.00,255.00,249.00,250.00,"9,649,000"
"Oct 25, 2016",259.00,262.00,253.00,254.00,"11,295,000"
"Oct 24, 2016",258.00,259.00,256.00,258.00,"4,936,000"
"Oct 21, 2016",257.00,260.00,256.00,259.00,"7,792,000"
"Oct 20, 2016",253.00,259.00,252.00,258.00,"10,723,000"
"Oct 19, 2016",255.00,259.00,251.00,254.00,"10,045,000"
"Oct 18, 2016",252.00,255.00,245.00,254.00,"10,690,000"
"Oct 17, 2016",252.00,254.00,249.00,252.00,"6,500,000"
"Oct 14, 2016",247.00,252.00,247.00,250.00,"9,466,000"
"Oct 13, 2016",254.00,256.00,247.00,249.00,"12,504,000"
"Oct 12, 2016",252.00,256.00,250.00,251.00,"14,467,000"
"Oct 11, 2016",249.00,255.00,249.00,254.00,"16,805,000"
"Oct 7, 2016",245.00,255.00,244.00,252.00,"21,950,000"
"Oct 6, 2016",246.00,248.00,243.00,244.00,"9,448,000"
"Oct 5, 2016",241.00,242.00,238.00,242.00,"6,868,000"
"Oct 4, 2016",236.00,242.00,235.00,239.00,"12,920,000"
"Oct 3, 2016",239.00,240.00,232.00,233.00,"7,757,000"
"Sep 30, 2016",234.00,235.00,231.00,233.00,"10,085,000"
"Sep 29, 2016",234.00,241.00,234.00,240.00,"13,792,000"
"Sep 28, 2016",231.00,234.00,229.00,231.00,"12,836,000"
"Sep 27, 2016",231.00,238.00,230.00,237.00,"14,158,000"
"Sep 26, 2016",243.00,244.00,234.00,234.00,"11,619,000"
"Sep 23, 2016",242.00,247.00,240.00,242.00,"11,392,000"
"Sep 21, 2016",232.00,242.00,232.00,242.00,"13,147,000"
"Sep 20, 2016",232.00,236.00,228.00,233.00,"9,943,000"
"Sep 16, 2016",234.00,237.00,232.00,234.00,"6,072,000"
"Sep 15, 2016",232.00,236.00,231.00,232.00,"11,047,000"
"Sep 14, 2016",238.00,240.00,233.00,235.00,"14,854,000"
"Sep 13, 2016",254.00,254.00,241.00,243.00,"17,065,000"
"Sep 12, 2016",250.00,256.00,249.00,250.00,"12,196,000"
"Sep 9, 2016",250.00,259.00,249.00,256.00,"13,987,000"
"Sep 8, 2016",247.00,250.00,245.00,248.00,"10,946,000"
"Sep 7, 2016",245.00,247.00,243.00,245.00,"13,996,000"
"Sep 6, 2016",256.00,260.00,247.00,249.00,"20,029,000"
"Sep 5, 2016",251.00,263.00,251.00,259.00,"30,959,000"
"Sep 2, 2016",235.00,244.00,229.00,243.00,"16,790,000"
"Sep 1, 2016",237.00,238.00,232.00,234.00,"7,129,000"
"Aug 31, 2016",240.00,243.00,237.00,239.00,"10,775,000"
"Aug 30, 2016",231.00,237.00,231.00,236.00,"11,035,000"
"Aug 29, 2016",224.00,230.00,223.00,230.00,"9,518,000"
"Aug 26, 2016",222.00,223.00,218.00,218.00,"6,284,000"
"Aug 25, 2016",223.00,224.00,221.00,223.00,"4,615,000"
"Aug 24, 2016",221.00,225.00,219.00,222.00,"6,480,000"
"Aug 23, 2016",221.00,222.00,216.00,218.00,"7,180,000"
"Aug 22, 2016",218.00,224.00,217.00,222.00,"5,847,000"
"Aug 19, 2016",214.00,221.00,213.00,219.00,"8,747,000"
"Aug 18, 2016",216.00,221.00,214.00,214.00,"8,059,000"
"Aug 17, 2016",210.00,219.00,209.00,218.00,"9,385,000"
"Aug 16, 2016",214.00,217.00,210.00,210.00,"16,168,000"
"Aug 15, 2016",220.00,222.00,217.00,217.00,"7,132,000"
"Aug 12, 2016",226.00,226.00,222.00,224.00,"6,361,000"
"Aug 10, 2016",224.00,225.00,219.00,220.00,"7,178,000"
"Aug 9, 2016",222.00,227.00,221.00,226.00,"8,015,000"
"Aug 8, 2016",216.00,222.00,214.00,222.00,"8,905,000"
"Aug 5, 2016",210.00,215.00,207.00,211.00,"9,790,000"
"Aug 4, 2016",205.00,214.00,204.00,212.00,"16,503,000"
"Aug 3, 2016",204.00,205.00,201.00,202.00,"14,032,000"
"Aug 2, 2016",216.00,217.00,210.00,210.00,"13,820,000"
"Aug 1, 2016",215.00,221.00,213.00,220.00,"11,295,000"
"Jul 29, 2016",215.00,222.00,212.00,221.00,"15,091,000"
"Jul 28, 2016",217.00,217.00,212.00,214.00,"11,815,000"
"Jul 27, 2016",212.00,220.00,212.00,218.00,"15,808,000"
"Jul 26, 2016",218.00,219.00,211.00,212.00,"22,439,000"
"Jul 25, 2016",229.00,230.00,220.00,220.00,"18,564,000"
"Jul 22, 2016",236.00,239.00,231.00,232.00,"18,234,000"
"Jul 21, 2016",241.00,245.00,238.00,244.00,"13,104,000"
"Jul 20, 2016",237.00,239.00,229.00,237.00,"13,375,000"
"Jul 19, 2016",234.00,241.00,233.00,240.00,"12,445,000"
"Jul 15, 2016",228.00,233.00,225.00,229.00,"11,381,000"
"Jul 14, 2016",226.00,229.00,222.00,226.00,"11,375,000"
"Jul 13, 2016",230.00,231.00,225.00,228.00,"18,566,000"
"Jul 12, 2016",218.00,225.00,217.00,223.00,"12,381,000"
"Jul 11, 2016",210.00,215.00,208.00,214.00,"10,675,000"
"Jul 8, 2016",202.00,206.00,201.00,202.00,"11,863,000"
"Jul 7, 2016",202.00,206.00,201.00,203.00,"11,246,000"
"Jul 6, 2016",207.00,209.00,202.00,204.00,"12,616,000"
"Jul 5, 2016",212.00,214.00,209.00,211.00,"7,277,000"
"Jul 4, 2016",208.00,212.00,207.00,210.00,"14,217,000"
"Jul 1, 2016",218.00,219.00,211.00,211.00,"10,542,000"
"Jun 30, 2016",219.00,223.00,215.00,216.00,"10,937,000"
"Jun 29, 2016",210.00,219.00,207.00,214.00,"15,939,000"
"Jun 28, 2016",204.00,209.00,199.00,205.00,"13,444,000"
"Jun 27, 2016",216.00,218.00,207.00,208.00,"10,707,000"
"Jun 24, 2016",237.00,241.00,211.00,216.00,"25,642,000"
"Jun 23, 2016",233.00,237.00,231.00,236.00,"12,611,000"
