Date,Open,High,Low,Close,Volume
"Mar 31, 2017","2,534.00","2,578.00","2,518.00","2,520.00","2,114,400"
"Mar 30, 2017","2,495.00","2,523.00","2,491.00","2,497.00","1,017,400"
"Mar 29, 2017","2,521.00","2,548.00","2,504.00","2,511.00","1,416,300"
"Mar 28, 2017","2,506.00","2,522.00","2,497.00","2,516.00","1,195,900"
"Mar 27, 2017","2,481.00","2,488.00","2,455.00","2,463.00","1,125,400"
"Mar 24, 2017","2,480.00","2,535.00","2,473.00","2,525.00","1,602,300"
"Mar 23, 2017","2,495.00","2,520.00","2,473.00","2,487.00","1,441,500"
"Mar 22, 2017","2,453.00","2,485.00","2,444.00","2,472.00","1,669,000"
"Mar 21, 2017","2,490.00","2,516.00","2,480.00","2,509.00","1,111,400"
"Mar 17, 2017","2,512.00","2,542.00","2,511.00","2,531.00","1,521,800"
"Mar 16, 2017","2,482.00","2,545.00","2,476.00","2,523.00","1,110,300"
"Mar 15, 2017","2,518.00","2,525.00","2,496.00","2,515.00","1,231,600"
"Mar 14, 2017","2,499.00","2,508.00","2,452.00","2,503.00","957,700"
"Mar 13, 2017","2,517.00","2,523.00","2,503.00","2,513.00","903,600"
"Mar 10, 2017","2,473.00","2,530.00","2,461.00","2,520.00","2,204,000"
"Mar 9, 2017","2,433.00","2,464.00","2,428.00","2,448.00","1,230,300"
"Mar 8, 2017","2,439.00","2,449.00","2,397.00","2,405.00","1,492,500"
"Mar 7, 2017","2,468.00","2,471.00","2,433.00","2,441.00","1,335,400"
"Mar 6, 2017","2,494.00","2,501.00","2,469.00","2,476.00","1,072,700"
"Mar 3, 2017","2,506.00","2,519.00","2,481.00","2,507.00","1,076,300"
"Mar 2, 2017","2,532.00","2,540.00","2,497.00","2,500.00","1,187,700"
"Mar 1, 2017","2,417.00","2,473.00","2,417.00","2,461.00","1,109,300"
"Feb 28, 2017","2,440.00","2,462.00","2,416.00","2,419.00","1,275,200"
"Feb 27, 2017","2,471.00","2,473.00","2,414.00","2,418.00","1,426,000"
"Feb 24, 2017","2,480.00","2,492.00","2,450.00","2,463.00","1,097,100"
"Feb 23, 2017","2,507.00","2,522.00","2,492.00","2,504.00","964,600"
"Feb 22, 2017","2,500.00","2,542.00","2,496.00","2,506.00","1,251,700"
"Feb 21, 2017","2,449.00","2,486.00","2,449.00","2,482.00","628,100"
"Feb 20, 2017","2,437.00","2,471.00","2,423.00","2,455.00","617,100"
"Feb 17, 2017","2,441.00","2,463.00","2,429.00","2,457.00","810,900"
"Feb 16, 2017","2,470.00","2,482.00","2,435.00","2,460.00","688,000"
"Feb 15, 2017","2,474.00","2,496.00","2,453.00","2,467.00","1,009,800"
"Feb 14, 2017","2,480.00","2,485.00","2,420.00","2,425.00","1,254,500"
"Feb 13, 2017","2,483.00","2,487.00","2,461.00","2,472.00","987,400"
"Feb 10, 2017","2,422.00","2,475.00","2,405.00","2,472.00","2,088,700"
"Feb 9, 2017","2,399.00","2,415.00","2,374.00","2,377.00","2,117,000"
"Feb 8, 2017","2,353.00","2,423.00","2,348.00","2,418.00","2,997,300"
"Feb 7, 2017","2,302.00","2,340.00","2,297.00","2,323.00","1,235,000"
"Feb 6, 2017","2,358.00","2,366.00","2,314.00","2,320.00","956,500"
"Feb 3, 2017","2,375.00","2,376.00","2,316.00","2,325.00","1,676,800"
"Feb 2, 2017","2,355.00","2,384.00","2,345.00","2,358.00","2,411,900"
"Feb 1, 2017","2,350.00","2,355.00","2,303.00","2,330.00","3,278,200"
"Jan 31, 2017","2,238.00","2,252.00","2,211.00","2,220.00","1,478,000"
"Jan 30, 2017","2,297.00","2,299.00","2,268.00","2,279.00","1,053,600"
"Jan 27, 2017","2,299.00","2,320.00","2,294.00","2,306.00","1,352,700"
"Jan 26, 2017","2,291.00","2,305.00","2,283.00","2,287.00","1,462,300"
"Jan 25, 2017","2,270.00","2,279.00","2,247.00","2,255.00","918,000"
"Jan 24, 2017","2,204.00","2,231.00","2,200.00","2,211.00","1,161,700"
"Jan 23, 2017","2,232.00","2,247.00","2,225.00","2,225.00","1,360,300"
"Jan 20, 2017","2,256.00","2,284.00","2,243.00","2,268.00","968,900"
"Jan 19, 2017","2,244.00","2,268.00","2,227.00","2,252.00","980,200"
"Jan 18, 2017","2,217.00","2,241.00","2,189.00","2,232.00","1,090,200"
"Jan 17, 2017","2,263.00","2,263.00","2,221.00","2,221.00","1,173,800"
"Jan 16, 2017","2,291.00","2,300.00","2,252.00","2,266.00","1,481,100"
"Jan 13, 2017","2,290.00","2,316.00","2,284.00","2,314.00","1,508,500"
"Jan 12, 2017","2,303.00","2,305.00","2,272.00","2,280.00","1,036,300"
"Jan 11, 2017","2,311.00","2,324.00","2,293.00","2,309.00","781,100"
"Jan 10, 2017","2,291.00","2,317.00","2,275.00","2,295.00","1,359,700"
"Jan 6, 2017","2,356.00","2,359.00","2,318.00","2,336.00","1,432,300"
"Jan 5, 2017","2,399.00","2,415.00","2,362.00","2,377.00","1,640,600"
"Jan 4, 2017","2,301.00","2,380.00","2,301.00","2,380.00","1,682,900"
"Dec 30, 2016","2,245.00","2,272.00","2,235.00","2,267.00","774,500"
"Dec 29, 2016","2,309.00","2,313.00","2,265.00","2,270.00","1,034,600"
"Dec 28, 2016","2,331.00","2,346.00","2,320.00","2,337.00","559,600"
"Dec 27, 2016","2,308.00","2,333.00","2,298.00","2,319.00","827,700"
"Dec 26, 2016","2,341.00","2,343.00","2,307.00","2,312.00","681,200"
"Dec 22, 2016","2,323.00","2,342.00","2,306.00","2,341.00","923,900"
"Dec 21, 2016","2,374.00","2,374.00","2,314.00","2,334.00","1,629,900"
"Dec 20, 2016","2,350.00","2,361.00","2,328.00","2,358.00","1,500,500"
"Dec 19, 2016","2,383.00","2,397.00","2,350.00","2,361.00","1,555,300"
"Dec 16, 2016","2,409.00","2,444.00","2,401.00","2,415.00","1,910,500"
"Dec 15, 2016","2,370.00","2,417.00","2,352.00","2,386.00","2,120,800"
"Dec 14, 2016","2,365.00","2,365.00","2,326.00","2,352.00","1,710,900"
"Dec 13, 2016","2,373.00","2,373.00","2,334.00","2,365.00","1,460,600"
"Dec 12, 2016","2,435.00","2,445.00","2,355.00","2,391.00","2,456,400"
"Dec 9, 2016","2,401.00","2,404.00","2,336.00","2,401.00","3,655,400"
"Dec 8, 2016","2,389.00","2,429.00","2,384.00","2,411.00","2,514,500"
"Dec 7, 2016","2,305.00","2,341.00","2,290.00","2,339.00","1,929,300"
"Dec 6, 2016","2,295.00","2,310.00","2,292.00","2,305.00","1,932,700"
"Dec 5, 2016","2,257.00","2,278.00","2,250.00","2,272.00","1,450,600"
"Dec 2, 2016","2,255.00","2,272.00","2,245.00","2,266.00","2,171,000"
"Dec 1, 2016","2,236.00","2,274.00","2,234.00","2,251.00","2,462,800"
"Nov 30, 2016","2,210.00","2,215.00","2,186.00","2,186.00","1,689,000"
"Nov 29, 2016","2,209.00","2,217.00","2,175.00","2,190.00","1,679,000"
