Date,Open,High,Low,Close,Volume
"Mar 31, 2017","1,649.00","1,649.00","1,612.00","1,614.00","1,864,000"
"Mar 30, 2017","1,633.00","1,657.00","1,632.00","1,637.00","1,768,700"
"Mar 29, 2017","1,665.00","1,674.00","1,651.00","1,657.00","1,375,700"
"Mar 28, 2017","1,645.00","1,658.00","1,643.00","1,656.00","1,649,000"
"Mar 27, 2017","1,643.00","1,656.00","1,630.00","1,634.00","1,823,600"
"Mar 24, 2017","1,633.00","1,658.00","1,631.00","1,653.00","2,032,300"
"Mar 23, 2017","1,621.00","1,640.00","1,618.00","1,634.00","2,037,100"
"Mar 22, 2017","1,651.00","1,659.00","1,633.00","1,636.00","2,009,700"
"Mar 21, 2017","1,689.00","1,702.00","1,677.00","1,684.00","1,444,100"
"Mar 17, 2017","1,693.00","1,711.00","1,693.00","1,699.00","2,063,500"
"Mar 16, 2017","1,700.00","1,711.00","1,694.00","1,702.00","1,856,100"
"Mar 15, 2017","1,700.00","1,719.00","1,700.00","1,713.00","1,613,200"
"Mar 14, 2017","1,707.00","1,722.00","1,701.00","1,711.00","2,018,000"
"Mar 13, 2017","1,706.00","1,719.00","1,699.00","1,717.00","2,400,800"
"Mar 10, 2017","1,700.00","1,728.00","1,699.00","1,723.00","4,551,300"
"Mar 9, 2017","1,688.00","1,699.00","1,682.00","1,692.00","1,781,900"
"Mar 8, 2017","1,659.00","1,680.00","1,659.00","1,672.00","1,941,500"
"Mar 7, 2017","1,681.00","1,685.00","1,653.00","1,653.00","4,122,400"
"Mar 6, 2017","1,690.00","1,697.00","1,685.00","1,692.00","1,954,700"
"Mar 3, 2017","1,731.00","1,731.00","1,695.00","1,699.00","2,282,700"
"Mar 2, 2017","1,723.00","1,733.00","1,716.00","1,727.00","2,833,100"
"Mar 1, 2017","1,727.00","1,730.00","1,697.00","1,705.00","2,898,700"
"Feb 28, 2017","1,711.00","1,723.00","1,706.00","1,717.00","2,582,500"
"Feb 27, 2017","1,708.00","1,716.00","1,695.00","1,705.00","2,136,100"
"Feb 24, 2017","1,723.00","1,737.00","1,720.00","1,724.00","1,605,100"
"Feb 23, 2017","1,724.00","1,731.00","1,718.00","1,726.00","1,508,300"
"Feb 22, 2017","1,725.00","1,736.00","1,706.00","1,713.00","2,240,900"
"Feb 21, 2017","1,706.00","1,739.00","1,706.00","1,725.00","2,523,700"
"Feb 20, 2017","1,687.00","1,709.00","1,681.00","1,707.00","2,317,900"
"Feb 17, 2017","1,650.00","1,686.00","1,650.00","1,683.00","2,411,000"
"Feb 16, 2017","1,649.00","1,704.00","1,643.00","1,679.00","6,977,300"
"Feb 15, 2017","1,621.00","1,644.00","1,609.00","1,644.00","6,121,000"
