Date,Open,High,Low,Close,Volume
"Mar 31, 2017",813.00,819.00,804.00,809.00,"1,970,900"
"Mar 30, 2017",801.00,812.00,800.00,810.00,"2,028,400"
"Mar 29, 2017",801.00,811.00,798.00,810.00,"1,501,700"
"Mar 28, 2017",796.00,811.00,793.00,796.00,"1,664,000"
"Mar 27, 2017",804.00,804.00,783.00,797.00,"2,061,600"
"Mar 24, 2017",807.00,821.00,803.00,811.00,"995,900"
"Mar 23, 2017",814.00,823.00,809.00,809.00,"1,312,700"
"Mar 22, 2017",820.00,821.00,804.00,810.00,"2,351,900"
"Mar 21, 2017",838.00,841.00,829.00,830.00,"1,477,800"
"Mar 17, 2017",843.00,848.00,839.00,844.00,"977,600"
"Mar 16, 2017",845.00,857.00,840.00,848.00,"1,383,800"
"Mar 15, 2017",868.00,868.00,841.00,847.00,"3,133,800"
"Mar 14, 2017",883.00,888.00,879.00,885.00,"596,500"
"Mar 13, 2017",877.00,888.00,870.00,883.00,"915,100"
"Mar 10, 2017",896.00,897.00,880.00,887.00,"1,260,700"
"Mar 9, 2017",886.00,892.00,872.00,880.00,"2,143,500"
"Mar 8, 2017",870.00,884.00,869.00,884.00,"2,040,100"
"Mar 7, 2017",867.00,874.00,861.00,874.00,"1,284,100"
"Mar 6, 2017",852.00,874.00,852.00,873.00,"1,749,500"
"Mar 3, 2017",865.00,866.00,852.00,856.00,"979,900"
"Mar 2, 2017",859.00,873.00,858.00,867.00,"1,708,800"
"Mar 1, 2017",843.00,852.00,837.00,851.00,"1,005,700"
"Feb 28, 2017",836.00,850.00,836.00,844.00,"1,634,400"
"Feb 27, 2017",835.00,842.00,820.00,826.00,"1,257,900"
"Feb 24, 2017",843.00,848.00,831.00,833.00,"1,994,800"
"Feb 23, 2017",853.00,854.00,846.00,852.00,"1,074,700"
"Feb 22, 2017",868.00,868.00,847.00,851.00,"1,344,700"
"Feb 21, 2017",854.00,866.00,854.00,865.00,"830,300"
