Date,Open,High,Low,Close,Volume
"Mar 31, 2017","8,776.00","8,843.00","8,602.00","8,602.00","1,366,000"
"Mar 30, 2017","8,648.00","8,812.00","8,640.00","8,801.00","1,069,600"
"Mar 29, 2017","8,697.00","8,749.00","8,588.00","8,675.00","772,300"
"Mar 28, 2017","8,647.00","8,736.00","8,628.00","8,677.00","940,600"
"Mar 27, 2017","8,499.00","8,567.00","8,490.00","8,564.00","811,500"
"Mar 24, 2017","8,643.00","8,713.00","8,586.00","8,649.00","895,900"
"Mar 23, 2017","8,540.00","8,648.00","8,502.00","8,634.00","872,100"
"Mar 22, 2017","8,520.00","8,629.00","8,510.00","8,605.00","1,297,200"
"Mar 21, 2017","8,732.00","8,767.00","8,675.00","8,739.00","863,400"
"Mar 17, 2017","8,752.00","8,813.00","8,703.00","8,800.00","1,348,200"
"Mar 16, 2017","8,801.00","8,888.00","8,721.00","8,838.00","1,473,500"
"Mar 15, 2017","8,850.00","8,895.00","8,800.00","8,873.00","1,351,000"
"Mar 14, 2017","9,125.00","9,133.00","9,018.00","9,040.00","901,100"
"Mar 13, 2017","9,077.00","9,152.00","9,040.00","9,137.00","626,400"
"Mar 10, 2017","9,014.00","9,161.00","8,983.00","9,136.00","1,666,700"
"Mar 9, 2017","9,174.00","9,174.00","9,023.00","9,073.00","825,900"
"Mar 8, 2017","9,264.00","9,264.00","9,039.00","9,044.00","1,215,400"
"Mar 7, 2017","9,350.00","9,353.00","9,250.00","9,273.00","1,057,200"
"Mar 6, 2017","9,472.00","9,480.00","9,291.00","9,390.00","797,800"
"Mar 3, 2017","9,631.00","9,671.00","9,491.00","9,533.00","992,800"
"Mar 2, 2017","9,800.00","9,848.00","9,702.00","9,714.00","1,116,700"
"Mar 1, 2017","9,539.00","9,654.00","9,466.00","9,642.00","896,600"
"Feb 28, 2017","9,520.00","9,540.00","9,440.00","9,460.00","670,900"
"Feb 27, 2017","9,441.00","9,500.00","9,381.00","9,455.00","547,800"
"Feb 24, 2017","9,540.00","9,592.00","9,442.00","9,525.00","624,300"
"Feb 23, 2017","9,661.00","9,661.00","9,552.00","9,591.00","429,400"
"Feb 22, 2017","9,619.00","9,664.00","9,560.00","9,660.00","437,600"
"Feb 21, 2017","9,567.00","9,624.00","9,534.00","9,577.00","381,100"
"Feb 20, 2017","9,527.00","9,569.00","9,477.00","9,528.00","355,900"
"Feb 17, 2017","9,638.00","9,645.00","9,558.00","9,585.00","452,000"
"Feb 16, 2017","9,762.00","9,770.00","9,652.00","9,676.00","445,500"
"Feb 15, 2017","9,762.00","9,859.00","9,750.00","9,774.00","668,300"
"Feb 14, 2017","9,648.00","9,775.00","9,606.00","9,612.00","760,700"
"Feb 13, 2017","9,543.00","9,666.00","9,543.00","9,594.00","840,700"
"Feb 10, 2017","9,350.00","9,475.00","9,294.00","9,454.00","921,300"
"Feb 9, 2017","9,250.00","9,291.00","9,196.00","9,201.00","431,600"
"Feb 8, 2017","9,226.00","9,346.00","9,222.00","9,318.00","357,400"
"Feb 7, 2017","9,221.00","9,282.00","9,145.00","9,259.00","528,900"
"Feb 6, 2017","9,397.00","9,428.00","9,261.00","9,311.00","570,200"
"Feb 3, 2017","9,310.00","9,397.00","9,225.00","9,326.00","720,000"
"Feb 2, 2017","9,430.00","9,432.00","9,218.00","9,249.00","1,142,400"
"Feb 1, 2017","9,243.00","9,539.00","9,214.00","9,450.00","1,573,400"
"Jan 31, 2017","9,100.00","9,124.00","8,910.00","8,943.00","1,237,700"
"Jan 30, 2017","9,217.00","9,238.00","9,150.00","9,204.00","504,700"
"Jan 27, 2017","9,311.00","9,353.00","9,237.00","9,287.00","994,000"
"Jan 26, 2017","9,195.00","9,296.00","9,130.00","9,290.00","1,123,300"
"Jan 25, 2017","9,100.00","9,168.00","9,080.00","9,149.00","1,044,300"
"Jan 24, 2017","8,800.00","8,948.00","8,800.00","8,891.00","909,300"
"Jan 23, 2017","8,732.00","8,880.00","8,732.00","8,791.00","826,600"
"Jan 20, 2017","8,727.00","8,845.00","8,727.00","8,784.00","635,000"
"Jan 19, 2017","8,761.00","8,867.00","8,743.00","8,793.00","726,900"
"Jan 18, 2017","8,601.00","8,700.00","8,489.00","8,669.00","1,235,700"
"Jan 17, 2017","8,848.00","8,865.00","8,696.00","8,701.00","700,400"
"Jan 16, 2017","8,795.00","8,855.00","8,727.00","8,798.00","710,500"
"Jan 13, 2017","8,800.00","8,887.00","8,792.00","8,871.00","888,800"
"Jan 12, 2017","8,895.00","8,912.00","8,808.00","8,846.00","773,000"
"Jan 11, 2017","8,891.00","8,969.00","8,881.00","8,918.00","524,700"
"Jan 10, 2017","8,931.00","9,010.00","8,852.00","8,899.00","630,300"
"Jan 6, 2017","8,968.00","9,075.00","8,882.00","8,987.00","953,700"
"Jan 5, 2017","9,117.00","9,150.00","8,900.00","8,920.00","1,007,400"
"Jan 4, 2017","8,819.00","9,170.00","8,771.00","9,163.00","1,065,400"
"Dec 30, 2016","8,899.00","9,015.00","8,846.00","8,969.00","632,300"
"Dec 29, 2016","9,099.00","9,100.00","8,933.00","8,971.00","608,900"
"Dec 28, 2016","9,110.00","9,180.00","9,074.00","9,124.00","674,600"
"Dec 27, 2016","9,100.00","9,105.00","9,033.00","9,087.00","750,200"
"Dec 26, 2016","9,109.00","9,130.00","9,063.00","9,096.00","419,900"
"Dec 22, 2016","9,100.00","9,133.00","9,008.00","9,121.00","622,800"
"Dec 21, 2016","9,150.00","9,150.00","9,043.00","9,093.00","1,262,700"
"Dec 20, 2016","9,134.00","9,197.00","9,073.00","9,166.00","981,300"
"Dec 19, 2016","9,003.00","9,137.00","8,983.00","9,127.00","699,800"
"Dec 16, 2016","9,073.00","9,157.00","9,035.00","9,073.00","1,064,500"
"Dec 15, 2016","8,950.00","9,147.00","8,950.00","9,058.00","1,628,900"
"Dec 14, 2016","8,850.00","8,914.00","8,807.00","8,869.00","921,700"
"Dec 13, 2016","8,776.00","8,831.00","8,730.00","8,811.00","891,500"
"Dec 12, 2016","8,668.00","8,855.00","8,578.00","8,801.00","1,828,500"
"Dec 9, 2016","8,646.00","8,710.00","8,539.00","8,547.00","2,177,400"
"Dec 8, 2016","8,500.00","8,583.00","8,418.00","8,490.00","1,064,100"
"Dec 7, 2016","8,332.00","8,496.00","8,301.00","8,404.00","1,099,700"
"Dec 6, 2016","8,375.00","8,462.00","8,255.00","8,293.00","1,373,700"
"Dec 5, 2016","8,180.00","8,214.00","8,101.00","8,129.00","823,000"
"Dec 2, 2016","8,182.00","8,220.00","8,112.00","8,180.00","1,002,700"
"Dec 1, 2016","8,010.00","8,382.00","8,004.00","8,207.00","1,973,300"
"Nov 30, 2016","7,950.00","7,980.00","7,863.00","7,896.00","1,135,700"
"Nov 29, 2016","7,950.00","7,957.00","7,874.00","7,922.00","881,800"
"Nov 28, 2016","7,892.00","7,957.00","7,818.00","7,955.00","969,900"
"Nov 25, 2016","7,878.00","7,960.00","7,858.00","7,892.00","1,022,600"
"Nov 24, 2016","7,965.00","7,988.00","7,801.00","7,829.00","1,051,200"
"Nov 22, 2016","7,926.00","7,960.00","7,888.00","7,920.00","646,000"
"Nov 21, 2016","7,892.00","7,939.00","7,848.00","7,874.00","722,000"
"Nov 18, 2016","7,832.00","7,908.00","7,811.00","7,839.00","1,030,700"
"Nov 17, 2016","7,818.00","7,857.00","7,684.00","7,831.00","1,173,200"
"Nov 16, 2016","7,990.00","7,998.00","7,874.00","7,910.00","1,229,100"
"Nov 15, 2016","7,926.00","7,974.00","7,856.00","7,880.00","1,448,900"
"Nov 14, 2016","7,707.00","8,000.00","7,701.00","7,898.00","1,540,800"
"Nov 11, 2016","8,012.00","8,050.00","7,701.00","7,755.00","3,218,200"
"Nov 10, 2016","7,100.00","7,324.00","7,094.00","7,262.00","2,301,300"
"Nov 9, 2016","7,337.00","7,498.00","6,768.00","6,842.00","1,964,100"
"Nov 8, 2016","7,230.00","7,325.00","7,170.00","7,299.00","945,200"
"Nov 7, 2016","7,219.00","7,280.00","7,163.00","7,241.00","1,061,200"
"Nov 4, 2016","7,280.00","7,283.00","7,101.00","7,148.00","1,265,200"
"Nov 2, 2016","7,408.00","7,489.00","7,342.00","7,347.00","1,034,700"
"Nov 1, 2016","7,439.00","7,499.00","7,386.00","7,437.00","1,253,500"
"Oct 31, 2016","7,272.00","7,344.00","7,205.00","7,326.00","991,600"
"Oct 28, 2016","7,420.00","7,454.00","7,384.00","7,399.00","1,265,400"
"Oct 27, 2016","7,395.00","7,424.00","7,272.00","7,301.00","825,500"
"Oct 26, 2016","7,340.00","7,448.00","7,323.00","7,433.00","598,100"
"Oct 25, 2016","7,376.00","7,437.00","7,339.00","7,415.00","958,800"
"Oct 24, 2016","7,354.00","7,387.00","7,286.00","7,383.00","646,700"
"Oct 21, 2016","7,255.00","7,467.00","7,247.00","7,356.00","1,478,400"
"Oct 20, 2016","7,128.00","7,230.00","7,092.00","7,213.00","794,800"
"Oct 19, 2016","7,140.00","7,188.00","7,077.00","7,135.00","876,900"
"Oct 18, 2016","6,869.00","7,175.00","6,856.00","7,145.00","1,859,300"
"Oct 17, 2016","6,811.00","6,905.00","6,811.00","6,887.00","673,600"
"Oct 14, 2016","6,760.00","6,859.00","6,754.00","6,805.00","1,266,400"
"Oct 13, 2016","6,897.00","6,910.00","6,765.00","6,814.00","592,200"
"Oct 12, 2016","6,860.00","6,880.00","6,801.00","6,830.00","808,300"
"Oct 11, 2016","6,859.00","6,979.00","6,856.00","6,958.00","889,300"
"Oct 7, 2016","6,748.00","6,811.00","6,732.00","6,805.00","754,100"
"Oct 6, 2016","6,734.00","6,781.00","6,717.00","6,722.00","659,700"
"Oct 5, 2016","6,703.00","6,734.00","6,647.00","6,665.00","709,000"
"Oct 4, 2016","6,592.00","6,679.00","6,576.00","6,678.00","723,600"
"Oct 3, 2016","6,558.00","6,566.00","6,480.00","6,542.00","762,300"
"Sep 30, 2016","6,498.00","6,522.00","6,433.00","6,506.00","1,129,100"
"Sep 29, 2016","6,537.00","6,651.00","6,513.00","6,617.00","622,400"
"Sep 28, 2016","6,450.00","6,545.00","6,450.00","6,487.00","656,900"
"Sep 27, 2016","6,500.00","6,598.00","6,412.00","6,598.00","813,000"
"Sep 26, 2016","6,631.00","6,651.00","6,541.00","6,553.00","864,700"
"Sep 23, 2016","6,735.00","6,735.00","6,621.00","6,668.00","753,500"
"Sep 21, 2016","6,654.00","6,749.00","6,566.00","6,737.00","1,155,600"
"Sep 20, 2016","6,575.00","6,713.00","6,575.00","6,622.00","879,700"
"Sep 16, 2016","6,643.00","6,670.00","6,569.00","6,632.00","1,259,900"
"Sep 15, 2016","6,563.00","6,618.00","6,520.00","6,603.00","1,167,700"
"Sep 14, 2016","6,555.00","6,629.00","6,550.00","6,587.00","824,400"
"Sep 13, 2016","6,599.00","6,649.00","6,538.00","6,589.00","601,400"
"Sep 12, 2016","6,660.00","6,676.00","6,515.00","6,548.00","887,800"
"Sep 9, 2016","6,760.00","6,767.00","6,675.00","6,736.00","1,386,600"
"Sep 8, 2016","6,816.00","6,825.00","6,660.00","6,673.00","1,480,300"
"Sep 7, 2016","6,804.00","6,918.00","6,707.00","6,910.00","958,100"
"Sep 6, 2016","6,932.00","6,947.00","6,881.00","6,899.00","614,100"
"Sep 5, 2016","7,005.00","7,071.00","6,921.00","6,933.00","562,800"
"Sep 2, 2016","6,990.00","6,990.00","6,877.00","6,968.00","857,600"
"Sep 1, 2016","7,050.00","7,119.00","6,990.00","7,018.00","731,600"
"Aug 31, 2016","7,047.00","7,162.00","7,025.00","7,064.00","685,900"
"Aug 30, 2016","6,945.00","6,998.00","6,940.00","6,972.00","482,400"
"Aug 29, 2016","6,829.00","7,020.00","6,801.00","6,969.00","1,031,800"
"Aug 26, 2016","6,784.00","6,797.00","6,644.00","6,685.00","1,344,700"
"Aug 25, 2016","6,850.00","6,970.00","6,844.00","6,891.00","1,281,400"
