Date,Open,High,Low,Close,Volume
"Mar 31, 2017","4,305.00","4,370.00","4,280.00","4,280.00","1,584,400"
"Mar 30, 2017","4,300.00","4,350.00","4,275.00","4,280.00","1,090,700"
"Mar 29, 2017","4,345.00","4,390.00","4,345.00","4,365.00","1,197,500"
"Mar 28, 2017","4,310.00","4,345.00","4,280.00","4,340.00","1,273,400"
"Mar 27, 2017","4,250.00","4,285.00","4,240.00","4,250.00","892,000"
"Mar 24, 2017","4,260.00","4,315.00","4,240.00","4,305.00","1,098,400"
"Mar 23, 2017","4,250.00","4,280.00","4,225.00","4,275.00","844,000"
"Mar 22, 2017","4,205.00","4,255.00","4,155.00","4,230.00","1,273,800"
"Mar 21, 2017","4,280.00","4,365.00","4,270.00","4,330.00","1,298,600"
"Mar 17, 2017","4,260.00","4,310.00","4,240.00","4,300.00","2,761,200"
"Mar 16, 2017","4,240.00","4,295.00","4,225.00","4,295.00","976,000"
"Mar 15, 2017","4,245.00","4,270.00","4,220.00","4,260.00","860,100"
"Mar 14, 2017","4,295.00","4,300.00","4,240.00","4,260.00","1,051,100"
"Mar 13, 2017","4,190.00","4,240.00","4,165.00","4,215.00","916,500"
"Mar 10, 2017","4,265.00","4,305.00","4,175.00","4,200.00","3,130,600"
"Mar 9, 2017","4,065.00","4,210.00","4,040.00","4,190.00","3,356,900"
"Mar 8, 2017","4,020.00","4,085.00","4,020.00","4,040.00","2,501,900"
"Mar 7, 2017","3,990.00","4,020.00","3,970.00","4,005.00","1,440,000"
"Mar 6, 2017","4,045.00","4,045.00","3,970.00","3,985.00","1,337,400"
"Mar 3, 2017","4,050.00","4,055.00","4,005.00","4,025.00","1,764,100"
"Mar 2, 2017","4,050.00","4,055.00","4,015.00","4,040.00","1,954,500"
"Mar 1, 2017","4,000.00","4,035.00","3,980.00","4,030.00","2,396,200"
"Feb 28, 2017","3,975.00","3,990.00","3,950.00","3,975.00","1,676,300"
"Feb 27, 2017","3,940.00","3,965.00","3,925.00","3,950.00","1,198,100"
"Feb 24, 2017","3,950.00","4,000.00","3,935.00","3,975.00","1,510,200"
"Feb 23, 2017","3,980.00","3,985.00","3,940.00","3,970.00","1,376,200"
"Feb 22, 2017","3,970.00","3,990.00","3,960.00","3,975.00","980,100"
"Feb 21, 2017","3,925.00","3,975.00","3,905.00","3,970.00","887,200"
"Feb 20, 2017","3,920.00","3,955.00","3,895.00","3,940.00","863,400"
"Feb 17, 2017","3,915.00","3,915.00","3,875.00","3,910.00","1,966,900"
"Feb 16, 2017","4,020.00","4,020.00","3,915.00","3,940.00","1,529,500"
"Feb 15, 2017","4,050.00","4,050.00","3,995.00","4,020.00","731,700"
"Feb 14, 2017","4,100.00","4,110.00","3,990.00","3,995.00","798,300"
"Feb 13, 2017","4,100.00","4,110.00","4,050.00","4,075.00","899,100"
"Feb 10, 2017","3,985.00","4,070.00","3,960.00","4,060.00","1,949,300"
"Feb 9, 2017","3,955.00","3,975.00","3,925.00","3,965.00","1,015,500"
"Feb 8, 2017","3,880.00","3,980.00","3,875.00","3,980.00","997,300"
"Feb 7, 2017","3,835.00","3,900.00","3,825.00","3,885.00","1,231,400"
"Feb 6, 2017","3,900.00","3,910.00","3,845.00","3,880.00","1,218,700"
"Feb 3, 2017","4,005.00","4,005.00","3,850.00","3,875.00","1,905,300"
"Feb 2, 2017","3,940.00","3,965.00","3,850.00","3,865.00","1,186,500"
"Feb 1, 2017","3,850.00","3,905.00","3,815.00","3,905.00","1,306,000"
"Jan 31, 2017","3,930.00","3,955.00","3,895.00","3,895.00","1,372,600"
"Jan 30, 2017","4,000.00","4,005.00","3,960.00","3,985.00","906,700"
"Jan 27, 2017","4,000.00","4,025.00","3,985.00","4,000.00","1,041,500"
"Jan 26, 2017","3,950.00","3,975.00","3,925.00","3,970.00","1,506,400"
"Jan 25, 2017","3,950.00","3,960.00","3,900.00","3,910.00","1,012,100"
"Jan 24, 2017","3,920.00","3,945.00","3,890.00","3,890.00","1,167,200"
"Jan 23, 2017","4,020.00","4,020.00","3,925.00","3,940.00","1,813,500"
"Jan 20, 2017","4,030.00","4,080.00","3,990.00","4,060.00","1,518,500"
"Jan 19, 2017","4,000.00","4,050.00","3,985.00","4,010.00","1,245,000"
"Jan 18, 2017","3,950.00","3,950.00","3,875.00","3,915.00","1,418,500"
"Jan 17, 2017","4,045.00","4,045.00","3,945.00","3,945.00","982,900"
"Jan 16, 2017","4,050.00","4,070.00","4,030.00","4,035.00","852,700"
"Jan 13, 2017","4,035.00","4,090.00","4,025.00","4,090.00","1,018,300"
"Jan 12, 2017","4,055.00","4,070.00","3,980.00","4,010.00","1,301,600"
"Jan 11, 2017","4,115.00","4,145.00","4,090.00","4,095.00","1,157,100"
"Jan 10, 2017","4,120.00","4,155.00","4,090.00","4,100.00","1,365,600"
"Jan 6, 2017","4,105.00","4,140.00","4,075.00","4,110.00","1,025,800"
"Jan 5, 2017","4,110.00","4,125.00","4,080.00","4,095.00","1,149,300"
"Jan 4, 2017","4,070.00","4,140.00","4,055.00","4,110.00","1,971,300"
"Dec 30, 2016","3,990.00","4,055.00","3,985.00","4,040.00","986,000"
"Dec 29, 2016","4,000.00","4,075.00","3,985.00","4,025.00","1,688,700"
"Dec 28, 2016","4,035.00","4,050.00","3,975.00","4,000.00","1,754,600"
"Dec 27, 2016","4,060.00","4,080.00","4,010.00","4,030.00","1,795,300"
"Dec 26, 2016","3,950.00","4,100.00","3,945.00","4,065.00","1,939,200"
"Dec 22, 2016","3,930.00","4,015.00","3,820.00","3,925.00","4,689,800"
"Dec 21, 2016","4,305.00","4,315.00","4,125.00","4,135.00","2,037,800"
"Dec 20, 2016","4,255.00","4,315.00","4,210.00","4,305.00","1,450,100"
"Dec 19, 2016","4,320.00","4,345.00","4,290.00","4,300.00","1,124,200"
"Dec 16, 2016","4,340.00","4,355.00","4,310.00","4,330.00","1,313,300"
"Dec 15, 2016","4,260.00","4,345.00","4,235.00","4,290.00","1,611,800"
"Dec 14, 2016","4,250.00","4,280.00","4,235.00","4,260.00","1,088,800"
"Dec 13, 2016","4,205.00","4,230.00","4,165.00","4,220.00","1,068,800"
"Dec 12, 2016","4,220.00","4,260.00","4,175.00","4,210.00","1,256,100"
"Dec 9, 2016","4,170.00","4,195.00","4,140.00","4,170.00","2,300,700"
"Dec 8, 2016","4,110.00","4,150.00","4,070.00","4,095.00","1,280,500"
"Dec 7, 2016","4,035.00","4,080.00","4,030.00","4,065.00","1,162,900"
"Dec 6, 2016","4,090.00","4,100.00","4,035.00","4,070.00","1,240,900"
