Date,Open,High,Low,Close,Volume
"Mar 31, 2017",428.00,431.20,423.00,423.00,"7,793,000"
"Mar 30, 2017",435.20,436.90,420.20,423.00,"8,366,000"
"Mar 29, 2017",437.50,438.70,433.70,437.00,"6,759,000"
"Mar 28, 2017",440.10,441.40,438.20,439.70,"6,373,000"
"Mar 27, 2017",437.20,439.10,434.40,438.00,"3,826,000"
"Mar 24, 2017",437.90,441.30,435.50,441.10,"4,330,000"
"Mar 23, 2017",433.00,436.60,431.60,436.20,"3,785,000"
"Mar 22, 2017",431.60,434.90,431.50,432.90,"5,091,000"
"Mar 21, 2017",434.80,436.40,432.80,434.10,"4,273,000"
"Mar 17, 2017",438.10,438.30,431.00,434.30,"9,023,000"
"Mar 16, 2017",442.40,443.10,439.90,440.90,"3,032,000"
"Mar 15, 2017",439.80,443.90,437.00,441.00,"5,276,000"
"Mar 14, 2017",441.50,443.00,439.10,439.10,"3,050,000"
"Mar 13, 2017",436.00,441.40,435.60,440.70,"5,115,000"
"Mar 10, 2017",434.20,440.50,433.90,437.90,"10,080,000"
"Mar 9, 2017",443.30,443.50,435.60,436.80,"5,439,000"
"Mar 8, 2017",440.30,443.50,438.70,442.10,"6,194,000"
"Mar 7, 2017",432.50,439.90,432.50,439.00,"6,166,000"
"Mar 6, 2017",437.00,438.90,432.10,432.10,"3,505,000"
"Mar 3, 2017",442.60,444.40,436.70,439.00,"3,460,000"
"Mar 2, 2017",440.70,442.30,438.50,440.00,"4,469,000"
"Mar 1, 2017",436.10,438.70,434.00,437.10,"4,058,000"
"Feb 28, 2017",437.00,440.10,432.10,433.20,"8,176,000"
"Feb 27, 2017",434.40,436.80,430.60,434.00,"7,048,000"
"Feb 24, 2017",439.40,441.50,437.50,438.90,"5,649,000"
"Feb 23, 2017",438.80,441.10,434.60,440.10,"4,973,000"
"Feb 22, 2017",438.00,438.30,434.70,437.50,"4,087,000"
"Feb 21, 2017",430.00,435.20,430.00,434.30,"3,281,000"
"Feb 20, 2017",428.20,431.70,426.20,431.50,"2,344,000"
"Feb 17, 2017",430.60,432.20,428.10,430.00,"4,220,000"
"Feb 16, 2017",432.90,433.10,429.30,430.90,"4,111,000"
"Feb 15, 2017",440.00,440.40,431.30,432.90,"4,401,000"
"Feb 14, 2017",443.50,445.00,436.50,436.70,"4,686,000"
"Feb 13, 2017",444.30,445.00,436.60,439.30,"5,597,000"
"Feb 10, 2017",443.90,445.00,441.80,443.30,"5,188,000"
"Feb 9, 2017",434.10,438.10,433.60,437.50,"5,297,000"
"Feb 8, 2017",435.00,436.80,431.30,435.10,"4,017,000"
"Feb 7, 2017",427.10,432.00,427.10,431.10,"4,066,000"
"Feb 6, 2017",431.20,432.50,428.10,432.10,"4,094,000"
"Feb 3, 2017",431.90,434.30,429.00,429.30,"6,891,000"
"Feb 2, 2017",433.40,433.90,424.60,427.30,"8,032,000"
"Feb 1, 2017",432.90,436.50,431.30,434.30,"7,109,000"
"Jan 31, 2017",429.90,430.00,421.90,422.70,"5,791,000"
"Jan 30, 2017",431.20,433.60,429.40,433.00,"5,983,000"
"Jan 27, 2017",436.90,438.90,431.90,432.20,"3,990,000"
"Jan 26, 2017",436.10,438.80,433.00,435.30,"7,564,000"
"Jan 25, 2017",435.10,438.60,429.30,431.80,"5,737,000"
"Jan 24, 2017",430.00,433.10,427.40,429.20,"7,314,000"
"Jan 23, 2017",438.80,439.00,435.00,437.00,"4,857,000"
"Jan 20, 2017",440.70,444.50,439.80,442.60,"3,610,000"
"Jan 19, 2017",442.90,447.40,440.20,440.90,"4,116,000"
"Jan 18, 2017",440.00,440.80,436.40,438.00,"5,341,000"
"Jan 17, 2017",445.90,446.80,440.00,440.00,"6,374,000"
"Jan 16, 2017",445.10,447.40,442.30,444.10,"4,682,000"
