Date,Open,High,Low,Close,Volume
"Mar 31, 2017","5,114.00","5,130.00","5,022.00","5,022.00","1,445,500"
"Mar 30, 2017","5,151.00","5,189.00","5,104.00","5,114.00","897,500"
"Mar 29, 2017","5,200.00","5,249.00","5,182.00","5,230.00","1,063,600"
"Mar 28, 2017","5,160.00","5,197.00","5,133.00","5,177.00","1,054,300"
"Mar 27, 2017","5,089.00","5,132.00","5,072.00","5,109.00","970,300"
"Mar 24, 2017","5,082.00","5,140.00","5,054.00","5,127.00","1,079,100"
"Mar 23, 2017","5,037.00","5,087.00","5,025.00","5,075.00","1,120,900"
"Mar 22, 2017","4,843.00","5,095.00","4,838.00","5,062.00","2,379,600"
"Mar 21, 2017","5,102.00","5,152.00","5,100.00","5,113.00","1,675,300"
"Mar 17, 2017","5,204.00","5,234.00","5,170.00","5,202.00","1,501,000"
"Mar 16, 2017","5,258.00","5,280.00","5,238.00","5,246.00","1,716,000"
"Mar 15, 2017","5,260.00","5,342.00","5,254.00","5,319.00","1,010,100"
"Mar 14, 2017","5,305.00","5,340.00","5,264.00","5,294.00","1,228,500"
"Mar 13, 2017","5,266.00","5,339.00","5,257.00","5,300.00","1,251,900"
"Mar 10, 2017","5,265.00","5,393.00","5,261.00","5,319.00","3,317,300"
"Mar 9, 2017","5,104.00","5,105.00","5,050.00","5,065.00","1,150,200"
"Mar 8, 2017","5,086.00","5,090.00","5,040.00","5,069.00","1,061,200"
"Mar 7, 2017","5,090.00","5,122.00","5,084.00","5,107.00","1,142,500"
"Mar 6, 2017","5,158.00","5,158.00","5,104.00","5,119.00","873,700"
"Mar 3, 2017","5,150.00","5,178.00","5,127.00","5,162.00","1,348,100"
"Mar 2, 2017","5,221.00","5,242.00","5,180.00","5,199.00","1,468,000"
"Mar 1, 2017","5,109.00","5,190.00","5,106.00","5,174.00","1,301,900"
"Feb 28, 2017","5,148.00","5,175.00","5,102.00","5,111.00","1,483,700"
"Feb 27, 2017","5,140.00","5,170.00","5,100.00","5,141.00","1,186,600"
"Feb 24, 2017","5,175.00","5,216.00","5,149.00","5,160.00","1,061,300"
"Feb 23, 2017","5,195.00","5,214.00","5,149.00","5,184.00","1,253,400"
"Feb 22, 2017","5,190.00","5,193.00","5,138.00","5,186.00","1,110,800"
"Feb 21, 2017","5,167.00","5,175.00","5,140.00","5,174.00","905,800"
"Feb 20, 2017","5,155.00","5,174.00","5,123.00","5,155.00","1,415,700"
"Feb 17, 2017","5,235.00","5,238.00","5,166.00","5,208.00","1,624,600"
"Feb 16, 2017","5,249.00","5,280.00","5,227.00","5,266.00","1,752,000"
"Feb 15, 2017","5,375.00","5,375.00","5,233.00","5,244.00","2,424,700"
"Feb 14, 2017","5,464.00","5,470.00","5,259.00","5,297.00","3,319,000"
"Feb 13, 2017","5,480.00","5,572.00","5,470.00","5,508.00","1,901,100"
"Feb 10, 2017","5,412.00","5,485.00","5,376.00","5,479.00","2,359,300"
"Feb 9, 2017","5,282.00","5,313.00","5,260.00","5,309.00","1,829,300"
"Feb 8, 2017","5,249.00","5,297.00","5,228.00","5,283.00","951,800"
"Feb 7, 2017","5,260.00","5,269.00","5,212.00","5,243.00","1,334,100"
"Feb 6, 2017","5,265.00","5,287.00","5,242.00","5,281.00","1,108,100"
"Feb 3, 2017","5,205.00","5,261.00","5,165.00","5,240.00","1,753,600"
"Feb 2, 2017","5,238.00","5,250.00","5,194.00","5,214.00","1,745,300"
"Feb 1, 2017","5,170.00","5,246.00","5,156.00","5,236.00","1,458,200"
"Jan 31, 2017","5,223.00","5,247.00","5,188.00","5,199.00","1,588,900"
"Jan 30, 2017","5,241.00","5,265.00","5,186.00","5,265.00","1,819,500"
"Jan 27, 2017","5,310.00","5,315.00","5,218.00","5,244.00","2,346,700"
"Jan 26, 2017","5,360.00","5,372.00","5,274.00","5,306.00","2,926,100"
