Date,Open,High,Low,Close,Volume
"Mar 31, 2017","1,272.50","1,279.50","1,258.00","1,258.00","10,975,100"
"Mar 30, 2017","1,260.00","1,280.50","1,259.50","1,265.00","9,135,900"
"Mar 29, 2017","1,251.50","1,271.50","1,248.50","1,267.50","15,164,900"
"Mar 28, 2017","1,216.50","1,241.50","1,214.50","1,232.00","19,632,000"
"Mar 27, 2017","1,193.50","1,201.00","1,188.00","1,195.50","11,594,000"
"Mar 24, 2017","1,196.00","1,205.50","1,191.00","1,193.50","10,379,000"
"Mar 23, 2017","1,205.00","1,214.50","1,198.00","1,200.00","8,462,400"
"Mar 22, 2017","1,210.00","1,218.00","1,205.00","1,205.00","10,699,300"
"Mar 21, 2017","1,249.00","1,252.50","1,238.50","1,245.00","6,991,200"
"Mar 17, 2017","1,260.00","1,265.00","1,247.50","1,256.50","9,059,600"
"Mar 16, 2017","1,259.00","1,273.50","1,247.00","1,267.50","9,460,100"
"Mar 15, 2017","1,263.50","1,274.50","1,262.00","1,270.00","5,280,100"
"Mar 14, 2017","1,284.50","1,284.50","1,270.00","1,272.00","7,854,200"
"Mar 13, 2017","1,281.00","1,292.50","1,272.00","1,292.50","6,369,600"
"Mar 10, 2017","1,280.50","1,287.00","1,274.50","1,284.50","9,675,000"
"Mar 9, 2017","1,260.00","1,273.00","1,254.50","1,268.50","6,687,900"
"Mar 8, 2017","1,258.50","1,264.50","1,237.50","1,251.00","7,017,000"
"Mar 7, 2017","1,246.00","1,253.00","1,237.00","1,247.50","6,342,400"
"Mar 6, 2017","1,255.00","1,259.00","1,247.50","1,253.00","4,350,500"
"Mar 3, 2017","1,275.00","1,276.50","1,259.00","1,267.00","5,785,500"
"Mar 2, 2017","1,290.00","1,292.00","1,271.50","1,271.50","8,669,600"
"Mar 1, 2017","1,239.50","1,267.00","1,238.50","1,265.00","11,870,400"
"Feb 28, 2017","1,239.00","1,254.50","1,231.50","1,233.00","9,376,100"
"Feb 27, 2017","1,240.50","1,247.00","1,212.50","1,229.50","10,158,800"
"Feb 24, 2017","1,248.50","1,262.00","1,248.50","1,258.50","5,208,700"
"Feb 23, 2017","1,263.00","1,271.00","1,257.00","1,261.50","5,539,000"
"Feb 22, 2017","1,261.00","1,267.00","1,255.50","1,259.00","6,248,800"
"Feb 21, 2017","1,250.50","1,260.50","1,247.00","1,252.00","3,793,400"
"Feb 20, 2017","1,245.50","1,249.50","1,235.00","1,247.00","3,997,900"
"Feb 17, 2017","1,257.50","1,259.50","1,243.00","1,252.00","6,701,300"
"Feb 16, 2017","1,267.50","1,272.50","1,252.50","1,265.50","6,912,100"
"Feb 15, 2017","1,259.00","1,283.50","1,256.00","1,275.00","13,613,400"
"Feb 14, 2017","1,250.00","1,258.00","1,231.50","1,235.50","9,656,100"
"Feb 13, 2017","1,244.50","1,246.00","1,230.00","1,242.50","10,266,500"
"Feb 10, 2017","1,198.50","1,221.00","1,185.00","1,218.00","12,329,600"
"Feb 9, 2017","1,187.50","1,187.50","1,165.50","1,172.50","6,233,200"
"Feb 8, 2017","1,177.00","1,192.50","1,170.00","1,192.00","6,042,700"
"Feb 7, 2017","1,169.00","1,182.00","1,160.50","1,175.50","4,440,200"
"Feb 6, 2017","1,179.00","1,183.50","1,165.00","1,180.00","7,109,200"
"Feb 3, 2017","1,145.00","1,177.50","1,137.00","1,166.00","12,198,900"
"Feb 2, 2017","1,190.00","1,192.50","1,163.50","1,168.50","6,685,800"
"Feb 1, 2017","1,165.00","1,186.50","1,159.00","1,185.00","7,904,000"
"Jan 31, 2017","1,190.00","1,196.00","1,178.50","1,178.50","8,738,300"
"Jan 30, 2017","1,212.50","1,214.00","1,202.50","1,210.00","4,894,600"
"Jan 27, 2017","1,210.00","1,215.00","1,201.00","1,210.00","6,166,500"
"Jan 26, 2017","1,199.50","1,211.00","1,191.00","1,207.00","7,856,200"
"Jan 25, 2017","1,199.00","1,200.00","1,181.50","1,187.50","6,346,300"
"Jan 24, 2017","1,185.00","1,187.00","1,167.00","1,177.50","8,007,200"
"Jan 23, 2017","1,194.00","1,198.50","1,185.00","1,187.00","6,735,500"
"Jan 20, 2017","1,193.00","1,213.00","1,192.00","1,206.50","6,999,800"
"Jan 19, 2017","1,195.00","1,201.00","1,186.50","1,191.50","6,538,000"
"Jan 18, 2017","1,175.00","1,185.50","1,165.00","1,182.50","9,315,600"
"Jan 17, 2017","1,202.50","1,206.50","1,190.50","1,191.00","6,915,300"
"Jan 16, 2017","1,211.00","1,215.00","1,200.50","1,206.00","5,995,700"
"Jan 13, 2017","1,208.50","1,217.50","1,207.00","1,215.00","7,239,900"
"Jan 12, 2017","1,204.00","1,228.00","1,201.00","1,214.00","9,222,100"
"Jan 11, 2017","1,213.00","1,216.00","1,204.50","1,211.50","8,906,900"
"Jan 10, 2017","1,210.00","1,211.00","1,197.50","1,197.50","9,803,900"
"Jan 6, 2017","1,216.00","1,216.50","1,205.50","1,212.50","7,740,700"
"Jan 5, 2017","1,227.00","1,237.50","1,213.50","1,219.00","9,136,100"
"Jan 4, 2017","1,213.00","1,223.00","1,210.00","1,217.00","8,892,100"
"Dec 30, 2016","1,185.00","1,191.50","1,180.00","1,189.50","7,124,400"
"Dec 29, 2016","1,210.00","1,211.00","1,191.50","1,199.00","8,005,500"
"Dec 28, 2016","1,224.00","1,225.00","1,215.00","1,218.00","6,739,300"
"Dec 27, 2016","1,215.00","1,222.00","1,208.00","1,215.00","8,511,400"
"Dec 26, 2016","1,234.00","1,239.00","1,219.00","1,223.00","6,529,900"
"Dec 22, 2016","1,240.00","1,240.00","1,214.00","1,237.50","10,478,100"
"Dec 21, 2016","1,269.00","1,269.50","1,232.50","1,241.00","15,954,100"
"Dec 20, 2016","1,283.00","1,286.00","1,258.00","1,262.00","10,208,300"
"Dec 19, 2016","1,280.00","1,292.50","1,276.50","1,281.00","7,187,800"
"Dec 16, 2016","1,291.00","1,306.50","1,284.50","1,291.50","10,369,600"
"Dec 15, 2016","1,304.50","1,309.50","1,271.50","1,303.00","16,829,400"
