Date,Open,High,Low,Close,Volume
"Mar 31, 2017","4,413.00","4,431.00","4,362.00","4,362.00","3,193,400"
"Mar 30, 2017","4,432.00","4,450.00","4,362.00","4,362.00","1,854,000"
"Mar 29, 2017","4,407.00","4,467.00","4,395.00","4,436.00","2,016,800"
"Mar 28, 2017","4,394.00","4,421.00","4,386.00","4,390.00","2,117,500"
"Mar 27, 2017","4,402.00","4,424.00","4,346.00","4,359.00","1,696,900"
"Mar 24, 2017","4,352.00","4,443.00","4,350.00","4,439.00","2,197,700"
"Mar 23, 2017","4,346.00","4,391.00","4,323.00","4,385.00","2,752,700"
"Mar 22, 2017","4,370.00","4,395.00","4,341.00","4,352.00","2,202,300"
"Mar 21, 2017","4,443.00","4,443.00","4,401.00","4,421.00","1,472,900"
"Mar 17, 2017","4,447.00","4,463.00","4,422.00","4,425.00","2,684,100"
"Mar 16, 2017","4,408.00","4,430.00","4,381.00","4,427.00","2,313,600"
"Mar 15, 2017","4,342.00","4,417.00","4,342.00","4,411.00","2,361,500"
"Mar 14, 2017","4,370.00","4,389.00","4,343.00","4,345.00","2,075,300"
"Mar 13, 2017","4,362.00","4,387.00","4,361.00","4,380.00","2,249,400"
"Mar 10, 2017","4,326.00","4,379.00","4,320.00","4,370.00","5,055,400"
"Mar 9, 2017","4,346.00","4,351.00","4,306.00","4,310.00","2,992,000"
"Mar 8, 2017","4,399.00","4,407.00","4,345.00","4,351.00","2,175,800"
"Mar 7, 2017","4,399.00","4,411.00","4,377.00","4,390.00","1,690,100"
"Mar 6, 2017","4,407.00","4,426.00","4,387.00","4,403.00","1,050,600"
"Mar 3, 2017","4,460.00","4,463.00","4,400.00","4,416.00","1,502,200"
"Mar 2, 2017","4,507.00","4,507.00","4,440.00","4,458.00","2,166,100"
"Mar 1, 2017","4,430.00","4,470.00","4,413.00","4,454.00","2,131,600"
"Feb 28, 2017","4,413.00","4,444.00","4,398.00","4,400.00","2,073,700"
"Feb 27, 2017","4,341.00","4,435.00","4,340.00","4,407.00","2,653,000"
"Feb 24, 2017","4,353.00","4,425.00","4,353.00","4,386.00","2,946,400"
"Feb 23, 2017","4,433.00","4,459.00","4,413.00","4,448.00","2,500,600"
"Feb 22, 2017","4,450.00","4,452.00","4,411.00","4,442.00","1,741,400"
"Feb 21, 2017","4,401.00","4,448.00","4,397.00","4,435.00","1,082,100"
"Feb 20, 2017","4,387.00","4,414.00","4,374.00","4,401.00","1,370,200"
"Feb 17, 2017","4,400.00","4,412.00","4,386.00","4,397.00","1,746,000"
"Feb 16, 2017","4,482.00","4,487.00","4,400.00","4,419.00","1,899,900"
"Feb 15, 2017","4,475.00","4,475.00","4,447.00","4,455.00","1,965,900"
"Feb 14, 2017","4,500.00","4,502.00","4,444.00","4,448.00","2,877,100"
"Feb 13, 2017","4,550.00","4,577.00","4,512.00","4,519.00","1,855,800"
"Feb 10, 2017","4,498.00","4,501.00","4,459.00","4,499.00","1,989,900"
"Feb 9, 2017","4,425.00","4,445.00","4,411.00","4,421.00","1,556,700"
"Feb 8, 2017","4,435.00","4,465.00","4,421.00","4,451.00","1,799,800"
"Feb 7, 2017","4,448.00","4,464.00","4,425.00","4,428.00","2,129,700"
"Feb 6, 2017","4,488.00","4,489.00","4,442.00","4,451.00","1,443,400"
"Feb 3, 2017","4,455.00","4,493.00","4,437.00","4,451.00","1,820,100"
"Feb 2, 2017","4,536.00","4,538.00","4,458.00","4,473.00","2,066,000"
"Feb 1, 2017","4,478.00","4,574.00","4,476.00","4,558.00","1,572,100"
"Jan 31, 2017","4,497.00","4,523.00","4,474.00","4,509.00","2,435,700"
"Jan 30, 2017","4,550.00","4,583.00","4,533.00","4,567.00","1,181,500"
"Jan 27, 2017","4,550.00","4,588.00","4,535.00","4,582.00","2,534,100"
"Jan 26, 2017","4,565.00","4,565.00","4,516.00","4,533.00","2,622,700"
"Jan 25, 2017","4,600.00","4,600.00","4,526.00","4,565.00","1,800,900"
"Jan 24, 2017","4,517.00","4,554.00","4,498.00","4,506.00","2,063,800"
"Jan 23, 2017","4,580.00","4,591.00","4,497.00","4,497.00","2,921,100"
"Jan 20, 2017","4,625.00","4,652.00","4,597.00","4,647.00","2,133,400"
"Jan 19, 2017","4,737.00","4,741.00","4,608.00","4,618.00","2,954,200"
"Jan 18, 2017","4,680.00","4,726.00","4,652.00","4,710.00","2,845,100"
"Jan 17, 2017","4,738.00","4,738.00","4,655.00","4,656.00","2,380,800"
"Jan 16, 2017","4,811.00","4,828.00","4,740.00","4,759.00","3,272,200"
"Jan 13, 2017","4,700.00","4,849.00","4,680.00","4,832.00","8,454,300"
"Jan 12, 2017","4,520.00","4,533.00","4,423.00","4,450.00","2,548,100"
"Jan 11, 2017","4,558.00","4,585.00","4,531.00","4,548.00","1,970,300"
"Jan 10, 2017","4,625.00","4,626.00","4,544.00","4,546.00","2,608,600"
"Jan 6, 2017","4,561.00","4,581.00","4,535.00","4,564.00","2,081,400"
"Jan 5, 2017","4,540.00","4,593.00","4,540.00","4,567.00","3,160,600"
"Jan 4, 2017","4,499.00","4,524.00","4,467.00","4,523.00","2,489,000"
"Dec 30, 2016","4,447.00","4,478.00","4,433.00","4,453.00","2,142,500"
"Dec 29, 2016","4,486.00","4,498.00","4,447.00","4,457.00","2,555,000"
"Dec 28, 2016","4,480.00","4,499.00","4,460.00","4,485.00","1,376,100"
"Dec 27, 2016","4,512.00","4,518.00","4,481.00","4,487.00","1,937,800"
"Dec 26, 2016","4,539.00","4,549.00","4,510.00","4,512.00","1,353,000"
"Dec 22, 2016","4,604.00","4,612.00","4,529.00","4,546.00","1,926,300"
"Dec 21, 2016","4,655.00","4,658.00","4,572.00","4,579.00","1,819,500"
"Dec 20, 2016","4,607.00","4,647.00","4,598.00","4,632.00","2,624,700"
"Dec 19, 2016","4,545.00","4,595.00","4,543.00","4,595.00","1,956,300"
"Dec 16, 2016","4,538.00","4,585.00","4,521.00","4,547.00","2,683,900"
"Dec 15, 2016","4,488.00","4,558.00","4,483.00","4,514.00","2,904,800"
"Dec 14, 2016","4,497.00","4,516.00","4,471.00","4,483.00","2,792,800"
"Dec 13, 2016","4,488.00","4,524.00","4,447.00","4,521.00","2,704,000"
"Dec 12, 2016","4,410.00","4,508.00","4,404.00","4,484.00","3,038,400"
"Dec 9, 2016","4,330.00","4,371.00","4,302.00","4,357.00","4,813,300"
"Dec 8, 2016","4,343.00","4,348.00","4,284.00","4,348.00","3,059,800"
"Dec 7, 2016","4,255.00","4,299.00","4,207.00","4,273.00","4,816,300"
"Dec 6, 2016","4,333.00","4,338.00","4,250.00","4,255.00","2,976,300"
"Dec 5, 2016","4,291.00","4,322.00","4,279.00","4,299.00","2,545,900"
"Dec 2, 2016","4,439.00","4,448.00","4,296.00","4,311.00","5,036,900"
"Dec 1, 2016","4,500.00","4,500.00","4,425.00","4,447.00","3,494,900"
"Nov 30, 2016","4,495.00","4,505.00","4,433.00","4,435.00","2,961,800"
"Nov 29, 2016","4,489.00","4,540.00","4,489.00","4,500.00","1,917,600"
"Nov 28, 2016","4,491.00","4,511.00","4,457.00","4,497.00","1,828,900"
"Nov 25, 2016","4,438.00","4,500.00","4,432.00","4,492.00","2,339,200"
"Nov 24, 2016","4,460.00","4,460.00","4,392.00","4,420.00","2,366,100"
"Nov 22, 2016","4,366.00","4,405.00","4,350.00","4,402.00","1,623,800"
"Nov 21, 2016","4,300.00","4,373.00","4,300.00","4,361.00","2,459,500"
"Nov 18, 2016","4,333.00","4,345.00","4,251.00","4,277.00","2,567,700"
"Nov 17, 2016","4,340.00","4,400.00","4,311.00","4,320.00","2,694,500"
"Nov 16, 2016","4,390.00","4,392.00","4,313.00","4,338.00","2,543,700"
"Nov 15, 2016","4,283.00","4,368.00","4,274.00","4,360.00","2,190,800"
"Nov 14, 2016","4,289.00","4,333.00","4,254.00","4,291.00","2,087,400"
"Nov 11, 2016","4,327.00","4,362.00","4,225.00","4,244.00","3,838,400"
"Nov 10, 2016","4,305.00","4,336.00","4,250.00","4,335.00","4,214,000"
"Nov 9, 2016","4,345.00","4,362.00","4,148.00","4,181.00","4,316,000"
"Nov 8, 2016","4,369.00","4,379.00","4,328.00","4,337.00","1,382,500"
"Nov 7, 2016","4,350.00","4,367.00","4,308.00","4,362.00","1,831,600"
"Nov 4, 2016","4,344.00","4,354.00","4,284.00","4,301.00","2,351,100"
"Nov 2, 2016","4,390.00","4,405.00","4,329.00","4,343.00","2,864,500"
"Nov 1, 2016","4,401.00","4,441.00","4,382.00","4,441.00","2,206,600"
"Oct 31, 2016","4,420.00","4,435.00","4,364.00","4,383.00","3,766,900"
"Oct 28, 2016","4,498.00","4,499.00","4,453.00","4,468.00","2,590,100"
"Oct 27, 2016","4,491.00","4,491.00","4,455.00","4,468.00","2,364,700"
"Oct 26, 2016","4,509.00","4,535.00","4,483.00","4,493.00","1,890,900"
"Oct 25, 2016","4,509.00","4,530.00","4,496.00","4,509.00","2,247,600"
"Oct 24, 2016","4,536.00","4,541.00","4,487.00","4,522.00","1,425,500"
"Oct 21, 2016","4,550.00","4,553.00","4,502.00","4,522.00","1,857,100"
"Oct 20, 2016","4,485.00","4,539.00","4,472.00","4,539.00","1,896,800"
"Oct 19, 2016","4,430.00","4,483.00","4,420.00","4,479.00","1,384,500"
"Oct 18, 2016","4,408.00","4,449.00","4,384.00","4,444.00","1,719,500"
"Oct 17, 2016","4,446.00","4,464.00","4,411.00","4,432.00","2,190,000"
"Oct 14, 2016","4,405.00","4,466.00","4,388.00","4,453.00","2,968,900"
"Oct 13, 2016","4,430.00","4,449.00","4,372.00","4,391.00","5,014,700"
"Oct 12, 2016","4,446.00","4,474.00","4,420.00","4,423.00","3,974,100"
"Oct 11, 2016","4,500.00","4,525.00","4,464.00","4,466.00","4,994,900"
"Oct 7, 2016","4,756.00","4,780.00","4,575.00","4,581.00","5,614,500"
"Oct 6, 2016","4,756.00","4,840.00","4,756.00","4,827.00","1,927,400"
"Oct 5, 2016","4,864.00","4,869.00","4,818.00","4,840.00","2,162,100"
"Oct 4, 2016","4,756.00","4,818.00","4,755.00","4,808.00","2,625,400"
"Oct 3, 2016","4,720.00","4,902.00","4,710.00","4,756.00","5,095,500"
"Sep 30, 2016","4,757.00","4,789.00","4,740.00","4,757.00","2,393,400"
"Sep 29, 2016","4,736.00","4,810.00","4,723.00","4,794.00","2,086,900"
"Sep 28, 2016","4,732.00","4,748.00","4,692.00","4,708.00","1,946,300"
"Sep 27, 2016","4,650.00","4,756.00","4,628.00","4,756.00","2,570,300"
"Sep 26, 2016","4,653.00","4,742.00","4,653.00","4,704.00","2,707,900"
"Sep 23, 2016","4,717.00","4,720.00","4,650.00","4,667.00","2,763,400"
"Sep 21, 2016","4,644.00","4,729.00","4,601.00","4,721.00","4,960,700"
"Sep 20, 2016","4,515.00","4,582.00","4,478.00","4,546.00","3,636,500"
"Sep 16, 2016","4,343.00","4,438.00","4,327.00","4,427.00","2,445,000"
"Sep 15, 2016","4,358.00","4,370.00","4,314.00","4,338.00","2,372,500"
"Sep 14, 2016","4,362.00","4,405.00","4,358.00","4,366.00","1,685,700"
"Sep 13, 2016","4,346.00","4,443.00","4,346.00","4,398.00","2,200,900"
"Sep 12, 2016","4,419.00","4,434.00","4,379.00","4,416.00","1,769,700"
"Sep 9, 2016","4,500.00","4,509.00","4,421.00","4,460.00","2,549,900"
"Sep 8, 2016","4,483.00","4,494.00","4,447.00","4,481.00","1,783,600"
"Sep 7, 2016","4,474.00","4,509.00","4,459.00","4,496.00","2,114,800"
"Sep 6, 2016","4,530.00","4,542.00","4,498.00","4,522.00","1,631,800"
"Sep 5, 2016","4,515.00","4,525.00","4,477.00","4,488.00","1,483,900"
"Sep 2, 2016","4,522.00","4,546.00","4,425.00","4,454.00","2,966,600"
"Sep 1, 2016","4,409.00","4,491.00","4,362.00","4,490.00","3,137,200"
