Date,Open,High,Low,Close,Volume
"Mar 31, 2017","1,013.00","1,017.00",998.00,998.00,"2,483,000"
"Mar 30, 2017","1,017.00","1,019.00","1,000.00","1,002.00","1,943,000"
"Mar 29, 2017","1,023.00","1,027.00","1,016.00","1,022.00","2,229,000"
"Mar 28, 2017","1,018.00","1,025.00","1,015.00","1,025.00","2,292,000"
"Mar 27, 2017","1,019.00","1,022.00","1,010.00","1,012.00","2,023,000"
"Mar 24, 2017","1,008.00","1,028.00","1,004.00","1,026.00","2,404,000"
"Mar 23, 2017","1,004.00","1,007.00",997.00,"1,004.00","2,172,000"
"Mar 22, 2017","1,011.00","1,022.00","1,011.00","1,013.00","2,239,000"
"Mar 21, 2017","1,023.00","1,028.00","1,011.00","1,024.00","1,734,000"
"Mar 17, 2017","1,032.00","1,032.00","1,025.00","1,027.00","2,658,000"
"Mar 16, 2017","1,040.00","1,045.00","1,037.00","1,041.00","2,569,000"
"Mar 15, 2017","1,049.00","1,052.00","1,043.00","1,045.00","1,670,000"
"Mar 14, 2017","1,050.00","1,054.00","1,047.00","1,050.00","1,257,000"
"Mar 13, 2017","1,049.00","1,054.00","1,046.00","1,053.00","1,256,000"
"Mar 10, 2017","1,042.00","1,051.00","1,041.00","1,047.00","3,079,000"
"Mar 9, 2017","1,049.00","1,053.00","1,039.00","1,042.00","1,900,000"
"Mar 8, 2017","1,030.00","1,044.00","1,030.00","1,044.00","2,392,000"
"Mar 7, 2017","1,025.00","1,034.00","1,022.00","1,034.00","1,688,000"
"Mar 6, 2017","1,041.00","1,041.00","1,027.00","1,029.00","1,517,000"
"Mar 3, 2017","1,044.00","1,048.00","1,034.00","1,039.00","2,625,000"
"Mar 2, 2017","1,054.00","1,060.00","1,051.00","1,057.00","1,898,000"
"Mar 1, 2017","1,035.00","1,046.00","1,029.00","1,045.00","2,053,000"
"Feb 28, 2017","1,033.00","1,044.00","1,029.00","1,031.00","2,477,000"
"Feb 27, 2017","1,034.00","1,037.00","1,024.00","1,027.00","2,667,000"
"Feb 24, 2017","1,050.00","1,053.00","1,041.00","1,045.00","1,611,000"
"Feb 23, 2017","1,048.00","1,053.00","1,036.00","1,053.00","1,917,000"
"Feb 22, 2017","1,047.00","1,048.00","1,038.00","1,041.00","1,808,000"
"Feb 21, 2017","1,043.00","1,058.00","1,043.00","1,052.00","2,027,000"
"Feb 20, 2017","1,032.00","1,043.00","1,028.00","1,042.00","1,698,000"
"Feb 17, 2017","1,035.00","1,040.00","1,033.00","1,038.00","2,008,000"
"Feb 16, 2017","1,054.00","1,054.00","1,031.00","1,045.00","2,922,000"
"Feb 15, 2017","1,037.00","1,063.00","1,034.00","1,053.00","3,944,000"
"Feb 14, 2017","1,026.00","1,038.00","1,013.00","1,013.00","3,972,000"
"Feb 13, 2017","1,036.00","1,037.00","1,017.00","1,025.00","3,145,000"
"Feb 10, 2017","1,019.00","1,027.00","1,014.00","1,020.00","3,545,000"
"Feb 9, 2017","1,013.00","1,017.00","1,003.00","1,006.00","2,404,000"
"Feb 8, 2017","1,031.00","1,039.00","1,013.00","1,016.00","2,975,000"
"Feb 7, 2017","1,023.00","1,033.00","1,023.00","1,029.00","1,790,000"
"Feb 6, 2017","1,039.00","1,040.00","1,030.00","1,032.00","1,675,000"
"Feb 3, 2017","1,031.00","1,037.00","1,027.00","1,033.00","1,788,000"
"Feb 2, 2017","1,043.00","1,046.00","1,023.00","1,026.00","1,715,000"
"Feb 1, 2017","1,030.00","1,046.00","1,023.00","1,046.00","1,728,000"
"Jan 31, 2017","1,041.00","1,044.00","1,037.00","1,039.00","2,565,000"
"Jan 30, 2017","1,053.00","1,057.00","1,049.00","1,053.00","2,008,000"
"Jan 27, 2017","1,064.00","1,069.00","1,057.00","1,061.00","1,881,000"
"Jan 26, 2017","1,056.00","1,063.00","1,051.00","1,061.00","2,349,000"
"Jan 25, 2017","1,052.00","1,057.00","1,036.00","1,044.00","2,234,000"
"Jan 24, 2017","1,027.00","1,040.00","1,026.00","1,035.00","2,673,000"
"Jan 23, 2017","1,036.00","1,041.00","1,027.00","1,032.00","2,668,000"
"Jan 20, 2017","1,048.00","1,051.00","1,040.00","1,049.00","1,293,000"
"Jan 19, 2017","1,053.00","1,056.00","1,043.00","1,046.00","1,735,000"
"Jan 18, 2017","1,044.00","1,047.00","1,030.00","1,045.00","2,116,000"
"Jan 17, 2017","1,063.00","1,063.00","1,041.00","1,044.00","2,539,000"
"Jan 16, 2017","1,077.00","1,077.00","1,063.00","1,066.00","1,881,000"
"Jan 13, 2017","1,074.00","1,083.00","1,069.00","1,083.00","2,490,000"
"Jan 12, 2017","1,085.00","1,085.00","1,060.00","1,070.00","2,495,000"
"Jan 11, 2017","1,084.00","1,085.00","1,074.00","1,082.00","1,904,000"
"Jan 10, 2017","1,091.00","1,094.00","1,080.00","1,083.00","3,108,000"
"Jan 6, 2017","1,091.00","1,099.00","1,089.00","1,098.00","2,336,000"
"Jan 5, 2017","1,108.00","1,110.00","1,092.00","1,095.00","2,559,000"
"Jan 4, 2017","1,079.00","1,105.00","1,077.00","1,101.00","3,793,000"
"Dec 30, 2016","1,066.00","1,072.00","1,058.00","1,069.00","2,281,000"
"Dec 29, 2016","1,074.00","1,078.00","1,068.00","1,073.00","2,757,000"
"Dec 28, 2016","1,079.00","1,089.00","1,075.00","1,083.00","1,827,000"
"Dec 27, 2016","1,085.00","1,089.00","1,078.00","1,079.00","2,142,000"
"Dec 26, 2016","1,093.00","1,094.00","1,088.00","1,089.00","1,372,000"
"Dec 22, 2016","1,094.00","1,098.00","1,086.00","1,096.00","1,930,000"
"Dec 21, 2016","1,103.00","1,105.00","1,091.00","1,097.00","2,173,000"
"Dec 20, 2016","1,096.00","1,105.00","1,092.00","1,103.00","3,327,000"
"Dec 19, 2016","1,092.00","1,096.00","1,084.00","1,094.00","2,010,000"
"Dec 16, 2016","1,094.00","1,100.00","1,088.00","1,100.00","3,307,000"
"Dec 15, 2016","1,092.00","1,096.00","1,078.00","1,082.00","2,422,000"
"Dec 14, 2016","1,094.00","1,095.00","1,085.00","1,088.00","1,971,000"
"Dec 13, 2016","1,079.00","1,090.00","1,077.00","1,089.00","3,060,000"
"Dec 12, 2016","1,079.00","1,084.00","1,071.00","1,076.00","2,938,000"
