Date,Open,High,Low,Close,Volume
"Mar 31, 2017","4,175.00","4,233.00","4,079.00","4,079.00","1,601,500"
"Mar 30, 2017","4,159.00","4,180.00","4,121.00","4,127.00","780,900"
"Mar 29, 2017","4,227.00","4,243.00","4,160.00","4,174.00","924,400"
"Mar 28, 2017","4,228.00","4,238.00","4,177.00","4,228.00","1,075,800"
"Mar 27, 2017","4,179.00","4,193.00","4,117.00","4,152.00","1,320,300"
"Mar 24, 2017","4,187.00","4,250.00","4,171.00","4,249.00","1,174,300"
"Mar 23, 2017","4,101.00","4,204.00","4,077.00","4,195.00","1,218,700"
"Mar 22, 2017","4,205.00","4,238.00","4,132.00","4,133.00","1,354,300"
"Mar 21, 2017","4,381.00","4,390.00","4,334.00","4,358.00","846,300"
"Mar 17, 2017","4,371.00","4,439.00","4,356.00","4,422.00","1,508,300"
"Mar 16, 2017","4,382.00","4,409.00","4,354.00","4,387.00","1,024,900"
"Mar 15, 2017","4,382.00","4,457.00","4,378.00","4,452.00","771,100"
"Mar 14, 2017","4,392.00","4,446.00","4,365.00","4,435.00","1,524,300"
"Mar 13, 2017","4,294.00","4,366.00","4,284.00","4,365.00","989,500"
"Mar 10, 2017","4,299.00","4,349.00","4,294.00","4,330.00","1,763,200"
"Mar 9, 2017","4,322.00","4,325.00","4,214.00","4,229.00","1,155,000"
"Mar 8, 2017","4,265.00","4,307.00","4,265.00","4,306.00","822,600"
"Mar 7, 2017","4,316.00","4,345.00","4,285.00","4,300.00","978,200"
"Mar 6, 2017","4,282.00","4,291.00","4,214.00","4,273.00","1,324,100"
"Mar 3, 2017","4,306.00","4,357.00","4,301.00","4,331.00","1,334,800"
"Mar 2, 2017","4,385.00","4,392.00","4,290.00","4,294.00","1,509,000"
"Mar 1, 2017","4,235.00","4,273.00","4,176.00","4,266.00","989,700"
"Feb 28, 2017","4,214.00","4,264.00","4,191.00","4,198.00","1,113,000"
"Feb 27, 2017","4,270.00","4,276.00","4,151.00","4,176.00","1,597,300"
"Feb 24, 2017","4,358.00","4,392.00","4,297.00","4,350.00","1,226,300"
"Feb 23, 2017","4,357.00","4,376.00","4,299.00","4,352.00","1,082,900"
"Feb 22, 2017","4,362.00","4,362.00","4,326.00","4,350.00","659,300"
"Feb 21, 2017","4,277.00","4,372.00","4,252.00","4,370.00","816,200"
"Feb 20, 2017","4,264.00","4,294.00","4,231.00","4,281.00","845,800"
"Feb 17, 2017","4,288.00","4,300.00","4,243.00","4,280.00","956,000"
"Feb 16, 2017","4,237.00","4,316.00","4,217.00","4,308.00","1,763,500"
"Feb 15, 2017","4,187.00","4,319.00","4,161.00","4,237.00","2,152,700"
"Feb 14, 2017","4,140.00","4,169.00","4,068.00","4,075.00","927,500"
"Feb 13, 2017","4,187.00","4,190.00","4,107.00","4,110.00","1,148,800"
"Feb 10, 2017","4,116.00","4,173.00","4,086.00","4,162.00","1,100,000"
"Feb 9, 2017","4,020.00","4,050.00","4,012.00","4,039.00","900,500"
"Feb 8, 2017","4,049.00","4,094.00","4,005.00","4,042.00","692,400"
"Feb 7, 2017","3,990.00","4,048.00","3,988.00","4,021.00","548,900"
"Feb 6, 2017","4,120.00","4,126.00","4,042.00","4,045.00","724,800"
