Date,Open,High,Low,Close,Volume
"Mar 31, 2017","1,891.00","1,893.00","1,847.00","1,854.00","7,131,700"
"Mar 30, 2017","1,850.00","1,914.00","1,846.00","1,892.00","10,822,600"
"Mar 29, 2017","1,833.00","1,873.00","1,809.00","1,845.00","7,880,700"
"Mar 28, 2017","1,749.00","1,818.00","1,742.00","1,808.00","12,008,000"
"Mar 27, 2017","1,710.00","1,743.00","1,707.00","1,716.00","5,491,100"
"Mar 24, 2017","1,665.00","1,735.00","1,665.00","1,725.00","6,914,800"
"Mar 23, 2017","1,642.00","1,693.00","1,642.00","1,664.00","8,489,300"
"Mar 22, 2017","1,624.00","1,650.00","1,609.00","1,610.00","6,985,700"
"Mar 21, 2017","1,699.00","1,703.00","1,672.00","1,690.00","4,304,200"
"Mar 17, 2017","1,686.00","1,725.00","1,662.00","1,700.00","7,576,600"
"Mar 16, 2017","1,604.00","1,671.00","1,592.00","1,662.00","6,468,200"
"Mar 15, 2017","1,650.00","1,652.00","1,620.00","1,622.00","3,905,200"
"Mar 14, 2017","1,655.00","1,674.00","1,646.00","1,666.00","3,683,200"
"Mar 13, 2017","1,668.00","1,681.00","1,642.00","1,649.00","5,246,200"
"Mar 10, 2017","1,703.00","1,711.00","1,662.00","1,686.00","5,254,300"
"Mar 9, 2017","1,588.00","1,668.00","1,583.00","1,665.00","8,649,300"
"Mar 8, 2017","1,600.00","1,608.00","1,571.00","1,584.00","5,101,900"
"Mar 7, 2017","1,618.00","1,623.00","1,580.00","1,599.00","5,880,400"
"Mar 6, 2017","1,650.00","1,666.00","1,603.00","1,617.00","9,321,500"
"Mar 3, 2017","1,750.00","1,767.00","1,686.00","1,690.00","7,450,400"
"Mar 2, 2017","1,808.00","1,811.00","1,773.00","1,782.00","7,337,700"
"Mar 1, 2017","1,662.00","1,734.00","1,649.00","1,728.00","8,263,100"
"Feb 28, 2017","1,661.00","1,679.00","1,646.00","1,652.00","4,886,300"
"Feb 27, 2017","1,684.00","1,694.00","1,618.00","1,652.00","8,311,000"
"Feb 24, 2017","1,720.00","1,739.00","1,706.00","1,717.00","5,494,400"
"Feb 23, 2017","1,760.00","1,772.00","1,736.00","1,743.00","4,257,500"
"Feb 22, 2017","1,778.00","1,779.00","1,725.00","1,736.00","4,369,100"
"Feb 21, 2017","1,786.00","1,787.00","1,764.00","1,770.00","3,770,600"
"Feb 20, 2017","1,766.00","1,783.00","1,737.00","1,777.00","4,159,800"
"Feb 17, 2017","1,728.00","1,773.00","1,728.00","1,762.00","4,906,200"
"Feb 16, 2017","1,745.00","1,763.00","1,705.00","1,754.00","6,281,800"
"Feb 15, 2017","1,785.00","1,789.00","1,727.00","1,730.00","5,993,000"
"Feb 14, 2017","1,799.00","1,818.00","1,756.00","1,760.00","6,382,700"
"Feb 13, 2017","1,828.00","1,835.00","1,789.00","1,792.00","7,233,800"
"Feb 10, 2017","1,825.00","1,875.00","1,791.00","1,827.00","14,949,100"
"Feb 9, 2017","1,850.00","1,935.00","1,843.00","1,868.00","19,646,600"
"Feb 8, 2017","1,741.00","1,765.00","1,729.00","1,759.00","4,359,300"
"Feb 7, 2017","1,730.00","1,757.00","1,714.00","1,749.00","3,953,200"
"Feb 6, 2017","1,754.00","1,763.00","1,720.00","1,750.00","3,322,300"
"Feb 3, 2017","1,759.00","1,776.00","1,724.00","1,734.00","5,403,100"
"Feb 2, 2017","1,807.00","1,824.00","1,747.00","1,753.00","5,096,400"
"Feb 1, 2017","1,751.00","1,780.00","1,731.00","1,780.00","4,780,100"
"Jan 31, 2017","1,750.00","1,786.00","1,747.00","1,771.00","5,191,900"
