Date,Open,High,Low,Close,Volume
"Mar 31, 2017","1,902.00","1,903.00","1,838.00","1,838.00","1,477,600"
"Mar 30, 2017","1,920.00","1,928.00","1,908.00","1,909.00","1,188,800"
"Mar 29, 2017","1,923.00","1,931.00","1,915.00","1,925.00","1,142,200"
"Mar 28, 2017","1,907.00","1,933.00","1,904.00","1,929.00","1,246,100"
"Mar 27, 2017","1,898.00","1,905.00","1,887.00","1,889.00","1,283,600"
"Mar 24, 2017","1,880.00","1,915.00","1,877.00","1,911.00","1,181,500"
"Mar 23, 2017","1,895.00","1,896.00","1,873.00","1,881.00","1,110,800"
"Mar 22, 2017","1,930.00","1,940.00","1,898.00","1,901.00","1,245,500"
"Mar 21, 2017","1,953.00","1,966.00","1,950.00","1,954.00","815,900"
"Mar 17, 2017","2,002.00","2,005.00","1,975.00","1,977.00","1,115,700"
"Mar 16, 2017","2,023.00","2,038.00","2,016.00","2,022.00","930,800"
"Mar 15, 2017","2,046.00","2,063.00","2,035.00","2,059.00","685,500"
"Mar 14, 2017","2,037.00","2,057.00","2,037.00","2,053.00","527,500"
"Mar 13, 2017","2,035.00","2,057.00","2,031.00","2,040.00","617,400"
"Mar 10, 2017","2,001.00","2,052.00","1,999.00","2,046.00","1,685,600"
"Mar 9, 2017","1,994.00","1,998.00","1,975.00","1,979.00","683,200"
"Mar 8, 2017","2,009.00","2,009.00","1,974.00","1,976.00","1,002,700"
"Mar 7, 2017","2,013.00","2,023.00","1,993.00","2,015.00","1,144,500"
"Mar 6, 2017","2,046.00","2,046.00","2,005.00","2,013.00","1,072,600"
"Mar 3, 2017","2,051.00","2,069.00","2,041.00","2,048.00","1,134,000"
"Mar 2, 2017","2,014.00","2,063.00","2,014.00","2,058.00","1,581,500"
"Mar 1, 2017","2,005.00","2,005.00","1,968.00","1,990.00","1,313,900"
"Feb 28, 2017","1,997.00","2,008.00","1,982.00","1,983.00","1,038,000"
"Feb 27, 2017","1,989.00","2,000.00","1,965.00","1,992.00","660,300"
"Feb 24, 2017","1,977.00","2,005.00","1,975.00","1,997.00","830,100"
"Feb 23, 2017","1,985.00","1,994.00","1,970.00","1,993.00","600,900"
"Feb 22, 2017","1,976.00","1,989.00","1,955.00","1,983.00","802,400"
"Feb 21, 2017","1,973.00","1,985.00","1,968.00","1,972.00","696,100"
"Feb 20, 2017","1,972.00","1,976.00","1,961.00","1,967.00","445,600"
"Feb 17, 2017","1,967.00","2,004.00","1,962.00","1,991.00","777,200"
"Feb 16, 2017","1,987.00","2,004.00","1,978.00","1,985.00","1,098,700"
"Feb 15, 2017","1,970.00","1,989.00","1,967.00","1,981.00","961,100"
"Feb 14, 2017","1,978.00","1,986.00","1,938.00","1,941.00","1,044,900"
"Feb 13, 2017","1,995.00","2,001.00","1,980.00","1,992.00","1,070,400"
"Feb 10, 2017","1,989.00","1,989.00","1,967.00","1,980.00","1,010,800"
"Feb 9, 2017","1,939.00","1,955.00","1,931.00","1,953.00","931,200"
"Feb 8, 2017","1,922.00","1,947.00","1,920.00","1,944.00","870,700"
"Feb 7, 2017","1,907.00","1,937.00","1,903.00","1,934.00","1,033,600"
"Feb 6, 2017","1,920.00","1,925.00","1,906.00","1,915.00","1,059,000"
"Feb 3, 2017","1,909.00","1,916.00","1,891.00","1,908.00","1,031,900"
"Feb 2, 2017","1,894.00","1,910.00","1,887.00","1,896.00","1,388,300"
"Feb 1, 2017","1,895.00","1,908.00","1,874.00","1,907.00","1,766,700"
"Jan 31, 2017","1,907.00","1,921.00","1,904.00","1,904.00","1,763,300"
"Jan 30, 2017","1,949.00","1,949.00","1,913.00","1,915.00","1,699,300"
"Jan 27, 2017","2,000.00","2,003.00","1,944.00","1,954.00","1,807,000"
"Jan 26, 2017","2,002.00","2,012.00","1,986.00","2,011.00","1,650,000"
"Jan 25, 2017","1,973.00","1,992.00","1,970.00","1,992.00","1,013,500"
"Jan 24, 2017","2,014.00","2,035.00","1,976.00","1,982.00","1,083,200"
"Jan 23, 2017","2,002.00","2,029.00","1,987.00","2,012.00","1,412,800"
"Jan 20, 2017","2,021.00","2,028.00","1,997.00","2,024.00","1,289,800"
"Jan 19, 2017","2,040.00","2,047.00","2,019.00","2,041.00","1,241,100"
"Jan 18, 2017","2,044.00","2,046.00","2,021.00","2,034.00","1,366,600"
"Jan 17, 2017","2,100.00","2,102.00","2,051.00","2,053.00","965,000"
"Jan 16, 2017","2,089.00","2,096.00","2,076.00","2,088.00","700,600"
"Jan 13, 2017","2,063.00","2,100.00","2,053.00","2,098.00","1,368,200"
"Jan 12, 2017","2,086.00","2,091.00","2,053.00","2,063.00","1,191,200"
"Jan 11, 2017","2,104.00","2,134.00","2,087.00","2,116.00","1,121,100"
"Jan 10, 2017","2,091.00","2,123.00","2,083.00","2,105.00","1,979,600"
"Jan 6, 2017","2,080.00","2,080.00","2,051.00","2,072.00","1,580,700"
"Jan 5, 2017","2,053.00","2,084.00","2,032.00","2,082.00","1,331,300"
"Jan 4, 2017","2,020.00","2,065.00","2,019.00","2,055.00","1,267,000"
"Dec 30, 2016","1,975.00","2,019.00","1,975.00","2,010.00","720,100"
"Dec 29, 2016","2,000.00","2,018.00","1,980.00","1,988.00","667,300"
"Dec 28, 2016","1,993.00","2,005.00","1,976.00","2,001.00","629,700"
"Dec 27, 2016","1,989.00","2,009.00","1,983.00","1,984.00","740,900"
"Dec 26, 2016","1,965.00","1,996.00","1,960.00","1,989.00","586,100"
"Dec 22, 2016","1,961.00","1,969.00","1,948.00","1,958.00","740,900"
"Dec 21, 2016","1,973.00","1,982.00","1,955.00","1,967.00","977,200"
"Dec 20, 2016","1,936.00","1,980.00","1,936.00","1,974.00","1,302,400"
"Dec 19, 2016","1,920.00","1,949.00","1,915.00","1,947.00","811,000"
"Dec 16, 2016","1,909.00","1,926.00","1,899.00","1,920.00","1,231,500"
"Dec 15, 2016","1,901.00","1,922.00","1,883.00","1,911.00","941,500"
"Dec 14, 2016","1,920.00","1,937.00","1,906.00","1,915.00","1,060,600"
"Dec 13, 2016","1,835.00","1,916.00","1,832.00","1,913.00","1,378,000"
"Dec 12, 2016","1,809.00","1,837.00","1,794.00","1,831.00","1,254,000"
"Dec 9, 2016","1,736.00","1,787.00","1,724.00","1,781.00","2,307,100"
"Dec 8, 2016","1,780.00","1,781.00","1,741.00","1,746.00","1,885,300"
"Dec 7, 2016","1,852.00","1,852.00","1,816.00","1,817.00","925,000"
"Dec 6, 2016","1,867.00","1,884.00","1,836.00","1,852.00","1,735,200"
"Dec 5, 2016","1,850.00","1,861.00","1,840.00","1,847.00","852,700"
"Dec 2, 2016","1,834.00","1,851.00","1,822.00","1,850.00","950,800"
"Dec 1, 2016","1,883.00","1,885.00","1,838.00","1,849.00","1,406,500"
"Nov 30, 2016","1,850.00","1,869.00","1,843.00","1,869.00","1,252,700"
"Nov 29, 2016","1,850.00","1,872.00","1,840.00","1,862.00","1,180,800"
"Nov 28, 2016","1,819.00","1,849.00","1,811.00","1,847.00","682,800"
"Nov 25, 2016","1,810.00","1,833.00","1,800.00","1,831.00","733,200"
"Nov 24, 2016","1,860.00","1,860.00","1,819.00","1,821.00","921,700"
"Nov 22, 2016","1,866.00","1,868.00","1,846.00","1,867.00","948,900"
"Nov 21, 2016","1,858.00","1,867.00","1,851.00","1,863.00","1,280,600"
"Nov 18, 2016","1,857.00","1,874.00","1,842.00","1,862.00","1,577,400"
"Nov 17, 2016","1,831.00","1,866.00","1,830.00","1,861.00","1,144,700"
"Nov 16, 2016","1,844.00","1,862.00","1,832.00","1,854.00","1,169,900"
"Nov 15, 2016","1,807.00","1,833.00","1,797.00","1,829.00","891,200"
"Nov 14, 2016","1,807.00","1,825.00","1,792.00","1,814.00","1,153,500"
"Nov 11, 2016","1,811.00","1,821.00","1,781.00","1,789.00","1,820,800"
"Nov 10, 2016","1,762.00","1,799.00","1,739.00","1,795.00","2,126,800"
"Nov 9, 2016","1,717.00","1,735.00","1,635.00","1,652.00","1,879,100"
"Nov 8, 2016","1,719.00","1,721.00","1,695.00","1,697.00","922,700"
"Nov 7, 2016","1,727.00","1,732.00","1,705.00","1,716.00","1,157,700"
"Nov 4, 2016","1,717.00","1,728.00","1,695.00","1,710.00","1,049,100"
"Nov 2, 2016","1,746.00","1,748.00","1,717.00","1,734.00","1,123,200"
"Nov 1, 2016","1,802.00","1,815.00","1,747.00","1,754.00","1,961,800"
"Oct 31, 2016","1,790.00","1,823.00","1,781.00","1,821.00","1,457,400"
"Oct 28, 2016","1,811.00","1,849.00","1,811.00","1,814.00","2,286,300"
"Oct 27, 2016","1,875.00","1,880.00","1,861.00","1,870.00","608,500"
"Oct 26, 2016","1,869.00","1,883.00","1,859.00","1,875.00","935,000"
"Oct 25, 2016","1,878.00","1,887.00","1,862.00","1,869.00","1,001,900"
"Oct 24, 2016","1,880.00","1,899.00","1,870.00","1,878.00","1,086,200"
"Oct 21, 2016","1,889.00","1,890.00","1,856.00","1,862.00","984,600"
"Oct 20, 2016","1,887.00","1,896.00","1,868.00","1,874.00","1,066,100"
"Oct 19, 2016","1,885.00","1,913.00","1,885.00","1,900.00","766,600"
"Oct 18, 2016","1,886.00","1,905.00","1,884.00","1,895.00","1,080,100"
"Oct 17, 2016","1,904.00","1,913.00","1,885.00","1,900.00","753,000"
"Oct 14, 2016","1,921.00","1,932.00","1,904.00","1,905.00","1,205,300"
"Oct 13, 2016","1,906.00","1,934.00","1,897.00","1,929.00","935,600"
"Oct 12, 2016","1,909.00","1,928.00","1,905.00","1,910.00","994,300"
"Oct 11, 2016","1,897.00","1,942.00","1,897.00","1,939.00","1,424,100"
"Oct 7, 2016","1,876.00","1,894.00","1,868.00","1,873.00","1,563,100"
"Oct 6, 2016","1,870.00","1,915.00","1,846.00","1,905.00","2,020,900"
"Oct 5, 2016","1,983.00","1,983.00","1,937.00","1,948.00","1,147,400"
"Oct 4, 2016","1,990.00","1,992.00","1,964.00","1,980.00","1,182,400"
"Oct 3, 2016","1,960.00","1,989.00","1,954.00","1,979.00","1,251,200"
"Sep 30, 2016","1,921.00","1,959.00","1,911.00","1,947.00","1,095,700"
"Sep 29, 2016","1,951.00","1,967.00","1,932.00","1,960.00","1,268,300"
"Sep 28, 2016","1,956.00","1,968.00","1,919.00","1,939.00","1,793,400"
"Sep 27, 2016","2,028.00","2,028.00","1,940.00","1,960.00","4,043,400"
"Sep 26, 2016","1,875.00","1,887.00","1,863.00","1,868.00","892,700"
"Sep 23, 2016","1,864.00","1,897.00","1,848.00","1,882.00","1,372,200"
"Sep 21, 2016","1,831.00","1,867.00","1,814.00","1,854.00","2,108,800"
"Sep 20, 2016","1,791.00","1,803.00","1,771.00","1,791.00","1,130,300"
"Sep 16, 2016","1,787.00","1,791.00","1,756.00","1,789.00","1,069,000"
"Sep 15, 2016","1,790.00","1,797.00","1,774.00","1,782.00","1,177,600"
"Sep 14, 2016","1,769.00","1,817.00","1,765.00","1,791.00","1,241,200"
"Sep 13, 2016","1,740.00","1,785.00","1,735.00","1,778.00","985,700"
"Sep 12, 2016","1,708.00","1,750.00","1,699.00","1,739.00","866,600"
"Sep 9, 2016","1,757.00","1,757.00","1,704.00","1,729.00","1,930,200"
"Sep 8, 2016","1,766.00","1,770.00","1,742.00","1,757.00","965,800"
"Sep 7, 2016","1,740.00","1,757.00","1,720.00","1,753.00","814,700"
"Sep 6, 2016","1,697.00","1,754.00","1,697.00","1,746.00","1,052,100"
"Sep 5, 2016","1,722.00","1,726.00","1,688.00","1,704.00","998,700"
"Sep 2, 2016","1,741.00","1,749.00","1,711.00","1,719.00","1,111,200"
"Sep 1, 2016","1,710.00","1,749.00","1,697.00","1,733.00","1,439,000"
"Aug 31, 2016","1,750.00","1,760.00","1,709.00","1,732.00","1,147,000"
"Aug 30, 2016","1,751.00","1,762.00","1,738.00","1,749.00","782,700"
"Aug 29, 2016","1,765.00","1,774.00","1,744.00","1,757.00","950,300"
"Aug 26, 2016","1,742.00","1,761.00","1,696.00","1,723.00","1,648,500"
"Aug 25, 2016","1,790.00","1,795.00","1,762.00","1,764.00","1,481,500"
"Aug 24, 2016","1,774.00","1,799.00","1,759.00","1,790.00","1,109,500"
"Aug 23, 2016","1,763.00","1,803.00","1,763.00","1,787.00","1,251,900"
"Aug 22, 2016","1,761.00","1,775.00","1,744.00","1,772.00","745,700"
"Aug 19, 2016","1,758.00","1,772.00","1,730.00","1,757.00","1,139,800"
"Aug 18, 2016","1,769.00","1,773.00","1,725.00","1,726.00","1,374,100"
"Aug 17, 2016","1,799.00","1,808.00","1,769.00","1,787.00","1,143,500"
"Aug 16, 2016","1,819.00","1,819.00","1,773.00","1,786.00","1,004,200"
"Aug 15, 2016","1,855.00","1,855.00","1,817.00","1,820.00","619,200"
"Aug 12, 2016","1,857.00","1,880.00","1,818.00","1,855.00","2,346,700"
"Aug 10, 2016","1,809.00","1,809.00","1,762.00","1,777.00","1,576,400"
"Aug 9, 2016","1,779.00","1,819.00","1,763.00","1,811.00","1,389,400"
"Aug 8, 2016","1,830.00","1,837.00","1,769.00","1,782.00","1,411,500"
"Aug 5, 2016","1,815.00","1,842.00","1,796.00","1,820.00","951,100"
"Aug 4, 2016","1,860.00","1,868.00","1,815.00","1,833.00","1,198,900"
"Aug 3, 2016","1,880.00","1,885.00","1,841.00","1,848.00","1,362,600"
"Aug 2, 2016","1,924.00","1,934.00","1,907.00","1,910.00","744,400"
"Aug 1, 2016","1,924.00","1,974.00","1,903.00","1,952.00","1,341,500"
"Jul 29, 2016","1,864.00","1,928.00","1,859.00","1,926.00","1,775,300"
"Jul 28, 2016","1,984.00","1,995.00","1,866.00","1,882.00","1,680,900"
"Jul 27, 2016","1,946.00","1,983.00","1,935.00","1,951.00","1,159,100"
"Jul 26, 2016","1,928.00","1,956.00","1,916.00","1,931.00","1,013,800"
"Jul 25, 2016","1,970.00","1,970.00","1,922.00","1,948.00","956,600"
"Jul 22, 2016","1,951.00","1,984.00","1,941.00","1,967.00","1,132,000"
"Jul 21, 2016","2,000.00","2,000.00","1,938.00","1,950.00","1,335,700"
"Jul 20, 2016","1,953.00","1,994.00","1,948.00","1,994.00","968,800"
"Jul 19, 2016","1,953.00","1,975.00","1,934.00","1,974.00","1,750,100"
"Jul 15, 2016","1,979.00","1,982.00","1,896.00","1,925.00","1,781,000"
"Jul 14, 2016","1,970.00","1,983.00","1,953.00","1,971.00","1,223,100"
"Jul 13, 2016","1,957.00","1,975.00","1,934.00","1,962.00","1,736,100"
"Jul 12, 2016","1,950.00","1,970.00","1,928.00","1,932.00","1,232,400"
"Jul 11, 2016","1,904.00","1,941.00","1,904.00","1,923.00","1,175,700"
"Jul 8, 2016","1,877.00","1,915.00","1,871.00","1,874.00","1,814,500"
"Jul 7, 2016","1,887.00","1,895.00","1,859.00","1,875.00","736,700"
"Jul 6, 2016","1,852.00","1,887.00","1,833.00","1,887.00","1,135,000"
"Jul 5, 2016","1,838.00","1,874.00","1,818.00","1,863.00","911,000"
