Date,Open,High,Low,Close,Volume
"Mar 31, 2017","3,919.00","3,970.00","3,860.00","3,860.00","2,805,500"
"Mar 30, 2017","3,895.00","3,905.00","3,861.00","3,876.00","1,584,600"
"Mar 29, 2017","3,899.00","3,918.00","3,863.00","3,878.00","1,938,200"
"Mar 28, 2017","3,927.00","3,959.00","3,916.00","3,937.00","1,767,200"
"Mar 27, 2017","3,887.00","3,887.00","3,838.00","3,881.00","1,744,000"
"Mar 24, 2017","3,852.00","3,960.00","3,845.00","3,934.00","2,522,700"
"Mar 23, 2017","3,880.00","3,883.00","3,816.00","3,839.00","2,348,800"
"Mar 22, 2017","3,892.00","3,906.00","3,818.00","3,856.00","3,868,600"
"Mar 21, 2017","4,028.00","4,030.00","3,967.00","3,999.00","2,396,600"
"Mar 17, 2017","4,052.00","4,073.00","4,041.00","4,069.00","1,943,300"
"Mar 16, 2017","4,054.00","4,077.00","4,026.00","4,057.00","2,608,300"
"Mar 15, 2017","4,099.00","4,137.00","4,082.00","4,124.00","918,800"
"Mar 14, 2017","4,161.00","4,161.00","4,111.00","4,116.00","1,194,100"
"Mar 13, 2017","4,145.00","4,151.00","4,110.00","4,135.00","1,127,800"
"Mar 10, 2017","4,133.00","4,165.00","4,108.00","4,150.00","2,174,100"
"Mar 9, 2017","4,113.00","4,113.00","4,070.00","4,079.00","1,177,900"
"Mar 8, 2017","4,089.00","4,108.00","4,073.00","4,092.00","975,300"
"Mar 7, 2017","4,112.00","4,118.00","4,088.00","4,105.00","1,302,000"
"Mar 6, 2017","4,121.00","4,153.00","4,088.00","4,127.00","1,022,200"
"Mar 3, 2017","4,100.00","4,148.00","4,090.00","4,134.00","1,384,200"
"Mar 2, 2017","4,172.00","4,205.00","4,131.00","4,132.00","2,071,300"
"Mar 1, 2017","4,050.00","4,077.00","4,002.00","4,075.00","2,016,600"
"Feb 28, 2017","4,049.00","4,068.00","4,026.00","4,029.00","2,045,300"
"Feb 27, 2017","4,127.00","4,132.00","4,036.00","4,051.00","2,129,400"
"Feb 24, 2017","4,189.00","4,193.00","4,157.00","4,168.00","1,142,200"
"Feb 23, 2017","4,243.00","4,270.00","4,151.00","4,205.00","1,424,600"
"Feb 22, 2017","4,263.00","4,286.00","4,244.00","4,263.00","1,227,600"
"Feb 21, 2017","4,237.00","4,263.00","4,212.00","4,250.00","757,700"
"Feb 20, 2017","4,170.00","4,239.00","4,160.00","4,225.00","715,900"
"Feb 17, 2017","4,203.00","4,230.00","4,180.00","4,200.00","1,280,800"
"Feb 16, 2017","4,270.00","4,317.00","4,197.00","4,218.00","1,684,800"
"Feb 15, 2017","4,170.00","4,273.00","4,167.00","4,219.00","1,522,300"
"Feb 14, 2017","4,233.00","4,239.00","4,124.00","4,125.00","1,737,100"
"Feb 13, 2017","4,247.00","4,250.00","4,195.00","4,200.00","1,445,400"
"Feb 10, 2017","4,138.00","4,229.00","4,130.00","4,198.00","1,792,400"
"Feb 9, 2017","4,058.00","4,076.00","4,026.00","4,055.00","902,000"
"Feb 8, 2017","4,099.00","4,126.00","4,058.00","4,085.00","1,321,400"
"Feb 7, 2017","4,038.00","4,074.00","4,006.00","4,052.00","1,672,100"
"Feb 6, 2017","4,151.00","4,177.00","4,061.00","4,075.00","1,864,900"
"Feb 3, 2017","4,023.00","4,127.00","4,016.00","4,067.00","2,615,300"
"Feb 2, 2017","4,146.00","4,166.00","4,010.00","4,023.00","2,901,300"
"Feb 1, 2017","4,106.00","4,184.00","4,075.00","4,167.00","2,506,700"
"Jan 31, 2017","4,225.00","4,266.00","4,202.00","4,232.00","1,606,700"
"Jan 30, 2017","4,283.00","4,299.00","4,233.00","4,289.00","1,026,900"
"Jan 27, 2017","4,280.00","4,330.00","4,272.00","4,294.00","2,326,100"
"Jan 26, 2017","4,180.00","4,282.00","4,180.00","4,224.00","2,147,900"
"Jan 25, 2017","4,154.00","4,156.00","4,107.00","4,117.00","1,288,300"
"Jan 24, 2017","4,121.00","4,138.00","4,079.00","4,084.00","2,333,300"
"Jan 23, 2017","4,200.00","4,229.00","4,174.00","4,191.00","1,165,800"
"Jan 20, 2017","4,229.00","4,277.00","4,200.00","4,247.00","1,186,600"
"Jan 19, 2017","4,250.00","4,317.00","4,158.00","4,222.00","2,488,400"
"Jan 18, 2017","4,164.00","4,190.00","4,056.00","4,178.00","1,672,900"
"Jan 17, 2017","4,181.00","4,222.00","4,122.00","4,189.00","1,387,800"
"Jan 16, 2017","4,290.00","4,305.00","4,221.00","4,232.00","998,400"
"Jan 13, 2017","4,254.00","4,298.00","4,231.00","4,289.00","1,127,600"
"Jan 12, 2017","4,317.00","4,324.00","4,208.00","4,254.00","1,958,400"
"Jan 11, 2017","4,330.00","4,365.00","4,302.00","4,334.00","1,340,600"
"Jan 10, 2017","4,312.00","4,349.00","4,280.00","4,300.00","1,606,500"
"Jan 6, 2017","4,296.00","4,363.00","4,286.00","4,313.00","1,883,100"
"Jan 5, 2017","4,348.00","4,396.00","4,327.00","4,356.00","1,909,800"
"Jan 4, 2017","4,280.00","4,385.00","4,249.00","4,339.00","2,374,900"
"Dec 30, 2016","4,112.00","4,201.00","4,081.00","4,183.00","1,768,700"
"Dec 29, 2016","4,200.00","4,230.00","4,125.00","4,155.00","3,835,800"
"Dec 28, 2016","4,377.00","4,412.00","4,320.00","4,332.00","1,680,100"
"Dec 27, 2016","4,323.00","4,414.00","4,302.00","4,367.00","1,661,000"
"Dec 26, 2016","4,398.00","4,411.00","4,322.00","4,355.00","2,113,200"
"Dec 22, 2016","4,518.00","4,518.00","4,374.00","4,468.00","2,175,700"
"Dec 21, 2016","4,593.00","4,632.00","4,516.00","4,540.00","1,814,700"
"Dec 20, 2016","4,581.00","4,605.00","4,520.00","4,574.00","1,205,800"
"Dec 19, 2016","4,590.00","4,612.00","4,548.00","4,581.00","1,220,300"
"Dec 16, 2016","4,539.00","4,644.00","4,533.00","4,611.00","2,701,700"
"Dec 15, 2016","4,468.00","4,525.00","4,423.00","4,469.00","1,936,600"
"Dec 14, 2016","4,467.00","4,475.00","4,397.00","4,451.00","1,165,700"
"Dec 13, 2016","4,372.00","4,471.00","4,364.00","4,449.00","1,854,400"
"Dec 12, 2016","4,619.00","4,629.00","4,365.00","4,444.00","3,100,000"
"Dec 9, 2016","4,478.00","4,562.00","4,462.00","4,559.00","3,882,200"
"Dec 8, 2016","4,460.00","4,486.00","4,415.00","4,486.00","2,004,000"
"Dec 7, 2016","4,345.00","4,412.00","4,342.00","4,404.00","1,583,900"
"Dec 6, 2016","4,300.00","4,340.00","4,289.00","4,307.00","2,066,400"
"Dec 5, 2016","4,269.00","4,279.00","4,192.00","4,230.00","2,310,000"
"Dec 2, 2016","4,256.00","4,374.00","4,256.00","4,355.00","2,395,600"
"Dec 1, 2016","4,265.00","4,335.00","4,225.00","4,240.00","2,337,900"
"Nov 30, 2016","4,175.00","4,226.00","4,125.00","4,150.00","2,368,100"
"Nov 29, 2016","4,157.00","4,223.00","4,124.00","4,185.00","1,952,400"
"Nov 28, 2016","4,096.00","4,225.00","4,087.00","4,205.00","2,558,900"
"Nov 25, 2016","4,216.00","4,252.00","4,076.00","4,124.00","3,203,100"
"Nov 24, 2016","4,310.00","4,312.00","4,196.00","4,231.00","2,043,500"
"Nov 22, 2016","4,140.00","4,199.00","4,126.00","4,189.00","1,757,300"
"Nov 21, 2016","4,104.00","4,192.00","4,052.00","4,160.00","2,387,900"
"Nov 18, 2016","4,182.00","4,232.00","4,061.00","4,074.00","2,271,600"
"Nov 17, 2016","4,073.00","4,120.00","4,010.00","4,116.00","3,432,700"
"Nov 16, 2016","4,050.00","4,184.00","4,027.00","4,182.00","4,680,300"
"Nov 15, 2016","4,047.00","4,117.00","3,900.00","3,920.00","4,896,900"
"Nov 14, 2016","3,806.00","3,877.00","3,774.00","3,854.00","2,599,200"
"Nov 11, 2016","3,787.00","3,877.00","3,768.00","3,805.00","4,285,200"
"Nov 10, 2016","3,639.00","3,703.00","3,496.00","3,679.00","4,806,900"
"Nov 9, 2016","3,530.00","3,589.00","3,222.00","3,289.00","4,555,200"
"Nov 8, 2016","3,493.00","3,537.00","3,473.00","3,514.00","1,372,700"
"Nov 7, 2016","3,469.00","3,521.00","3,469.00","3,492.00","2,099,200"
"Nov 4, 2016","3,400.00","3,422.00","3,356.00","3,400.00","2,436,200"
"Nov 2, 2016","3,501.00","3,503.00","3,438.00","3,444.00","2,389,500"
"Nov 1, 2016","3,561.00","3,612.00","3,539.00","3,568.00","2,761,200"
"Oct 31, 2016","3,486.00","3,551.00","3,481.00","3,550.00","1,983,600"
"Oct 28, 2016","3,487.00","3,538.00","3,484.00","3,513.00","2,672,200"
"Oct 27, 2016","3,423.00","3,459.00","3,402.00","3,435.00","1,933,600"
"Oct 26, 2016","3,397.00","3,425.00","3,368.00","3,423.00","1,686,700"
"Oct 25, 2016","3,350.00","3,406.00","3,349.00","3,398.00","2,709,900"
"Oct 24, 2016","3,327.00","3,329.00","3,263.00","3,296.00","1,561,000"
"Oct 21, 2016","3,322.00","3,380.00","3,318.00","3,337.00","2,266,100"
"Oct 20, 2016","3,226.00","3,313.00","3,212.00","3,313.00","2,218,100"
"Oct 19, 2016","3,220.00","3,249.00","3,193.00","3,235.00","2,055,900"
"Oct 18, 2016","3,197.00","3,222.00","3,175.00","3,221.00","2,413,000"
"Oct 17, 2016","3,205.00","3,239.00","3,202.00","3,217.00","2,059,500"
"Oct 14, 2016","3,190.00","3,228.00","3,171.00","3,216.00","2,460,900"
"Oct 13, 2016","3,250.00","3,264.00","3,186.00","3,200.00","2,767,800"
"Oct 12, 2016","3,287.00","3,293.00","3,247.00","3,250.00","2,514,200"
"Oct 11, 2016","3,375.00","3,413.00","3,322.00","3,326.00","2,130,400"
