Date,Open,High,Low,Close,Volume
"Mar 31, 2017","4,774.00","4,827.00","4,696.00","4,696.00","2,279,000"
"Mar 30, 2017","4,795.00","4,815.00","4,747.00","4,748.00","1,527,200"
"Mar 29, 2017","4,841.00","4,852.00","4,795.00","4,814.00","2,036,500"
"Mar 28, 2017","4,851.00","4,871.00","4,803.00","4,841.00","2,464,300"
"Mar 27, 2017","4,840.00","4,840.00","4,680.00","4,782.00","2,718,400"
"Mar 24, 2017","4,811.00","4,900.00","4,809.00","4,895.00","1,823,100"
"Mar 23, 2017","4,800.00","4,835.00","4,775.00","4,835.00","1,919,000"
"Mar 22, 2017","4,910.00","4,927.00","4,812.00","4,813.00","3,840,900"
"Mar 21, 2017","5,081.00","5,081.00","5,018.00","5,062.00","1,685,100"
"Mar 17, 2017","5,112.00","5,124.00","5,086.00","5,112.00","2,954,500"
"Mar 16, 2017","5,106.00","5,150.00","5,093.00","5,134.00","2,188,400"
"Mar 15, 2017","5,129.00","5,188.00","5,124.00","5,183.00","1,577,000"
"Mar 14, 2017","5,139.00","5,165.00","5,120.00","5,161.00","2,270,500"
"Mar 13, 2017","5,041.00","5,102.00","5,041.00","5,096.00","1,366,900"
"Mar 10, 2017","4,985.00","5,086.00","4,970.00","5,075.00","3,603,700"
"Mar 9, 2017","4,993.00","4,997.00","4,916.00","4,939.00","1,617,800"
"Mar 8, 2017","4,954.00","4,974.00","4,926.00","4,961.00","1,581,200"
"Mar 7, 2017","4,950.00","4,984.00","4,934.00","4,959.00","1,667,500"
"Mar 6, 2017","4,960.00","4,970.00","4,913.00","4,950.00","1,829,100"
"Mar 3, 2017","5,010.00","5,042.00","5,000.00","5,028.00","1,736,100"
"Mar 2, 2017","5,105.00","5,119.00","5,021.00","5,027.00","3,088,600"
"Mar 1, 2017","4,960.00","5,029.00","4,940.00","4,998.00","2,156,000"
"Feb 28, 2017","4,924.00","4,982.00","4,917.00","4,919.00","2,372,100"
"Feb 27, 2017","4,973.00","4,974.00","4,848.00","4,886.00","3,682,000"
"Feb 24, 2017","5,042.00","5,111.00","5,028.00","5,041.00","1,472,900"
"Feb 23, 2017","5,115.00","5,115.00","5,056.00","5,091.00","1,304,300"
"Feb 22, 2017","5,139.00","5,144.00","5,107.00","5,108.00","1,522,700"
"Feb 21, 2017","5,095.00","5,144.00","5,074.00","5,141.00","1,668,800"
"Feb 20, 2017","5,050.00","5,103.00","5,028.00","5,089.00","1,498,900"
"Feb 17, 2017","5,115.00","5,123.00","5,042.00","5,084.00","1,997,300"
"Feb 16, 2017","5,070.00","5,131.00","5,055.00","5,129.00","3,949,000"
"Feb 15, 2017","4,950.00","5,063.00","4,921.00","5,018.00","4,113,200"
"Feb 14, 2017","4,900.00","4,901.00","4,817.00","4,820.00","2,055,700"
"Feb 13, 2017","4,883.00","4,895.00","4,829.00","4,859.00","2,353,900"
"Feb 10, 2017","4,797.00","4,842.00","4,746.00","4,824.00","2,772,700"
"Feb 9, 2017","4,704.00","4,746.00","4,692.00","4,720.00","1,811,600"
"Feb 8, 2017","4,723.00","4,743.00","4,701.00","4,735.00","1,458,900"
"Feb 7, 2017","4,681.00","4,735.00","4,673.00","4,705.00","1,191,900"
"Feb 6, 2017","4,799.00","4,812.00","4,734.00","4,736.00","1,837,400"
"Feb 3, 2017","4,698.00","4,802.00","4,695.00","4,731.00","2,307,300"
"Feb 2, 2017","4,734.00","4,747.00","4,690.00","4,705.00","1,930,500"
"Feb 1, 2017","4,679.00","4,741.00","4,662.00","4,730.00","1,939,300"
"Jan 31, 2017","4,714.00","4,783.00","4,706.00","4,731.00","1,817,900"
"Jan 30, 2017","4,828.00","4,829.00","4,765.00","4,780.00","1,922,600"
"Jan 27, 2017","4,868.00","4,923.00","4,853.00","4,877.00","3,050,700"
"Jan 26, 2017","4,731.00","4,841.00","4,730.00","4,804.00","3,002,700"
"Jan 25, 2017","4,723.00","4,732.00","4,645.00","4,664.00","1,744,800"
"Jan 24, 2017","4,678.00","4,701.00","4,640.00","4,649.00","2,021,600"
"Jan 23, 2017","4,717.00","4,777.00","4,699.00","4,737.00","2,481,000"
"Jan 20, 2017","4,730.00","4,840.00","4,701.00","4,812.00","3,202,600"
"Jan 19, 2017","4,790.00","4,799.00","4,687.00","4,697.00","2,318,400"
"Jan 18, 2017","4,638.00","4,693.00","4,612.00","4,677.00","3,242,800"
"Jan 17, 2017","4,687.00","4,708.00","4,639.00","4,675.00","3,172,400"
"Jan 16, 2017","4,752.00","4,756.00","4,682.00","4,687.00","2,488,600"
"Jan 13, 2017","4,700.00","4,768.00","4,696.00","4,766.00","2,626,500"
"Jan 12, 2017","4,741.00","4,754.00","4,685.00","4,717.00","3,939,600"
"Jan 11, 2017","4,847.00","4,861.00","4,799.00","4,811.00","2,635,200"
"Jan 10, 2017","4,872.00","4,888.00","4,806.00","4,806.00","2,662,200"
"Jan 6, 2017","4,831.00","4,926.00","4,830.00","4,917.00","2,949,700"
"Jan 5, 2017","4,950.00","4,978.00","4,920.00","4,971.00","3,763,200"
"Jan 4, 2017","4,949.00","4,973.00","4,900.00","4,917.00","3,898,100"
