Date,Open,High,Low,Close,Volume
"Mar 31, 2017","1,042.00","1,054.00","1,034.00","1,034.00","309,200"
"Mar 30, 2017","1,044.00","1,054.00","1,040.00","1,044.00","257,100"
"Mar 29, 2017","1,078.00","1,078.00","1,050.00","1,052.00","325,600"
"Mar 28, 2017","1,062.00","1,071.00","1,050.00","1,065.00","375,900"
"Mar 27, 2017","1,064.00","1,068.00","1,046.00","1,055.00","388,000"
"Mar 24, 2017","1,065.00","1,081.00","1,064.00","1,074.00","326,400"
"Mar 23, 2017","1,073.00","1,090.00","1,064.00","1,073.00","393,500"
"Mar 22, 2017","1,066.00","1,074.00","1,062.00","1,064.00","515,500"
"Mar 21, 2017","1,075.00","1,086.00","1,068.00","1,076.00","322,600"
"Mar 17, 2017","1,107.00","1,116.00","1,087.00","1,087.00","808,300"
"Mar 16, 2017","1,117.00","1,146.00","1,109.00","1,137.00","495,900"
"Mar 15, 2017","1,139.00","1,144.00","1,131.00","1,139.00","364,800"
"Mar 14, 2017","1,142.00","1,152.00","1,136.00","1,146.00","307,200"
"Mar 13, 2017","1,151.00","1,161.00","1,140.00","1,147.00","338,300"
"Mar 10, 2017","1,163.00","1,170.00","1,155.00","1,165.00","591,400"
"Mar 9, 2017","1,164.00","1,167.00","1,153.00","1,156.00","299,000"
"Mar 8, 2017","1,164.00","1,168.00","1,158.00","1,163.00","204,800"
"Mar 7, 2017","1,149.00","1,164.00","1,146.00","1,162.00","261,300"
"Mar 6, 2017","1,146.00","1,158.00","1,146.00","1,155.00","240,600"
"Mar 3, 2017","1,150.00","1,155.00","1,136.00","1,141.00","342,600"
"Mar 2, 2017","1,138.00","1,160.00","1,132.00","1,148.00","558,000"
"Mar 1, 2017","1,121.00","1,135.00","1,116.00","1,134.00","266,800"
"Feb 28, 2017","1,125.00","1,135.00","1,119.00","1,124.00","347,100"
"Feb 27, 2017","1,119.00","1,125.00","1,108.00","1,123.00","308,700"
"Feb 24, 2017","1,113.00","1,118.00","1,103.00","1,117.00","218,200"
"Feb 23, 2017","1,117.00","1,125.00","1,104.00","1,111.00","311,700"
"Feb 22, 2017","1,113.00","1,113.00","1,100.00","1,106.00","213,800"
"Feb 21, 2017","1,095.00","1,109.00","1,094.00","1,108.00","239,800"
"Feb 20, 2017","1,090.00","1,094.00","1,084.00","1,094.00","106,700"
"Feb 17, 2017","1,085.00","1,098.00","1,083.00","1,094.00","237,800"
"Feb 16, 2017","1,082.00","1,095.00","1,082.00","1,094.00","306,600"
"Feb 15, 2017","1,074.00","1,083.00","1,073.00","1,082.00","261,700"
"Feb 14, 2017","1,086.00","1,091.00","1,073.00","1,074.00","337,100"
"Feb 13, 2017","1,081.00","1,095.00","1,071.00","1,091.00","359,000"
"Feb 10, 2017","1,079.00","1,086.00","1,070.00","1,079.00","512,200"
"Feb 9, 2017","1,053.00","1,058.00","1,050.00","1,052.00","210,500"
"Feb 8, 2017","1,051.00","1,057.00","1,047.00","1,057.00","160,600"
"Feb 7, 2017","1,054.00","1,059.00","1,047.00","1,049.00","217,300"
"Feb 6, 2017","1,067.00","1,070.00","1,054.00","1,060.00","178,400"
"Feb 3, 2017","1,050.00","1,067.00","1,049.00","1,055.00","370,800"
"Feb 2, 2017","1,060.00","1,065.00","1,047.00","1,049.00","273,800"
"Feb 1, 2017","1,059.00","1,069.00","1,054.00","1,067.00","286,200"
"Jan 31, 2017","1,085.00","1,085.00","1,068.00","1,071.00","385,600"
"Jan 30, 2017","1,093.00","1,102.00","1,089.00","1,092.00","267,400"
"Jan 27, 2017","1,085.00","1,101.00","1,082.00","1,096.00","1,269,300"
"Jan 26, 2017","1,107.00","1,108.00","1,091.00","1,094.00","1,912,900"
"Jan 25, 2017","1,106.00","1,109.00","1,093.00","1,097.00","854,300"
"Jan 24, 2017","1,096.00","1,103.00","1,090.00","1,092.00","901,200"
"Jan 23, 2017","1,101.00","1,113.00","1,100.00","1,100.00","960,900"
"Jan 20, 2017","1,113.00","1,116.00","1,105.00","1,109.00","304,500"
"Jan 19, 2017","1,111.00","1,125.00","1,111.00","1,114.00","408,900"
"Jan 18, 2017","1,110.00","1,113.00","1,091.00","1,107.00","558,700"
"Jan 17, 2017","1,125.00","1,129.00","1,111.00","1,112.00","368,800"
"Jan 16, 2017","1,140.00","1,147.00","1,122.00","1,125.00","570,300"
"Jan 13, 2017","1,130.00","1,149.00","1,128.00","1,144.00","412,200"
"Jan 12, 2017","1,149.00","1,150.00","1,134.00","1,135.00","350,500"
"Jan 11, 2017","1,150.00","1,159.00","1,148.00","1,149.00","243,800"
"Jan 10, 2017","1,171.00","1,172.00","1,149.00","1,152.00","412,400"
"Jan 6, 2017","1,162.00","1,173.00","1,159.00","1,171.00","225,500"
"Jan 5, 2017","1,168.00","1,169.00","1,158.00","1,159.00","249,200"
"Jan 4, 2017","1,161.00","1,170.00","1,145.00","1,163.00","353,200"
"Dec 30, 2016","1,152.00","1,161.00","1,144.00","1,152.00","219,800"
"Dec 29, 2016","1,170.00","1,178.00","1,157.00","1,162.00","259,900"
"Dec 28, 2016","1,158.00","1,174.00","1,141.00","1,174.00","258,000"
"Dec 27, 2016","1,167.00","1,169.00","1,158.00","1,159.00","259,600"
