Date,Open,High,Low,Close,Volume
"Mar 31, 2017","1,004.00","1,005.50",987.00,987.00,"5,399,000"
"Mar 30, 2017","1,012.50","1,018.00",998.20,999.40,"4,997,000"
"Mar 29, 2017","1,008.00","1,018.50","1,005.50","1,012.00","5,378,000"
"Mar 28, 2017","1,000.50","1,006.50",996.70,"1,006.50","5,334,000"
"Mar 27, 2017",995.10,998.60,989.50,993.80,"4,144,000"
"Mar 24, 2017",993.30,"1,010.50",990.00,"1,009.50","5,159,000"
"Mar 23, 2017",984.50,993.40,983.10,989.10,"3,955,000"
"Mar 22, 2017",990.00,997.40,984.00,986.90,"5,577,000"
"Mar 21, 2017",994.60,"1,005.00",993.00,"1,001.00","4,771,000"
"Mar 17, 2017",997.50,999.20,992.50,995.00,"5,083,000"
"Mar 16, 2017",995.30,"1,004.50",995.00,"1,002.00","4,832,000"
"Mar 15, 2017",998.10,999.40,992.90,997.20,"4,227,000"
"Mar 14, 2017","1,008.00","1,009.00","1,002.50","1,006.50","3,653,000"
"Mar 13, 2017","1,002.50","1,004.50",997.80,"1,004.50","2,681,000"
"Mar 10, 2017",998.80,"1,001.50",995.00,"1,001.00","5,715,000"
"Mar 9, 2017",998.70,"1,000.50",992.40,993.90,"4,091,000"
"Mar 8, 2017",995.70,999.30,989.30,992.30,"4,181,000"
"Mar 7, 2017",999.30,"1,002.00",994.00,999.20,"3,821,000"
"Mar 6, 2017","1,002.00","1,002.50",996.00,998.30,"4,472,000"
"Mar 3, 2017","1,010.00","1,013.00","1,003.50","1,008.50","4,013,000"
"Mar 2, 2017","1,018.00","1,022.50","1,008.50","1,009.50","7,979,000"
"Mar 1, 2017","1,008.00","1,010.50",998.30,"1,006.50","4,379,000"
"Feb 28, 2017","1,017.00","1,017.00","1,004.50","1,005.00","8,471,000"
"Feb 27, 2017","1,000.50","1,005.00",992.70,995.00,"5,375,000"
"Feb 24, 2017","1,012.00","1,017.00","1,007.50","1,009.00","3,889,000"
"Feb 23, 2017","1,022.00","1,027.50","1,012.00","1,017.50","4,789,000"
"Feb 22, 2017",999.10,"1,022.00",998.20,"1,020.00","11,966,000"
"Feb 21, 2017",976.00,985.60,974.80,985.20,"3,614,000"
"Feb 20, 2017",974.00,974.90,970.10,972.50,"4,381,000"
"Feb 17, 2017",984.00,986.30,978.60,981.10,"3,651,000"
"Feb 16, 2017",988.00,991.80,984.00,989.70,"3,689,000"
"Feb 15, 2017",988.00,994.00,982.90,988.80,"4,577,000"
"Feb 14, 2017",986.00,988.10,978.50,979.60,"3,946,000"
"Feb 13, 2017",989.30,991.00,982.00,983.00,"4,956,000"
"Feb 10, 2017",982.00,997.00,968.30,990.00,"9,886,000"
"Feb 9, 2017",976.80,986.90,958.90,970.40,"9,722,000"
"Feb 8, 2017",977.90,983.60,971.30,975.60,"4,026,000"
"Feb 7, 2017",975.70,978.30,967.60,974.60,"4,480,000"
"Feb 6, 2017",988.90,991.30,974.50,979.50,"4,693,000"
"Feb 3, 2017",983.90,994.00,980.50,984.60,"5,731,000"
"Feb 2, 2017",987.40,988.90,977.30,978.40,"3,156,000"
