Date,Open,High,Low,Close,Volume
"Mar 31, 2017",517.00,524.00,514.00,514.00,"13,552,700"
"Mar 30, 2017",511.00,521.00,510.00,514.00,"11,738,700"
"Mar 29, 2017",513.00,515.00,506.00,507.00,"8,991,700"
"Mar 28, 2017",516.00,522.00,515.00,519.00,"10,087,100"
"Mar 27, 2017",510.00,516.00,509.00,513.00,"10,849,800"
"Mar 24, 2017",520.00,524.00,514.00,516.00,"11,756,400"
"Mar 23, 2017",529.00,532.00,521.00,522.00,"13,789,100"
"Mar 22, 2017",527.00,528.00,520.00,524.00,"16,588,800"
"Mar 21, 2017",547.00,548.00,541.00,541.00,"8,819,100"
"Mar 17, 2017",550.00,556.00,547.00,548.00,"13,213,600"
"Mar 16, 2017",541.00,559.00,541.00,556.00,"16,439,300"
"Mar 15, 2017",540.00,547.00,540.00,545.00,"7,310,600"
"Mar 14, 2017",544.00,545.00,539.00,544.00,"9,491,300"
"Mar 13, 2017",543.00,552.00,542.00,547.00,"7,849,800"
"Mar 10, 2017",539.00,546.00,538.00,544.00,"11,705,900"
"Mar 9, 2017",528.00,537.00,526.00,535.00,"11,897,900"
"Mar 8, 2017",525.00,529.00,523.00,524.00,"9,412,400"
"Mar 7, 2017",540.00,541.00,524.00,527.00,"13,167,100"
"Mar 6, 2017",528.00,539.00,527.00,538.00,"14,709,700"
"Mar 3, 2017",522.00,532.00,522.00,530.00,"10,154,600"
"Mar 2, 2017",534.00,534.00,523.00,525.00,"8,378,300"
"Mar 1, 2017",518.00,523.00,513.00,520.00,"14,907,100"
"Feb 28, 2017",525.00,529.00,521.00,521.00,"9,265,400"
"Feb 27, 2017",519.00,522.00,515.00,521.00,"9,947,500"
"Feb 24, 2017",523.00,530.00,521.00,523.00,"9,012,600"
"Feb 23, 2017",528.00,530.00,519.00,524.00,"12,280,700"
"Feb 22, 2017",534.00,539.00,532.00,533.00,"12,541,700"
"Feb 21, 2017",526.00,531.00,526.00,528.00,"8,222,200"
"Feb 20, 2017",525.00,538.00,524.00,527.00,"17,229,500"
"Feb 17, 2017",525.00,529.00,520.00,527.00,"9,954,400"
"Feb 16, 2017",527.00,532.00,525.00,526.00,"13,536,000"
"Feb 15, 2017",538.00,539.00,531.00,535.00,"6,883,900"
"Feb 14, 2017",542.00,543.00,534.00,535.00,"14,342,900"
"Feb 13, 2017",549.00,554.00,542.00,546.00,"17,859,300"
"Feb 10, 2017",526.00,542.00,523.00,539.00,"19,388,500"
"Feb 9, 2017",522.00,529.00,514.00,520.00,"17,883,900"
"Feb 8, 2017",531.00,534.00,520.00,527.00,"26,636,300"
"Feb 7, 2017",530.00,541.00,524.00,530.00,"33,415,300"
"Feb 6, 2017",521.00,541.00,513.00,529.00,"69,438,700"
"Feb 3, 2017",466.00,468.00,460.00,461.00,"9,165,600"
"Feb 2, 2017",473.00,474.00,467.00,468.00,"8,999,300"
"Feb 1, 2017",469.00,474.00,468.00,472.00,"7,542,000"
"Jan 31, 2017",469.00,475.00,466.00,474.00,"11,210,300"
"Jan 30, 2017",467.00,474.00,464.00,473.00,"9,455,600"
"Jan 27, 2017",462.00,471.00,461.00,469.00,"8,990,600"
"Jan 26, 2017",468.00,468.00,462.00,465.00,"8,972,700"
"Jan 25, 2017",462.00,469.00,459.00,466.00,"12,461,800"
"Jan 24, 2017",455.00,458.00,453.00,457.00,"10,410,000"
"Jan 23, 2017",466.00,466.00,460.00,462.00,"6,557,800"
"Jan 20, 2017",467.00,468.00,463.00,466.00,"5,691,200"
"Jan 19, 2017",456.00,468.00,456.00,468.00,"7,509,700"
"Jan 18, 2017",451.00,466.00,451.00,464.00,"9,775,100"
"Jan 17, 2017",469.00,470.00,461.00,463.00,"6,846,000"
"Jan 16, 2017",475.00,476.00,466.00,471.00,"8,242,900"
"Jan 13, 2017",474.00,477.00,472.00,477.00,"7,464,700"
"Jan 12, 2017",478.00,481.00,470.00,473.00,"11,233,600"
"Jan 11, 2017",483.00,483.00,476.00,477.00,"10,209,400"
"Jan 10, 2017",482.00,483.00,475.00,479.00,"16,438,100"
"Jan 6, 2017",465.00,478.00,464.00,476.00,"16,972,000"
"Jan 5, 2017",457.00,468.00,453.00,467.00,"19,440,000"
"Jan 4, 2017",453.00,453.00,446.00,452.00,"9,045,000"
"Dec 30, 2016",449.00,451.00,446.00,449.00,"7,334,700"
"Dec 29, 2016",455.00,456.00,446.00,448.00,"8,624,500"
"Dec 28, 2016",452.00,458.00,448.00,455.00,"8,690,800"
"Dec 27, 2016",459.00,459.00,451.00,454.00,"9,704,900"
"Dec 26, 2016",448.00,456.00,447.00,452.00,"11,729,400"
"Dec 22, 2016",444.00,447.00,442.00,447.00,"10,098,700"
"Dec 21, 2016",445.00,446.00,442.00,444.00,"7,602,500"
"Dec 20, 2016",441.00,444.00,440.00,443.00,"6,151,400"
"Dec 19, 2016",442.00,445.00,441.00,443.00,"6,030,500"
"Dec 16, 2016",447.00,449.00,441.00,446.00,"10,164,300"
"Dec 15, 2016",441.00,447.00,440.00,444.00,"9,514,500"
"Dec 14, 2016",449.00,457.00,445.00,446.00,"14,272,600"
"Dec 13, 2016",439.00,445.00,439.00,443.00,"6,458,600"
"Dec 12, 2016",455.00,455.00,437.00,442.00,"15,571,300"
"Dec 9, 2016",446.00,455.00,442.00,451.00,"26,579,600"
"Dec 8, 2016",426.00,445.00,425.00,445.00,"25,236,600"
"Dec 7, 2016",421.00,424.00,417.00,423.00,"11,466,300"
"Dec 6, 2016",419.00,420.00,415.00,420.00,"12,087,600"
"Dec 5, 2016",422.00,424.00,416.00,417.00,"18,776,400"
"Dec 2, 2016",415.00,415.00,407.00,410.00,"12,710,000"
"Dec 1, 2016",418.00,421.00,414.00,416.00,"12,568,900"
"Nov 30, 2016",415.00,417.00,413.00,416.00,"8,411,200"
"Nov 29, 2016",419.00,420.00,416.00,416.00,"7,044,100"
"Nov 28, 2016",420.00,422.00,416.00,422.00,"7,926,600"
"Nov 25, 2016",422.00,424.00,419.00,421.00,"10,091,100"
"Nov 24, 2016",415.00,421.00,413.00,420.00,"11,207,800"
"Nov 22, 2016",409.00,412.00,408.00,410.00,"7,567,000"
"Nov 21, 2016",412.00,413.00,408.00,411.00,"10,828,800"
"Nov 18, 2016",409.00,416.00,409.00,415.00,"14,917,500"
"Nov 17, 2016",409.00,412.00,407.00,411.00,"11,662,300"
"Nov 16, 2016",400.00,408.00,399.00,406.00,"13,853,700"
"Nov 15, 2016",395.00,398.00,394.00,396.00,"12,604,100"
"Nov 14, 2016",402.00,406.00,392.00,393.00,"29,810,000"
"Nov 11, 2016",408.00,409.00,399.00,400.00,"25,012,700"
"Nov 10, 2016",404.00,413.00,401.00,410.00,"21,545,300"
"Nov 9, 2016",413.00,414.00,385.00,388.00,"29,175,200"
"Nov 8, 2016",412.00,415.00,410.00,412.00,"13,259,200"
"Nov 7, 2016",420.00,421.00,415.00,418.00,"14,430,400"
"Nov 4, 2016",415.00,423.00,408.00,420.00,"35,369,600"
"Nov 2, 2016",419.00,429.00,416.00,419.00,"44,020,500"
"Nov 1, 2016",405.00,406.00,402.00,403.00,"7,745,600"
"Oct 31, 2016",408.00,411.00,403.00,403.00,"12,474,800"
"Oct 28, 2016",411.00,414.00,408.00,411.00,"7,756,200"
"Oct 27, 2016",415.00,416.00,408.00,410.00,"8,412,800"
"Oct 26, 2016",417.00,418.00,413.00,417.00,"6,619,000"
"Oct 25, 2016",410.00,417.00,409.00,416.00,"9,738,800"
"Oct 24, 2016",406.00,409.00,403.00,407.00,"7,153,200"
"Oct 21, 2016",408.00,409.00,404.00,404.00,"5,964,100"
"Oct 20, 2016",407.00,409.00,405.00,408.00,"6,662,200"
"Oct 19, 2016",408.00,408.00,403.00,406.00,"5,573,800"
"Oct 18, 2016",405.00,408.00,403.00,406.00,"7,395,900"
"Oct 17, 2016",401.00,406.00,401.00,404.00,"6,806,100"
"Oct 14, 2016",403.00,403.00,401.00,402.00,"6,741,100"
"Oct 13, 2016",404.00,406.00,400.00,400.00,"7,954,700"
"Oct 12, 2016",406.00,411.00,406.00,407.00,"5,993,500"
"Oct 11, 2016",410.00,411.00,407.00,408.00,"6,985,200"
"Oct 7, 2016",407.00,409.00,406.00,407.00,"6,587,900"
"Oct 6, 2016",413.00,413.00,406.00,408.00,"6,879,800"
"Oct 5, 2016",405.00,414.00,405.00,413.00,"9,459,300"
"Oct 4, 2016",405.00,408.00,403.00,404.00,"9,097,600"
