,Agricultural Bank of China_601288,Yili Group_600887,AVIC Aviation Engine_600893,Bank of Beijing_601169,Bank of China_601988,Bank of Communications_601328,China CITIC Bank_601998,China Communications Construction_601800,China Everbright Bank_601818,China Life Insurance_601628,China Merchants Bank_600036,China Merchants Securities_600999,China Minsheng Bank_600016,China Northern Rare Earth_600111,China Pacific Insurance_601601,China Railway Construction_601186,China Railway [Engineering]_601390,China Shenhua Energy_601088,China Shipbuilding Industry_601989,China Southern Airlines_600029,China State Construction Engineering_601668,China Unicom_600050,CITIC Securities_600030,CRRC Corporation_601766,Daqin Railway_601006,Everbright Securities_601788,Founder Securities_601901,Haitong Securities_600837,Huatai Securities_601688,Industrial and Commercial Bank of China_601398,Industrial Bank_601166,Industrial Securities_601377,Kangmei Pharmaceutical_600518,Kweichow Moutai_600519,New China Life Insurance_601336,PetroChina_601857,Ping An Insurance_601318,Poly Real Estate Group_600048,SAIC Motor_600104,Shandong Gold Mining_600547,Shanghai Oriental Pearl Media_600637,Shanghai Pudong Development Bank_600000,Sinolink Securities_600109,Sinopec_600028,Tsinghua Tongfang_600100,Xinwei Group_600485
Agricultural Bank of China_601288,,0.35519619,0.416887135,0.655723728,0.888198056,0.821769268,0.736180533,0.762903508,0.927653357,0.778352643,0.798916618,0.782589229,0.617220694,0.236976314,0.799716317,0.796330066,0.731576075,0.588445448,0.579885964,0.620912145,0.701276608,0.515566905,0.818420058,0.529434438,0.716176966,0.786920984,0.676138145,0.79324484,0.75352818,0.892047278,0.4611842,0.738298525,0.46593455,0.330785911,0.79388592,0.679656571,0.861560818,0.748123246,0.662679094,0.253017213,0.337937094,0.681471928,0.58292802,0.597909022,0.338749363,0.388034251
Yili Group_600887,,,0.573729849,0.225245133,0.168493592,0.193755024,0.263791963,0.351856082,0.426474366,0.1360347,0.238206274,0.334770791,0.400867409,0.285936887,0.263336251,0.354009799,0.32432957,0.240950914,0.360572287,0.198833588,0.403929024,0.25311739,0.338508698,0.359477476,0.194629766,0.283582311,0.351273517,0.323976578,0.372894283,0.130663681,0.181660096,0.319108886,0.48938496,0.368089044,0.374577852,0.253955396,0.229251942,0.179259115,0.446700626,0.194931026,0.430321725,0.394743477,0.456570004,0.18542481,0.400799477,0.375112966
AVIC Aviation Engine_600893,,,,0.373236776,0.225854246,0.25720369,0.316682645,0.423069629,0.446733357,0.259477342,0.351875295,0.448646121,0.394310834,0.31892971,0.313808802,0.428354136,0.5163692,0.269715184,0.649369201,0.435822051,0.339723572,0.380885109,0.45510256,0.538012813,0.380484296,0.361057888,0.348791179,0.489692606,0.419642765,0.251062386,0.234959469,0.371316528,0.648265313,0.314927904,0.507770419,0.267795753,0.476817117,0.301322247,0.457287911,0.229031775,0.567010417,0.436429617,0.620830051,0.299781492,0.6019619,0.45732512
Bank of Beijing_601169,,,,,0.574817951,0.640549384,0.437933756,0.56787286,0.683679099,0.506495165,0.476839075,0.606357456,0.369268563,0.193399979,0.456198726,0.459227995,0.476044493,0.582507923,0.470479249,0.435400141,0.46403647,0.537458653,0.475373821,0.404800841,0.521396982,0.550308703,0.482732499,0.460554248,0.511624712,0.609234985,0.715569815,0.555592723,0.341729594,0.208643166,0.753407054,0.576289721,0.514627376,0.488196627,0.419411701,0.402066448,0.37515906,0.530542319,0.425406701,0.647786754,0.403629693,0.242280979
Bank of China_601988,,,,,,0.713673041,0.707679741,0.722072188,0.850930594,0.789344289,0.622251759,0.731731346,0.449095488,0.14274719,0.699986631,0.715969596,0.630955664,0.475790601,0.568150701,0.38203495,0.593552294,0.562328095,0.645864241,0.395504882,0.65591107,0.71573788,0.637094697,0.603896665,0.723213033,0.85573458,0.564014023,0.639812263,0.294209155,0.224341912,0.772947979,0.750383629,0.700552016,0.57546377,0.338045853,0.146131209,0.236752905,0.504994369,0.430010491,0.684920996,0.326479246,0.218652897
Bank of Communications_601328,,,,,,,0.606725669,0.602204768,0.857423135,0.578806601,0.660206294,0.63265573,0.46130075,0.16121257,0.507192087,0.475676464,0.416115295,0.568190134,0.494747336,0.484488705,0.427006606,0.460899521,0.495492092,0.29571824,0.638350982,0.651709359,0.536595027,0.459230325,0.588386292,0.759107653,0.680498931,0.616246232,0.261139333,0.255295177,0.774657648,0.64468028,0.536058452,0.492771618,0.385796866,0.265596757,0.271104976,0.578661138,0.3945792,0.60581257,0.30215312,0.244091875
China CITIC Bank_601998,,,,,,,,0.606572039,0.837774295,0.579169773,0.578032523,0.651097814,0.497754258,0.113593415,0.547035259,0.599735706,0.521942429,0.333187057,0.422713369,0.508951687,0.485699989,0.407812292,0.579635741,0.283465806,0.440921896,0.710342637,0.661880146,0.531584593,0.638652641,0.617823689,0.487503407,0.710408992,0.244481049,0.225276409,0.678227358,0.501541621,0.610182005,0.478839307,0.426080957,0.199943689,0.228750481,0.617320354,0.49113983,0.454561136,0.319999253,0.353626777
China Communications Construction_601800,,,,,,,,,0.746810637,0.735249157,0.554874269,0.802924521,0.34209073,0.278401471,0.774164073,0.863925668,0.812031018,0.549204781,0.567102659,0.532841778,0.843609956,0.687501578,0.728595262,0.595653937,0.506329133,0.697880488,0.672697551,0.709031553,0.780242794,0.691597629,0.403159044,0.727723749,0.556835889,0.397337948,0.752118501,0.656951811,0.724913436,0.715733935,0.559144824,0.226311816,0.357898799,0.50275394,0.630966732,0.526189633,0.463426273,0.39122347
China Everbright Bank_601818,,,,,,,,,,0.735235543,0.811184706,0.835335294,0.656047742,0.234573325,0.748562641,0.836529179,0.767024834,0.611062801,0.621379411,0.729683887,0.71663072,0.580927121,0.82236192,0.527892337,0.727988848,0.85119269,0.762513063,0.852213433,0.77925907,0.887557396,0.705886518,0.810020625,0.507134403,0.378538121,0.821896785,0.670175194,0.863096982,0.729152458,0.66562802,0.255140584,0.383357652,0.741620166,0.63664077,0.615338252,0.52502006,0.436511989
China Life Insurance_601628,,,,,,,,,,,0.682153953,0.752325798,0.428949389,0.13393456,0.776242193,0.73514779,0.630607564,0.438367504,0.518490961,0.535881026,0.610244275,0.511739022,0.772969681,0.415534208,0.639831197,0.681133841,0.629348276,0.616737662,0.720042535,0.792830284,0.612433205,0.706104569,0.229748362,0.187520878,0.778524839,0.661532557,0.831742338,0.593068454,0.394053223,0.173561347,0.176161509,0.579397906,0.464126307,0.722374127,0.27405114,0.182396494
